image,level,scale,bias,lpips
car_00,0.3,0.04417356848716736,0.3000001013278961,0.0007768442155793309
car_00,0.6,0.08868125081062317,0.5999999046325684,0.0029556050430983305
car_00,1.0,0.14854130148887634,0.9999998211860657,0.007762033957988024
car_00,1.5,0.22404173016548157,1.499999761581421,0.01638903096318245
car_00,2.5,0.3776894509792328,2.5,0.039944928139448166
car_00,4.0,0.616873174905777,3.999999761581421,0.08457888662815094
dog_00,0.3,0.1382630169391632,0.30000001192092896,0.0034683863632380962
dog_00,0.6,0.2790822684764862,0.6000000238418579,0.014159055426716805
dog_00,1.0,0.46907785534858704,1.0,0.036705467849969864
dog_00,1.5,0.7091650068759918,1.4999998807907104,0.07038335502147675
dog_00,2.5,1.1997831761837006,2.5,0.13345086574554443
dog_00,4.0,1.9746789038181305,3.999999761581421,0.2109433263540268
person_01,0.3,0.03011360764503479,0.30000007152557373,0.00409746915102005
person_01,0.6,0.06042090058326721,0.5999997854232788,0.015462856739759445
person_01,1.0,0.1012827455997467,1.0000001192092896,0.037040505558252335
person_01,1.5,0.15305641293525696,1.5,0.06740095466375351
person_01,2.5,0.25921329855918884,2.499999761581421,0.1285221129655838
person_01,4.0,0.42390504479408264,4.0,0.21028099954128265
