image_id,tau,reachable,k,lpips,psnr,note,acut,dists,metric
woman_03,0.0,True,0.0,0.0878,30.49,φ=0，即 VAE 重建下限,,,
woman_03,0.0851,True,0.2812,0.0862,26.93,,0.6636,0.0862,dists
