image_id,condition,seed,strength,source,prompt,fid_lpips,fid_psnr,fid_linf,siglip_ctrl,siglip_def,clip_ctrl,clip_def,effect_siglip,effect_clip,siglip_orig,edit_lpips
bird_03,N1,0,0.2,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.004612840712070465,0.006179424002766609,0.17849677801132202,0.18356715142726898,-0.001566583290696144,-0.0050703734159469604,0.004797370173037052,0.08514618128538132
bird_03,N1,1,0.2,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.008065330795943737,0.009210243821144104,0.17806144058704376,0.18030811846256256,-0.001144913025200367,-0.002246677875518799,0.004797370173037052,0.09095004200935364
bird_03,N1,2,0.2,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.006191901862621307,0.009777070954442024,0.18825380504131317,0.18711745738983154,-0.003585169091820717,0.0011363476514816284,0.004797370173037052,0.09561164677143097
bird_03,N1,3,0.2,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.015218518674373627,0.01467175967991352,0.1750175952911377,0.1692640781402588,0.0005467589944601059,0.005753517150878906,0.004797370173037052,0.09119651466608047
bird_03,N1,4,0.2,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.01269580889493227,0.00934801809489727,0.18012772500514984,0.17563626170158386,0.003347790800035,0.004491463303565979,0.004797370173037052,0.07941154390573502
bird_03,N2,0,0.2,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.004612840712070465,0.005382644012570381,0.17849677801132202,0.18870249390602112,-0.0007698033004999161,-0.010205715894699097,0.004797370173037052,0.09938297420740128
bird_03,N2,1,0.2,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.008065330795943737,0.0023860083892941475,0.17806144058704376,0.17796796560287476,0.0056793224066495895,9.347498416900635e-05,0.004797370173037052,0.1016213521361351
bird_03,N2,2,0.2,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.006191901862621307,0.008834278210997581,0.18825380504131317,0.17900508642196655,-0.002642376348376274,0.009248718619346619,0.004797370173037052,0.10569456964731216
bird_03,N2,3,0.2,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.015218518674373627,0.014905037358403206,0.1750175952911377,0.17668597400188446,0.00031348131597042084,-0.0016683787107467651,0.004797370173037052,0.10140325129032135
bird_03,N2,4,0.2,native,a butterfly,0.06662255525588989,30.052806854248047,0.800000011920929,0.01269580889493227,0.007105237804353237,0.18012772500514984,0.17581702768802643,0.005590571090579033,0.004310697317123413,0.004797370173037052,0.09638561308383942
bird_03,N3,0,0.2,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.004612840712070465,0.003342880867421627,0.17849677801132202,0.18218737840652466,0.001269959844648838,-0.0036906003952026367,0.004797370173037052,0.038275834172964096
bird_03,N3,1,0.2,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.008065330795943737,0.00455885287374258,0.17806144058704376,0.17960986495018005,0.0035064779222011566,-0.0015484243631362915,0.004797370173037052,0.03853732347488403
bird_03,N3,2,0.2,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.006191901862621307,0.006124377250671387,0.18825380504131317,0.18323293328285217,6.752461194992065e-05,0.0050208717584609985,0.004797370173037052,0.04432196170091629
bird_03,N3,3,0.2,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.015218518674373627,0.01490022987127304,0.1750175952911377,0.17548513412475586,0.00031828880310058594,-0.00046753883361816406,0.004797370173037052,0.04063783213496208
bird_03,N3,4,0.2,native,a butterfly,0.13480108976364136,29.634933471679688,0.7960784435272217,0.01269580889493227,0.01482653059065342,0.18012772500514984,0.18042176961898804,-0.0021307216957211494,-0.0002940446138381958,0.004797370173037052,0.034874845296144485
bird_03,photoguard_c,0,0.2,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.004612840712070465,0.010312315076589584,0.17849677801132202,0.20491865277290344,-0.005699474364519119,-0.02642187476158142,0.004797370173037052,0.49237826466560364
bird_03,photoguard_c,1,0.2,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.008065330795943737,0.020906813442707062,0.17806144058704376,0.21455875039100647,-0.012841482646763325,-0.03649730980396271,0.004797370173037052,0.4952329993247986
bird_03,photoguard_c,2,0.2,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.006191901862621307,0.013493619859218597,0.18825380504131317,0.20348332822322845,-0.00730171799659729,-0.015229523181915283,0.004797370173037052,0.49320971965789795
bird_03,photoguard_c,3,0.2,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.015218518674373627,0.02471904270350933,0.1750175952911377,0.20074722170829773,-0.009500524029135704,-0.025729626417160034,0.004797370173037052,0.5013670921325684
bird_03,photoguard_c,4,0.2,native,a butterfly,0.4014667570590973,40.826332092285156,0.2235293984413147,0.01269580889493227,0.0008470234461128712,0.18012772500514984,0.19593429565429688,0.011848785448819399,-0.015806570649147034,0.004797370173037052,0.5037250518798828
bird_03,mist,0,0.2,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.004612840712070465,0.030635248869657516,0.17849677801132202,0.24119895696640015,-0.02602240815758705,-0.06270217895507812,0.004797370173037052,0.6800514459609985
bird_03,mist,1,0.2,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.008065330795943737,0.024162422865629196,0.17806144058704376,0.21657690405845642,-0.01609709206968546,-0.03851546347141266,0.004797370173037052,0.682679295539856
bird_03,mist,2,0.2,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.006191901862621307,0.028762586414813995,0.18825380504131317,0.22388288378715515,-0.022570684552192688,-0.03562907874584198,0.004797370173037052,0.6839067935943604
bird_03,mist,3,0.2,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.015218518674373627,0.021491343155503273,0.1750175952911377,0.25077423453330994,-0.006272824481129646,-0.07575663924217224,0.004797370173037052,0.6855902671813965
bird_03,mist,4,0.2,native,a butterfly,0.6212081909179688,26.619626998901367,0.0627451241016388,0.01269580889493227,0.030227962881326675,0.18012772500514984,0.2036890983581543,-0.017532153986394405,-0.023561373353004456,0.004797370173037052,0.695350170135498
bird_03,dia_r,0,0.2,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.004612840712070465,0.02699117548763752,0.17849677801132202,0.21594148874282837,-0.022378334775567055,-0.03744471073150635,0.004797370173037052,0.3464339077472687
bird_03,dia_r,1,0.2,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.008065330795943737,0.034154944121837616,0.17806144058704376,0.19660349190235138,-0.02608961332589388,-0.018542051315307617,0.004797370173037052,0.3452368378639221
bird_03,dia_r,2,0.2,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.006191901862621307,0.021801775321364403,0.18825380504131317,0.19108694791793823,-0.015609873458743095,-0.002833142876625061,0.004797370173037052,0.368023157119751
bird_03,dia_r,3,0.2,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.015218518674373627,0.03403520584106445,0.1750175952911377,0.1884104609489441,-0.018816687166690826,-0.013392865657806396,0.004797370173037052,0.37596434354782104
bird_03,dia_r,4,0.2,native,a butterfly,0.2968597114086151,40.46031188964844,0.02352944016456604,0.01269580889493227,0.026270108297467232,0.18012772500514984,0.2006378322839737,-0.013574299402534962,-0.020510107278823853,0.004797370173037052,0.35527747869491577
bird_03,R,0,0.2,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.004612840712070465,0.003653883934020996,0.17849677801132202,0.17147289216518402,0.000958956778049469,0.0070238858461380005,0.004797370173037052,0.047780148684978485
bird_03,R,1,0.2,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.008065330795943737,0.003871215507388115,0.17806144058704376,0.17725226283073425,0.004194115288555622,0.0008091777563095093,0.004797370173037052,0.04576997831463814
bird_03,R,2,0.2,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.006191901862621307,0.005632316693663597,0.18825380504131317,0.17850515246391296,0.0005595851689577103,0.009748652577400208,0.004797370173037052,0.05098365992307663
bird_03,R,3,0.2,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.015218518674373627,0.010312519967556,0.1750175952911377,0.1776074469089508,0.004905998706817627,-0.0025898516178131104,0.004797370173037052,0.05158010870218277
bird_03,R,4,0.2,native,a butterfly,0.02159298025071621,36.64715576171875,0.43921568989753723,0.01269580889493227,0.008383164182305336,0.18012772500514984,0.1775469183921814,0.004312644712626934,0.002580806612968445,0.004797370173037052,0.04571301490068436
bird_03,N1,0,0.3,native,a butterfly,0.05255722999572754,30.763336181640625,0.7254902124404907,0.02795908786356449,0.025931628420948982,0.1991754025220871,0.20465663075447083,0.002027459442615509,-0.005481228232383728,0.004797370173037052,0.10368572175502777
