image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40755,0.98389,30.039,0.41858,0.04562,0.36815,0.73152,18.647,0.28907,0.19306,0.30307,0.03148,0.89181,0.91204,False,0.837,410.1
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40437,0.97374,30.385,0.43251,0.06343,0.46686,0.6479,16.879,0.27042,0.23715,0.32439,0.03025,0.94453,0.94913,False,0.837,396.0
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38135,0.97868,27.596,0.44782,0.05047,0.43433,0.63454,17.798,0.27691,0.26209,0.29652,0.04171,0.96369,0.9397,False,0.837,396.4
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53923,0.96644,33.658,0.21007,0.09074,0.38078,0.6559,13.411,0.64739,0.30617,0.29541,0.02075,0.92131,0.92392,False,0.837,396.6
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44297,0.97993,31.305,0.42117,0.07713,0.52777,0.56413,11.566,0.36288,0.2804,0.33329,0.02721,0.8999,0.85402,False,0.837,396.8
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54454,0.98233,30.869,0.43331,0.02644,0.37768,0.57787,16.807,0.34425,0.21842,0.21998,0.02861,0.88573,0.87369,False,0.837,397.0
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3254,0.96981,26.538,0.44037,0.03603,0.45454,0.44596,15.712,0.14651,0.23222,0.3374,0.04711,0.92618,0.85301,False,0.837,396.9
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41346,0.98423,29.653,0.43286,0.04071,0.41562,0.72727,18.214,0.25859,0.21817,0.27621,0.03291,0.91297,0.87923,False,0.837,397.3
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4132,0.97715,29.949,0.49336,0.05354,0.42452,0.52505,17.416,0.2856,0.28347,0.22767,0.03181,0.90399,0.77389,True,0.837,397.7
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1000,latent_norm,0.0,eot_geometry,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47297,0.98096,30.366,0.45594,0.06401,0.45003,0.58175,15.647,0.27567,0.25668,0.31869,0.03032,0.93804,0.89866,False,0.837,398.4
