condition,anchor_dists,latent_move,move_per_dists,out_of_range,dists_lo,dists_hi,n_amps
disp_k1,0.05,,,1,0.00012,0.03365,6
disp_k1,0.1,,,1,0.00012,0.03365,6
disp_k1,0.1286,,,1,0.00012,0.03365,6
disp_k1,0.15,,,1,0.00012,0.03365,6
disp_k2,0.05,,,1,0.0001,0.04859,6
disp_k2,0.1,,,1,0.0001,0.04859,6
disp_k2,0.1286,,,1,0.0001,0.04859,6
disp_k2,0.15,,,1,0.0001,0.04859,6
disp_k3,0.05,48.5299,970.6,0,0.00011,0.05407,6
disp_k3,0.1,,,1,0.00011,0.05407,6
disp_k3,0.1286,,,1,0.00011,0.05407,6
disp_k3,0.15,,,1,0.00011,0.05407,6
disp_k4,0.05,45.9484,918.97,0,0.00012,0.06377,6
disp_k4,0.1,,,1,0.00012,0.06377,6
disp_k4,0.1286,,,1,0.00012,0.06377,6
disp_k4,0.15,,,1,0.00012,0.06377,6
disp_k8,0.05,44.3867,887.73,0,9e-05,0.07888,6
disp_k8,0.1,,,1,9e-05,0.07888,6
disp_k8,0.1286,,,1,9e-05,0.07888,6
disp_k8,0.15,,,1,9e-05,0.07888,6
disp_kfull,0.05,34.5115,690.23,0,0.0005,0.18044,6
disp_kfull,0.1,49.2816,492.82,0,0.0005,0.18044,6
disp_kfull,0.1286,56.8778,442.28,0,0.0005,0.18044,6
disp_kfull,0.15,62.5616,417.08,0,0.0005,0.18044,6
warp_smooth,0.05,52.951,1059.02,0,0.0069,0.17633,6
warp_smooth,0.1,77.9351,779.35,0,0.0069,0.17633,6
warp_smooth,0.1286,84.8656,659.92,0,0.0069,0.17633,6
warp_smooth,0.15,90.0513,600.34,0,0.0069,0.17633,6
warp_fold,0.05,33.7656,675.31,0,0.00911,0.31431,6
warp_fold,0.1,45.1753,451.75,0,0.00911,0.31431,6
warp_fold,0.1286,51.115,397.47,0,0.00911,0.31431,6
warp_fold,0.15,55.5594,370.4,0,0.00911,0.31431,6
