phase,step,loss,feasible,psnr,linf,ssim,vif_p,fsim,lpips,dists,acutance_ratio,rms,frac_gt_16_255
A1,0,0.0961819440126419,True,30.494991302490234,0.7963820695877075,0.9286879301071167,0.4054645895957947,0.9704868197441101,0.08779364079236984,0.03520023822784424,0.9859005212783813,0.029870884492993355,0.043092094361782074
A1,10,0.06705249100923538,True,30.864044189453125,0.7889703512191772,0.9286868572235107,0.39573436975479126,0.968331515789032,0.05989432334899902,0.030806422233581543,0.9617372751235962,0.0286282766610384,0.043304443359375
A1,20,0.0633578673005104,True,30.921504974365234,0.7702435851097107,0.9300335645675659,0.3986932933330536,0.9691686630249023,0.05650510638952255,0.03082454204559326,0.9741502404212952,0.028439514338970184,0.04266357421875
A1,30,0.06047556549310684,True,30.812828063964844,0.7704367637634277,0.9301518797874451,0.39496591687202454,0.9689647555351257,0.05373039096593857,0.033602237701416016,1.0409570932388306,0.0287975762039423,0.043610893189907074
A1,40,0.057352323085069656,True,30.92300796508789,0.7733957767486572,0.9314855933189392,0.40211960673332214,0.9697078466415405,0.05078921467065811,0.032610297203063965,1.0154969692230225,0.028434591367840767,0.042542777955532074
A1,50,0.05535680428147316,True,31.005630493164062,0.7828632593154907,0.9323234558105469,0.40687787532806396,0.9700671434402466,0.04891014099121094,0.032955288887023926,1.0020751953125,0.028165394440293312,0.041680656373500824
A1,60,0.054009679704904556,True,31.069536209106445,0.796004056930542,0.9329099655151367,0.4100540578365326,0.9704425930976868,0.04763961583375931,0.03313976526260376,0.992572009563446,0.02795892395079136,0.04121144860982895
A1,70,0.05304254591464996,True,31.126155853271484,0.8007526397705078,0.9335907697677612,0.4127122461795807,0.9707943797111511,0.046726733446121216,0.03339195251464844,0.9847031831741333,0.027777262032032013,0.040734611451625824
A1,80,0.0523139089345932,True,31.168949127197266,0.8000426292419434,0.9339917898178101,0.41481274366378784,0.9710600972175598,0.04603854566812515,0.03371298313140869,0.9781616926193237,0.02764074318110943,0.04039764404296875
A1,90,0.05173938721418381,True,31.211463928222656,0.7996426820755005,0.9343909621238708,0.41653409600257874,0.9712468385696411,0.04549889266490936,0.0334165096282959,0.9725745320320129,0.0275057815015316,0.0401509627699852
A1,100,0.05127463489770889,True,31.239717483520508,0.7988942861557007,0.934609055519104,0.4178418219089508,0.9713539481163025,0.04505917429924011,0.03354287147521973,0.967817485332489,0.027416454628109932,0.039869945496320724
A1,110,0.05088594928383827,True,31.26432228088379,0.7978287935256958,0.934886634349823,0.41896554827690125,0.9714848399162292,0.04469187185168266,0.0329899787902832,0.9632318615913391,0.027338899672031403,0.039709728211164474
A1,120,0.050562746822834015,True,31.286762237548828,0.797743558883667,0.9351249933242798,0.42005985975265503,0.9716010689735413,0.04438737779855728,0.032836318016052246,0.959141731262207,0.027268359437584877,0.039488475769758224
A1,130,0.050280168652534485,True,31.308372497558594,0.7982547283172607,0.9353346228599548,0.4211387634277344,0.9716905951499939,0.04412194341421127,0.03282761573791504,0.9549474716186523,0.027200600132346153,0.03923289105296135
A1,140,0.0500108040869236,True,31.32866668701172,0.7987733483314514,0.9355529546737671,0.4222005009651184,0.9717735648155212,0.04386957734823227,0.03258025646209717,0.9511116147041321,0.02713712304830551,0.0390472412109375
A1,150,0.05126999691128731,True,31.253318786621094,0.7718851566314697,0.9352604746818542,0.418396532535553,0.9715264439582825,0.045075833797454834,0.03288489580154419,0.9876486659049988,0.027373550459742546,0.03952280804514885
A1,160,0.05127270147204399,True,31.19615364074707,0.7597876787185669,0.9351348876953125,0.4161125421524048,0.971332311630249,0.04504333436489105,0.0336683988571167,1.012405514717102,0.027554308995604515,0.04003143310546875
A1,170,0.051111236214637756,True,31.19586181640625,0.7475056648254395,0.9354370832443237,0.41692182421684265,0.9713972210884094,0.044897906482219696,0.03445380926132202,1.0053919553756714,0.027555231004953384,0.0397745780646801
A1,180,0.05083608999848366,True,31.23174285888672,0.7497045993804932,0.9355287551879883,0.4194352328777313,0.9715256094932556,0.044652607291936874,0.03445446491241455,0.9901759028434753,0.027441639453172684,0.03949737548828125
A1,190,0.05590284988284111,False,31.0867862701416,0.7463291883468628,0.9352778196334839,0.4132217466831207,0.9712188839912415,0.04436710476875305,0.03650999069213867,1.055253505706787,0.02790345437824726,0.040665946900844574
A1,200,0.052045777440071106,True,31.1312198638916,0.7550009489059448,0.9353214502334595,0.41511258482933044,0.9712607264518738,0.045781612396240234,0.03557246923446655,1.030361533164978,0.027761070057749748,0.04042307659983635
A2,0,0.0500108040869236,True,31.32866668701172,0.7987733483314514,0.9355529546737671,0.4222005009651184,0.9717735648155212,0.04386957734823227,0.03258025646209717,0.9511116147041321,0.02713712304830551,0.0390472412109375
