image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.92046,0.84055,0.91852,0.041627,0.045585,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4128,0.92049,26.824,0.32171,0.1121,0.34144,0.80946,21.426,0.24057,0.14985,0.34638,0.04558,0.86581,0.92683,False,0.837,410.9
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.91062,0.85656,0.9115,0.041034,0.043624,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37966,0.90571,27.205,0.33517,0.09167,0.36831,0.7018,21.264,0.25488,0.18811,0.36235,0.04362,0.97773,0.96217,False,0.837,400.3
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95616,0.8936,0.95862,0.051092,0.054669,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33516,0.94615,25.245,0.37178,0.06929,0.37844,0.68916,18.889,0.24651,0.21475,0.36626,0.05467,0.97436,0.93185,False,0.837,400.4
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.82695,0.79996,0.82793,0.03339,0.034517,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53765,0.88365,29.239,0.13236,0.16947,0.43034,0.66719,16.183,0.26022,0.23815,0.28267,0.03452,0.92098,0.93972,False,0.837,400.6
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.88285,0.80684,0.87994,0.03805,0.041634,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44227,0.91781,27.611,0.31539,0.12662,0.44741,0.70414,14.408,0.30623,0.21572,0.4652,0.04163,0.92561,0.90143,False,0.837,400.5
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.88521,0.8078,0.88156,0.038876,0.042601,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52238,0.93371,27.411,0.32799,0.07123,0.34882,0.62473,18.559,0.32532,0.1707,0.32616,0.0426,0.82743,0.85173,False,0.837,402.2
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.93055,0.86066,0.92648,0.042764,0.046237,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4872,0.93286,26.7,0.32859,0.11099,0.43284,0.6123,16.533,0.22829,0.23321,0.38188,0.04624,0.93789,0.91578,False,0.837,403.8
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95922,0.89447,0.94877,0.047884,0.05135,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4078,0.86359,25.789,0.28795,0.09156,0.37797,0.76727,17.601,0.09321,0.24457,0.49218,0.05135,0.91078,0.91203,False,0.837,400.1
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95735,0.87913,0.95607,0.048353,0.052656,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37358,0.93413,25.571,0.34568,0.07468,0.52882,0.42866,14.777,0.10834,0.27139,0.38908,0.05266,0.89919,0.81317,True,0.837,400.8
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,latent_norm,0.0,eot_jpeg,75 50 30,0.85,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.9265,0.8494,0.92316,0.043059,0.046967,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39959,0.89674,26.564,0.30843,0.08131,0.42054,0.64528,18.276,0.23115,0.22033,0.42291,0.04697,0.91611,0.89558,False,0.837,400.7
