condition,lr_key,lr,steps,image_id,final_loss,final_lpips,final_psnr,finite,diverged,final_L_def,final_L_fid,monitor,monitor_first,monitor_last,monitor_per_step
apa,lr.N4_stage1,0.0001,60,horse_00,0.0,0.12679654359817505,26.917282104492188,True,False,,,,,,
apa,lr.N4_stage1,0.001,60,horse_00,0.04041790962219238,0.12871786952018738,26.990291595458984,True,False,,,,,,
apa,lr.N4_stage1,0.005,60,horse_00,135.77061462402344,0.19975844025611877,24.424907684326172,True,False,,,,,,
apa,lr.N4_stage1,0.02,60,horse_00,2117.224365234375,0.7938235998153687,7.7861857414245605,True,False,,,,,,
apa,lr.N4_stage1,0.1,51,horse_00,inf,nan,nan,False,True,,,,,,
apa,lr.N4_stage2,0.0001,60,horse_00,162.5087127685547,,,True,False,162.5087127685547,0.0,attn_suppressed,1.6166839599609375,3.6307525634765625,0.03413675599179025
apa,lr.N4_stage2,0.001,60,horse_00,139.31668090820312,,,True,False,139.31668090820312,0.0,attn_suppressed,1.6166839599609375,26.822784423828125,0.4272220417604608
apa,lr.N4_stage2,0.005,60,horse_00,52.51047897338867,,,True,False,52.51047897338867,0.0,attn_suppressed,1.6166839599609375,113.62898635864258,1.898513599977655
apa,lr.N4_stage2,0.02,60,horse_00,26.274362564086914,,,True,False,24.868343353271484,1.406019926071167,attn_suppressed,1.6166839599609375,141.27112197875977,2.36702437319998
apa,lr.N4_stage2,0.1,60,horse_00,41.74357223510742,,,True,False,23.06305503845215,18.680517196655273,attn_suppressed,1.6166839599609375,143.0764102935791,2.397622480230816
