image,eps,q,dists,lpips,psnr,ssim,rms,linf
task_attr_mod_color_11699,20.0,21.0,0.032815,0.147149,37.3797,0.988052,0.013521,0.130215
task_attr_mod_color_11699,60.0,61.0,0.069841,0.274762,30.4026,0.955453,0.03019,0.324221
task_attr_mod_color_11699,100.0,101.0,0.117426,0.353254,27.3946,0.921204,0.042684,0.469142
task_attr_mod_color_11699,150.0,151.0,0.172943,0.410627,25.2436,0.884284,0.054679,0.61102
task_attr_mod_color_11699,220.0,221.0,0.230213,0.485993,23.1009,0.830407,0.069977,0.726266
task_attr_mod_color_11699,500.0,501.0,0.345418,0.629518,18.7106,0.655558,0.116003,0.87451
task_attr_mod_color_11699,1000.0,1001.0,0.393023,0.661222,15.0229,0.520814,0.17736,0.976461
task_attr_mod_color_136767,20.0,21.0,0.01895,0.08505,37.1415,0.982028,0.013897,0.146135
task_attr_mod_color_136767,60.0,61.0,0.079675,0.267774,30.5895,0.918722,0.029548,0.366007
task_attr_mod_color_136767,100.0,101.0,0.130682,0.348608,27.8779,0.868242,0.040374,0.502324
task_attr_mod_color_136767,150.0,151.0,0.194308,0.417442,25.8195,0.77098,0.051171,0.60391
task_attr_mod_color_136767,220.0,221.0,0.249278,0.496613,23.9257,0.730181,0.063637,0.831148
task_attr_mod_color_136767,500.0,501.0,0.371162,0.583328,20.1018,0.642193,0.098835,0.974937
task_attr_mod_color_136767,1000.0,1001.0,0.415316,0.61289,16.783,0.54625,0.144827,0.988725
task_attr_mod_color_184837,20.0,21.0,0.011943,0.075855,35.1281,0.98799,0.017522,0.10843
task_attr_mod_color_184837,60.0,61.0,0.076075,0.235653,28.0317,0.949112,0.039666,0.328903
task_attr_mod_color_184837,100.0,101.0,0.117919,0.328555,25.1161,0.908774,0.055487,0.591413
task_attr_mod_color_184837,150.0,151.0,0.175131,0.434264,22.9692,0.862293,0.071046,0.596
task_attr_mod_color_184837,220.0,221.0,0.235102,0.52987,21.1218,0.801058,0.087884,0.681572
task_attr_mod_color_184837,500.0,501.0,0.377321,0.700357,17.6251,0.515099,0.131446,0.905882
task_attr_mod_color_184837,1000.0,1001.0,0.422595,0.783656,14.561,0.270938,0.187047,0.941664
task_attr_mod_color_32648,20.0,21.0,0.038933,0.204465,41.9425,0.979894,0.007995,0.095598
task_attr_mod_color_32648,60.0,61.0,0.164058,0.34535,36.6409,0.936559,0.014721,0.257185
task_attr_mod_color_32648,100.0,101.0,0.240458,0.422356,33.5219,0.84135,0.021081,0.414883
task_attr_mod_color_32648,150.0,151.0,0.291098,0.426397,30.9667,0.828603,0.028292,0.454852
task_attr_mod_color_32648,220.0,221.0,0.327555,0.414685,28.5453,0.79291,0.037388,0.752941
task_attr_mod_color_32648,500.0,501.0,0.381782,0.443892,24.032,0.472739,0.062864,0.906829
task_attr_mod_color_32648,1000.0,1001.0,0.456452,0.442432,22.0736,0.443156,0.078762,1.0
task_attr_mod_color_6205,20.0,21.0,0.017483,0.109956,38.8024,0.986898,0.011478,0.127828
task_attr_mod_color_6205,60.0,61.0,0.073421,0.261497,32.4398,0.947835,0.023878,0.278555
task_attr_mod_color_6205,100.0,101.0,0.114281,0.343339,29.6205,0.906671,0.033035,0.343572
task_attr_mod_color_6205,150.0,151.0,0.151785,0.424869,27.4177,0.858026,0.042571,0.476113
task_attr_mod_color_6205,220.0,221.0,0.200775,0.485177,25.4524,0.80056,0.05338,0.646803
task_attr_mod_color_6205,500.0,501.0,0.312395,0.553082,21.4421,0.670233,0.084702,0.824462
task_attr_mod_color_6205,1000.0,1001.0,0.372619,0.699865,15.5195,0.438038,0.167505,0.95165
task_env_weather_112463,20.0,21.0,0.020367,0.123524,38.833,0.980347,0.011438,0.090078
task_env_weather_112463,60.0,61.0,0.084854,0.338394,32.7073,0.928127,0.023154,0.296432
task_env_weather_112463,100.0,101.0,0.144297,0.472835,29.7949,0.872708,0.032378,0.428281
task_env_weather_112463,150.0,151.0,0.224307,0.557985,27.5778,0.810229,0.041794,0.531371
task_env_weather_112463,220.0,221.0,0.278329,0.629611,25.5281,0.734223,0.052917,0.560294
