image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,disp_mean_px,disp_max_px,disp_p99_px,flow_tv,grid_size
car_00,S,32,a wrecked car after an accident,100,10,10,1,389.9,rotate,0,0.0,,,10149.0,0.55,512.0,332.0,182.33333333333334,,,,0.19408461451530457,0.14515042304992676,0.04893418401479721,0.35484957695007324,22.703392028808594,0.9169909358024597,22.703392028808594,0.9169909358024597,0.9188939332962036,0.04893418401479721,0.6324551105499268,2.1213202476501465,1.7961629629135132,1.7540504932403564,32
car_01,S,32,a wrecked car after an accident,100,10,10,1,390.1,rotate,0,0.0,,,11507.9,0.54,512.0,309.6666666666667,163.0,,,,0.20931681990623474,0.15321415662765503,0.05610267072916031,0.34678584337234497,23.272096633911133,0.9219022989273071,23.272096633911133,0.9219022989273071,0.9188827276229858,0.05610267072916031,0.6411932706832886,2.1213202476501465,1.9153252840042114,1.8193439245224,32
dog_00,S,32,a cat sitting on the grass,100,10,10,1,390.5,rotate,0,0.0,,,11507.9,0.7,512.0,291.6666666666667,109.66666666666667,,,,0.19090043008327484,0.10943484306335449,0.08146558701992035,0.3905651569366455,28.99144744873047,0.7183007597923279,28.99144744873047,0.7183007597923279,0.9377331137657166,0.08146558701992035,0.7580177783966064,2.1213202476501465,1.9294164180755615,2.10392427444458,32
