image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_127061,phase,instruct-pix2pix,turn the color of control panel to gray,,1.3,False,100,7.5,1.5,20260812,False,0.20271,0.93237,25.523,0.49482,0.06542,0.22992,0.7804,19.93,0.39708,0.1375,0.54174,0.05295,120.8
task_attr_mod_color_30214,phase,instruct-pix2pix,turn the color of glass of whiskey to green,,1.3,False,100,7.5,1.5,20260812,False,0.15938,0.97319,34.113,0.68677,0.06539,0.18357,0.8438,26.656,0.50667,0.11413,0.3474,0.01969,120.8
task_attr_mod_color_96137,phase,instruct-pix2pix,turn the color of robot companion to orange,,1.3,False,100,7.5,1.5,20260812,False,0.20413,0.94134,27.339,0.48475,0.08429,0.2561,0.81574,20.818,0.35002,0.16943,0.43469,0.04296,120.7
task_env_weather_165714,phase,instruct-pix2pix,change the setting to a foggy day,,1.3,False,100,7.5,1.5,20260812,False,0.15472,0.96499,33.309,0.67751,0.03688,0.17663,0.84684,23.89,0.65384,0.12595,0.33657,0.0216,120.9
task_env_weather_61151,phase,instruct-pix2pix,change the setting to a summer day,,1.3,False,100,7.5,1.5,20260812,False,0.34699,0.90981,25.512,0.41749,0.06067,0.43859,0.56213,17.848,0.16574,0.1475,0.71558,0.05301,120.7
task_obj_add_290491,phase,instruct-pix2pix,Add woman,,1.3,False,100,7.5,1.5,20260812,False,0.19717,0.97152,35.139,0.68964,0.0449,0.31595,0.71075,23.093,0.29037,0.1886,0.25924,0.0175,120.7
task_obj_add_531333,phase,instruct-pix2pix,Add grey hat,,1.3,False,100,7.5,1.5,20260812,False,0.35124,0.90023,26.076,0.40304,0.09013,0.42917,0.62105,19.156,0.23904,0.24303,0.55788,0.04968,120.7
task_obj_add_850681,phase,instruct-pix2pix,Add left carnation,,1.3,False,100,7.5,1.5,20260812,False,0.29611,0.91902,26.615,0.45833,0.09129,0.30881,0.73767,21.535,0.26333,0.15714,0.49082,0.04669,120.7
task_obj_remove_303082,phase,instruct-pix2pix,Remove red rock,,1.3,False,100,7.5,1.5,20260812,False,0.28671,0.93431,28.882,0.47935,0.05959,0.37002,0.67192,17.946,0.27401,0.17015,0.48087,0.03597,120.8
task_obj_remove_648479,phase,instruct-pix2pix,Remove dam,,1.3,False,100,7.5,1.5,20260812,False,0.21015,0.96824,34.291,0.61373,0.04908,0.29092,0.79319,24.675,0.34463,0.13416,0.44794,0.0193,120.8
task_obj_swap_joint_mask_476374,phase,instruct-pix2pix,Replace the pirate with eyepatch with man in military uniform,,1.3,False,100,7.5,1.5,20260812,False,0.18693,0.96313,32.249,0.61801,0.04677,0.40544,0.62813,16.337,0.23697,0.1909,0.43631,0.02441,121.0
task_obj_swap_rand_mask_268827,phase,instruct-pix2pix,Replace the knight armor with jacket,,1.3,False,100,7.5,1.5,20260812,False,0.22543,0.97703,35.206,0.62884,0.03402,0.3872,0.72253,20.563,0.12361,0.17798,0.29918,0.01737,120.4
task_obj_swap_rand_mask_92564,phase,instruct-pix2pix,Replace the wooden flooring with gray carpet,,1.3,False,100,7.5,1.5,20260812,False,0.18182,0.96144,32.358,0.61343,0.05003,0.64346,0.32228,10.965,0.07005,0.3986,0.29678,0.0241,120.2
