image,condition,radius,step,loss,param_absmean,eval
task_attr_mod_color_11699,phase_gain,2.5,0,1.4220587015151978,0.008768380653389314,1.1549352407455444
task_attr_mod_color_11699,phase_gain,2.5,75,1.1047792434692383,0.1982687480965019,
task_attr_mod_color_11699,phase_gain,2.5,150,0.9579864740371704,0.36249318819613646,
task_attr_mod_color_11699,phase_gain,2.5,200,0.8881539702415466,0.4510218929472677,0.8977517485618591
task_attr_mod_color_11699,phase_gain,2.5,225,0.9680947065353394,0.4983943993647755,
task_attr_mod_color_11699,phase_gain,2.5,300,1.2255628108978271,0.6328691426644623,
task_attr_mod_color_11699,phase_gain,2.5,375,0.8253162503242493,0.7592026790375914,
task_attr_mod_color_11699,phase_gain,2.5,400,0.8465773463249207,0.7929929244256875,0.7863354086875916
task_attr_mod_color_11699,phase_gain,2.5,450,0.7938616275787354,0.8542220131395754,
task_attr_mod_color_11699,phase_gain,2.5,525,0.8332463502883911,0.9419762389053254,
task_attr_mod_color_11699,phase_gain,2.5,600,1.256854772567749,1.0182757842412113,0.7338435649871826
task_attr_mod_color_11699,phase_gain,2.5,675,0.8153784275054932,1.0786459602332057,
task_attr_mod_color_11699,phase_gain,2.5,750,0.6750041842460632,1.130181267403411,
task_attr_mod_color_11699,phase_gain,2.5,800,0.7088194489479065,1.1592389270797077,0.7018009424209595
task_attr_mod_color_11699,phase_gain,2.5,825,0.7668522000312805,1.1734663243995824,
task_attr_mod_color_11699,phase_gain,2.5,900,0.769369900226593,1.213044781152106,
task_attr_mod_color_11699,phase_gain,2.5,975,0.7266722917556763,1.2490889314305604,
task_attr_mod_color_11699,phase_gain,2.5,1000,0.6509342789649963,1.2599675317612251,0.6741910576820374
task_attr_mod_color_11699,phase_gain,2.5,1050,0.6681357622146606,1.2816389118517229,
task_attr_mod_color_11699,phase_gain,2.5,1125,0.7621527314186096,1.3099772667942917,
task_attr_mod_color_11699,phase_gain,2.5,1200,0.8427493572235107,1.3341238470240167,0.6528962850570679
task_attr_mod_color_11699,phase_gain,2.5,1275,0.6528921127319336,1.3593608053428472,
task_attr_mod_color_11699,phase_gain,2.5,1350,0.7559827566146851,1.3829692394709363,
task_attr_mod_color_11699,phase_gain,2.5,1400,0.8342248797416687,1.3992703619909501,0.6431034207344055
task_attr_mod_color_11699,phase_gain,2.5,1425,0.6190165877342224,1.4052053602506092,
task_attr_mod_color_11699,phase_gain,2.5,1500,0.8338291645050049,1.42394861642882,
task_attr_mod_color_11699,phase_gain,2.5,1575,0.612400233745575,1.4394385224504003,
task_attr_mod_color_11699,phase_gain,2.5,1600,0.6368957161903381,1.4445423446745562,0.6319859027862549
task_attr_mod_color_11699,phase_gain,2.5,1650,0.6354053020477295,1.4568228985381135,
task_attr_mod_color_11699,phase_gain,2.5,1725,0.6965697407722473,1.4720338605116603,
task_attr_mod_color_11699,phase_gain,2.5,1800,0.7448443174362183,1.487732117995127,0.627486526966095
task_attr_mod_color_11699,phase_gain,2.5,1875,0.5972133874893188,1.4994579925165332,
task_attr_mod_color_11699,phase_gain,2.5,1950,0.6446568965911865,1.5126263922728855,
task_attr_mod_color_11699,phase_gain,2.5,2000,0.8255535960197449,1.5215279107205013,0.6174601912498474
task_attr_mod_color_11699,phase_gain,2.5,2025,0.6133463382720947,1.5237364035851027,
task_attr_mod_color_11699,phase_gain,2.5,2100,0.7299462556838989,1.5363098242255482,
task_attr_mod_color_11699,phase_gain,2.5,2175,0.7438032627105713,1.5476171467107553,
task_attr_mod_color_11699,phase_gain,2.5,2200,0.8097034692764282,1.5493090301949182,0.6140273809432983
task_attr_mod_color_11699,phase_gain,2.5,2250,0.9953786134719849,1.5577629002784545,
task_attr_mod_color_11699,phase_gain,2.5,2325,0.6197174787521362,1.5638246171249566,
task_attr_mod_color_11699,phase_gain,2.5,2400,0.586277961730957,1.5728409436999653,0.6090211868286133
task_attr_mod_color_11699,phase_gain,2.5,2475,0.7068493962287903,1.57897776714236,
task_attr_mod_color_11699,phase_gain,2.5,2550,0.9602004289627075,1.588349068917508,
task_attr_mod_color_11699,phase_gain,2.5,2600,0.5994473695755005,1.593737273755656,0.6062158942222595
task_attr_mod_color_11699,phase_gain,2.5,2625,0.6387420296669006,1.5974236969195963,
task_attr_mod_color_11699,phase_gain,2.5,2700,0.796603262424469,1.6053957644448311,
task_attr_mod_color_11699,phase_gain,2.5,2775,0.8255643844604492,1.611996932648799,
task_attr_mod_color_11699,phase_gain,2.5,2800,0.612026572227478,1.614748031239123,0.603388786315918
task_attr_mod_color_11699,phase_gain,2.5,2850,0.8296463489532471,1.6174862948137836,
task_attr_mod_color_11699,phase_gain,2.5,2925,0.7587461471557617,1.6257389379568394,
task_attr_mod_color_11699,phase_gain,2.5,2999,0.802325427532196,1.631031369648451,0.6004837155342102
task_attr_mod_color_6205,phase_gain,2.5,0,1.38521409034729,0.008768380653389314,1.148536205291748
task_attr_mod_color_6205,phase_gain,2.5,75,1.1151111125946045,0.21002048979725027,
task_attr_mod_color_6205,phase_gain,2.5,150,0.9534332752227783,0.3898752936825618,
task_attr_mod_color_6205,phase_gain,2.5,200,0.9028398394584656,0.4870275789679777,0.8789035081863403
task_attr_mod_color_6205,phase_gain,2.5,225,0.948497474193573,0.5386097393839192,
task_attr_mod_color_6205,phase_gain,2.5,300,1.15468430519104,0.6837734674121128,
task_attr_mod_color_6205,phase_gain,2.5,375,0.8535369634628296,0.8170508288374522,
task_attr_mod_color_6205,phase_gain,2.5,400,0.8112921118736267,0.8537411079446572,0.7620745301246643
task_attr_mod_color_6205,phase_gain,2.5,450,0.7740924954414368,0.9163715247563522,
task_attr_mod_color_6205,phase_gain,2.5,525,0.829817533493042,1.0108217129307344,
task_attr_mod_color_6205,phase_gain,2.5,600,1.1789581775665283,1.089998803515489,0.7131894826889038
task_attr_mod_color_6205,phase_gain,2.5,675,0.8743440508842468,1.1530227005743126,
task_attr_mod_color_6205,phase_gain,2.5,750,0.6618198156356812,1.2071054864253394,
task_attr_mod_color_6205,phase_gain,2.5,800,0.6942710876464844,1.2363698659937348,0.6907946467399597
task_attr_mod_color_6205,phase_gain,2.5,825,0.7547176480293274,1.2509358684302123,
task_attr_mod_color_6205,phase_gain,2.5,900,0.7876781821250916,1.2916064436129482,
task_attr_mod_color_6205,phase_gain,2.5,975,0.7201477885246277,1.3289240341106856,
task_attr_mod_color_6205,phase_gain,2.5,1000,0.652101993560791,1.3405117690567352,0.6753901243209839
task_attr_mod_color_6205,phase_gain,2.5,1050,0.6698969006538391,1.361821375739645,
task_attr_mod_color_6205,phase_gain,2.5,1125,0.7531896829605103,1.3907164222937696,
task_attr_mod_color_6205,phase_gain,2.5,1200,0.9342458844184875,1.4160609554472676,0.6644221544265747
task_attr_mod_color_6205,phase_gain,2.5,1275,0.6647347807884216,1.4398650147928993,
task_attr_mod_color_6205,phase_gain,2.5,1350,0.7715477347373962,1.46185645449008,
task_attr_mod_color_6205,phase_gain,2.5,1400,0.8564063906669617,1.4765386790811,0.6606361865997314
task_attr_mod_color_6205,phase_gain,2.5,1425,0.6352570652961731,1.48303363209189,
task_attr_mod_color_6205,phase_gain,2.5,1500,0.9240272641181946,1.5015138248346676,
task_attr_mod_color_6205,phase_gain,2.5,1575,0.631088376045227,1.5162789331709015,
task_attr_mod_color_6205,phase_gain,2.5,1600,0.6530648469924927,1.5215723438043856,0.6552113890647888
task_attr_mod_color_6205,phase_gain,2.5,1650,0.6605092287063599,1.533174926035503,
task_attr_mod_color_6205,phase_gain,2.5,1725,0.7164009213447571,1.5472768012530456,
task_attr_mod_color_6205,phase_gain,2.5,1800,0.7953654527664185,1.5613679081099896,0.6525619626045227
task_attr_mod_color_6205,phase_gain,2.5,1875,0.6201741099357605,1.572797272015315,
task_attr_mod_color_6205,phase_gain,2.5,1950,0.6703939437866211,1.5852069918203968,
task_attr_mod_color_6205,phase_gain,2.5,2000,0.9131536483764648,1.5924316372258962,0.6458997130393982
task_attr_mod_color_6205,phase_gain,2.5,2025,0.6408683061599731,1.5952043813087364,
task_attr_mod_color_6205,phase_gain,2.5,2100,0.7770757675170898,1.6057302906369648,
task_attr_mod_color_6205,phase_gain,2.5,2175,0.731904149055481,1.615844663679081,
task_attr_mod_color_6205,phase_gain,2.5,2200,0.8401463627815247,1.6174164092412113,0.6424561738967896
task_attr_mod_color_6205,phase_gain,2.5,2250,0.9544366002082825,1.6242597024016707,
task_attr_mod_color_6205,phase_gain,2.5,2325,0.6495038270950317,1.6309792681865645,
task_attr_mod_color_6205,phase_gain,2.5,2400,0.6106192469596863,1.6387434193351897,0.638141393661499
task_attr_mod_color_6205,phase_gain,2.5,2475,0.754594087600708,1.644899114601462,
task_attr_mod_color_6205,phase_gain,2.5,2550,0.9156261086463928,1.6523519078489384,
task_attr_mod_color_6205,phase_gain,2.5,2600,0.6265777349472046,1.6570738339714584,0.63578861951828
task_attr_mod_color_6205,phase_gain,2.5,2625,0.6607122421264648,1.6594020840584756,
task_attr_mod_color_6205,phase_gain,2.5,2700,0.8441208004951477,1.6660395274973896,
task_attr_mod_color_6205,phase_gain,2.5,2775,0.9101620316505432,1.6716522363383224,
task_attr_mod_color_6205,phase_gain,2.5,2800,0.6399537324905396,1.673917507831535,0.6331704258918762
task_attr_mod_color_6205,phase_gain,2.5,2850,0.9145808815956116,1.6769899712843717,
task_attr_mod_color_6205,phase_gain,2.5,2925,0.7679402232170105,1.6832070679603202,
task_attr_mod_color_6205,phase_gain,2.5,2999,0.848700225353241,1.687899788983641,0.6295173764228821
