image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42786,0.89192,20.96,0.28062,0.15506,0.61663,0.45975,9.868,0.14385,0.34589,0.99608,0.08954,0.74376,0.69077,True,0.837,183.5
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49454,0.82455,20.216,0.21117,0.24861,0.58676,0.38271,9.215,0.15069,0.32939,1.0,0.09755,0.83565,0.7916,True,0.837,173.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.539,0.76948,16.567,0.18422,0.26023,0.78475,0.137,6.202,0.03721,0.67157,0.98431,0.14848,0.69778,0.62324,True,0.837,173.7
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5158,0.93317,27.524,0.19712,0.14089,0.55771,0.40559,11.195,0.09281,0.37957,1.0,0.04205,0.77042,0.71892,True,0.837,173.7
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43407,0.88321,23.023,0.30632,0.19415,0.63779,0.29913,8.065,0.3989,0.41685,0.97647,0.07061,0.77736,0.75599,True,0.837,173.8
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5264,0.86419,24.935,0.30055,0.13307,0.83021,0.32666,10.3,0.17477,0.36397,0.94447,0.05666,0.55449,0.58376,True,0.837,173.8
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49826,0.72164,16.267,0.15548,0.2114,0.64277,0.26999,12.727,0.06295,0.2795,1.0,0.15369,0.73282,0.71663,True,0.837,173.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49811,0.86764,20.335,0.2267,0.15969,0.65323,0.38592,12.898,0.04707,0.45054,0.87059,0.09621,0.61479,0.61973,True,0.837,173.8
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54957,0.77019,20.065,0.20329,0.2287,0.70395,0.22378,11.439,0.07634,0.37181,0.92293,0.09926,0.53181,0.56491,True,0.837,173.9
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,4.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.25,shared,y,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4872,0.8545,20.569,0.33066,0.158,0.74859,0.25593,7.562,0.05131,0.41709,1.0,0.09366,0.71218,0.67827,True,0.837,173.8
