image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_123744,phase,instruct-pix2pix,turn the color of cushion to be black,,1.3,False,100,7.5,1.5,20260812,False,0.13831,0.96292,31.466,0.61897,0.03984,0.16886,0.85689,20.347,0.49426,0.13163,0.30688,0.02671,124.8
task_attr_mod_color_22137,phase,instruct-pix2pix,turn the color of ring to be gray,,1.3,False,100,7.5,1.5,20260812,False,0.23034,0.96617,27.69,0.43057,0.08692,0.23598,0.84842,21.594,0.24416,0.24035,0.63619,0.04126,123.8
task_attr_mod_color_71985,phase,instruct-pix2pix,turn the color of piano to be gray,,1.3,False,100,7.5,1.5,20260812,False,0.15349,0.97071,31.306,0.642,0.03753,0.19409,0.86137,23.005,0.49334,0.11459,0.59171,0.02721,124.0
task_env_weather_137230,phase,instruct-pix2pix,change the setting to a summer day,,1.3,False,100,7.5,1.5,20260812,False,0.23491,0.95502,29.728,0.58727,0.0582,0.27131,0.82242,23.032,0.38813,0.09755,0.37753,0.03263,124.0
task_env_weather_39740,phase,instruct-pix2pix,change the setting to a misty scene,,1.3,False,100,7.5,1.5,20260812,False,0.34153,0.92974,27.239,0.48885,0.05095,0.34532,0.71739,13.03,0.4442,0.24332,0.66591,0.04346,123.7
task_obj_add_166344,phase,instruct-pix2pix,Add mountain,,1.3,False,100,7.5,1.5,20260812,False,0.23155,0.94786,27.828,0.53039,0.05995,0.26777,0.76344,19.728,0.38036,0.18089,0.46268,0.04061,123.6
task_obj_add_44802,phase,instruct-pix2pix,Add clouds,,1.3,False,100,7.5,1.5,20260812,False,0.22178,0.93613,25.249,0.4493,0.06653,0.37828,0.67732,16.46,0.24542,0.17843,0.59336,0.05464,124.3
task_obj_add_709390,phase,instruct-pix2pix,Add glasses,,1.3,False,100,7.5,1.5,20260812,False,0.42908,0.95494,34.64,0.55352,0.07768,0.39204,0.78629,21.735,0.30453,0.21109,0.20436,0.01854,123.6
task_obj_remove_284852,phase,instruct-pix2pix,Remove khaki pants,,1.3,False,100,7.5,1.5,20260812,False,0.153,0.97569,35.698,0.72276,0.04732,0.25148,0.81653,20.41,0.44013,0.11924,0.36942,0.01641,124.1
task_obj_remove_571780,phase,instruct-pix2pix,Remove the house,,1.3,False,100,7.5,1.5,20260812,False,0.23705,0.94792,29.915,0.51526,0.04806,0.35391,0.61968,14.661,0.32967,0.33987,0.38019,0.03193,123.5
task_obj_swap_joint_mask_337228,phase,instruct-pix2pix,Replace the silk sash with yellow shawl,,1.3,False,100,7.5,1.5,20260812,False,0.10879,0.98062,35.693,0.70095,0.05896,0.30187,0.76654,20.081,0.24941,0.17564,0.30646,0.01642,123.3
task_obj_swap_rand_mask_11376,phase,instruct-pix2pix,Replace the glass dome with house,,1.3,False,100,7.5,1.5,20260812,False,0.30835,0.92485,24.594,0.39162,0.06123,0.46156,0.46063,14.416,0.09859,0.24816,0.52788,0.05893,123.7
task_obj_swap_rand_mask_660100,phase,instruct-pix2pix,Replace the hot dog with taco,,1.3,False,100,7.5,1.5,20260812,False,0.24257,0.94523,31.071,0.55965,0.0616,0.29869,0.81339,22.449,0.36065,0.14269,0.41313,0.02795,123.4
