image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.87386,0.86197,0.85873,0.074774,0.075806,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52969,0.84627,22.406,0.2115,0.18297,0.47183,0.63174,17.562,0.17251,0.2768,0.8662,0.07581,0.87598,0.83101,True,0.837,407.0
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.8742,0.87209,0.86879,0.07623,0.076414,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50722,0.7922,22.337,0.20237,0.21783,0.57219,0.49305,12.916,0.16861,0.34593,0.90187,0.07641,0.87859,0.85444,False,0.837,393.8
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.9446,0.92607,0.94311,0.105149,0.107252,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53397,0.81439,19.392,0.20788,0.24584,0.72183,0.28485,9.179,0.16365,0.37754,0.6919,0.10725,0.84805,0.84105,False,0.837,394.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.63137,0.70651,0.63357,0.048429,0.043278,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.59097,0.83583,27.275,0.096,0.20646,0.45795,0.64347,14.951,0.21074,0.27608,0.81894,0.04328,0.94294,0.93085,False,0.837,394.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.76302,0.78178,0.74977,0.060771,0.059313,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5202,0.84593,24.537,0.22571,0.19829,0.59758,0.4664,10.741,0.25883,0.34318,0.71202,0.05931,0.86658,0.78782,True,0.837,394.9
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.75301,0.76997,0.74767,0.057077,0.05582,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5819,0.85875,25.064,0.23672,0.12607,0.41908,0.50085,16.217,0.28411,0.21991,0.79601,0.05582,0.87915,0.86085,False,0.837,394.8
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.9486,0.92486,0.93023,0.119499,0.122566,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45861,0.79474,18.233,0.20544,0.17188,0.61459,0.24614,13.891,0.1137,0.36124,0.98824,0.12257,0.88666,0.84732,False,0.837,392.5
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.89,0.88745,0.89132,0.082648,0.082886,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52528,0.83248,21.63,0.18856,0.16375,0.5149,0.5857,16.523,0.1513,0.31919,0.7084,0.08289,0.86894,0.85119,False,0.837,391.5
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.89262,0.88634,0.89069,0.08337,0.08396,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5549,0.81222,21.519,0.23131,0.20969,0.58519,0.32838,14.965,0.18635,0.43016,0.73333,0.08396,0.81989,0.68018,True,0.837,391.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.85842,0.87174,0.85054,0.079732,0.078514,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54574,0.84343,22.101,0.23228,0.19334,0.54074,0.49223,14.722,0.17416,0.30093,0.97819,0.07851,0.86047,0.80263,True,0.837,391.6
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.91888,0.91487,0.90731,0.09754,0.097968,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49865,0.71273,20.178,0.14899,0.23443,0.66855,0.48906,12.45,0.01232,0.412,0.92615,0.09797,0.86317,0.88493,False,0.837,391.5
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.91485,0.8992,0.91361,0.093216,0.094839,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54678,0.7977,20.46,0.19253,0.20248,0.59155,0.34152,11.103,0.09815,0.27564,0.71976,0.09484,0.76831,0.63675,True,0.837,391.5
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.87791,0.87788,0.87165,0.082127,0.08213,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52977,0.77476,21.71,0.18504,0.19227,0.75652,0.27261,7.791,0.09564,0.57428,0.94036,0.08213,0.3614,0.43225,True,0.837,391.3
