attack,n_cells,dist_mean,dist_sd,dsiglip_mean,dsiglip_sd,dclip_mean,dclip_sd,dniqe_mean,dniqe_sd
PF,4,0.25934,0.01042,-0.00463,0.00733,0.00914,0.0046,-0.09522,0.68518
S,3,0.07034,0.0205,-0.00146,0.00268,-0.00107,0.00187,-0.06452,0.09581
