condition,lr_key,lr,steps,image_id,final_loss,final_L_def,final_L_fid,finite,monitor,monitor_first,monitor_last,monitor_per_step,final_lpips,final_psnr
N1,lr.N1,0.0001,12,bird_03,0.984375,0.984375,0.0,True,shared_mass,0.015625,0.015625,0.0,,
N1,lr.N1,0.001,12,bird_03,0.984375,0.984375,0.0,True,shared_mass,0.015625,0.015625,0.0,,
N1,lr.N1,0.005,12,bird_03,0.984375,0.984375,0.0,True,shared_mass,0.015625,0.015625,0.0,,
N1,lr.N1,0.02,12,bird_03,0.984375,0.984375,0.0,True,shared_mass,0.015625,0.015625,0.0,,
N1,lr.N1,0.1,12,bird_03,0.984375,0.984375,0.0,True,shared_mass,0.015625,0.015625,0.0,,
N2,lr.N2,0.0001,12,bird_03,0.7387657165527344,0.7387657165527344,0.0,True,edit_shift,0.027366291731595993,0.13841484487056732,0.010095323012633757,,
N2,lr.N2,0.001,12,bird_03,0.740429162979126,0.740429162979126,0.0,True,edit_shift,0.027366291731595993,0.14121317863464355,0.010349716991186142,,
N2,lr.N2,0.005,12,bird_03,0.7387733459472656,0.7387733459472656,0.0,True,edit_shift,0.027366291731595993,0.14966262876987457,0.01111784882166169,,
N2,lr.N2,0.02,12,bird_03,0.7370251417160034,0.7370251417160034,0.0,True,edit_shift,0.027366291731595993,0.14375577867031097,0.010580862448974089,,
N2,lr.N2,0.1,12,bird_03,0.7360238432884216,0.7360238432884216,0.0,True,edit_shift,0.027366291731595993,0.15620064735412598,0.011712214147502726,,
N3,lr.N3_stage1,0.0001,12,bird_03,548.9310302734375,,,True,,,,,0.5073935985565186,22.103708267211914
N3,lr.N3_stage1,0.001,12,bird_03,186.00177001953125,,,True,,,,,0.28141456842422485,28.111221313476562
N3,lr.N3_stage1,0.005,12,bird_03,1762.1005859375,,,True,,,,,0.6061866879463196,13.639124870300293
N3,lr.N3_stage1,0.02,12,bird_03,4610.078125,,,True,,,,,0.8484488129615784,6.785064220428467
N3,lr.N3_stage1,0.1,12,bird_03,3715.046630859375,,,True,,,,,0.8194569945335388,8.86307144165039
N3,lr.N3_stage2,0.0001,12,bird_03,0.011575425043702126,0.011575425043702126,0.0,True,edit_shift,0.5268743634223938,0.5967388153076172,0.0063513138077475806,,
N3,lr.N3_stage2,0.001,12,bird_03,0.011306951753795147,0.011306951753795147,0.0,True,edit_shift,0.5268743634223938,0.5983501672744751,0.006497800350189209,,
N3,lr.N3_stage2,0.005,12,bird_03,0.011165520176291466,0.011165520176291466,0.0,True,edit_shift,0.5268743634223938,0.5955227613449097,0.006240763447501443,,
N3,lr.N3_stage2,0.02,12,bird_03,4.715857982635498,0.01156400702893734,4.704294204711914,True,edit_shift,0.5268743634223938,0.5975669622421265,0.0064265998927029696,,
N3,lr.N3_stage2,0.1,12,bird_03,207.79127502441406,0.16839492321014404,207.6228790283203,True,edit_shift,0.5268743634223938,0.6806719303131104,0.013981596990065142,,
