strength,image_id,group,clip_orig,clip_edit,siglip_orig,siglip_edit,effect_clip,effect_siglip
0.3,bird_03,bird,0.16229665279388428,0.17636102437973022,0.0047795698046684265,0.005779623985290527,0.014064371585845947,0.0010000541806221008
0.3,cat_02,cat,0.23083709180355072,0.2580932378768921,0.03955334424972534,0.08237854391336441,0.02725614607334137,0.04282519966363907
0.3,dog_03,dog,0.18605956435203552,0.19438841938972473,0.009928504005074501,0.006699718534946442,0.008328855037689209,-0.0032287854701280594
0.4,bird_03,bird,0.16229665279388428,0.16876743733882904,0.0047795698046684265,0.005657844245433807,0.006470784544944763,0.0008782744407653809
0.4,cat_02,cat,0.23083709180355072,0.27026864886283875,0.03955334424972534,0.08949227631092072,0.039431557059288025,0.049938932061195374
0.4,dog_03,dog,0.18605956435203552,0.20823323726654053,0.009928504005074501,0.004269419237971306,0.022173672914505005,-0.005659084767103195
0.5,bird_03,bird,0.16229665279388428,0.17470420897006989,0.0047795698046684265,0.004233110696077347,0.012407556176185608,-0.0005464591085910797
0.5,cat_02,cat,0.23083709180355072,0.26778197288513184,0.03955334424972534,0.08553429692983627,0.036944881081581116,0.04598095268011093
0.5,dog_03,dog,0.18605956435203552,0.21796077489852905,0.009928504005074501,0.009270340204238892,0.03190121054649353,-0.0006581638008356094
0.6,bird_03,bird,0.16229665279388428,0.19120538234710693,0.0047795698046684265,0.018444886431097984,0.028908729553222656,0.013665316626429558
0.6,cat_02,cat,0.23083709180355072,0.2723730206489563,0.03955334424972534,0.0800904780626297,0.04153592884540558,0.04053713381290436
0.6,dog_03,dog,0.18605956435203552,0.24743610620498657,0.009928504005074501,0.035207390785217285,0.06137654185295105,0.025278886780142784
0.7,bird_03,bird,0.16229665279388428,0.2681754231452942,0.0047795698046684265,0.10954103618860245,0.10587877035140991,0.10476146638393402
0.7,cat_02,cat,0.23083709180355072,0.24765141308307648,0.03955334424972534,0.07820577919483185,0.016814321279525757,0.038652434945106506
0.7,dog_03,dog,0.18605956435203552,0.2747849225997925,0.009928504005074501,0.07987630367279053,0.08872535824775696,0.06994779966771603
0.8,bird_03,bird,0.16229665279388428,0.26957643032073975,0.0047795698046684265,0.11451585590839386,0.10727977752685547,0.10973628610372543
0.8,cat_02,cat,0.23083709180355072,0.24277207255363464,0.03955334424972534,0.08205024898052216,0.011934980750083923,0.042496904730796814
0.8,dog_03,dog,0.18605956435203552,0.27673667669296265,0.009928504005074501,0.10321851819753647,0.09067711234092712,0.09329001419246197
