image,max_dev,chroma_energy,lpips,acut_dev,linf,cdev_mean
dog_00,0.1,0.015764333307743073,0.003901663003489375,0.00010928769188467413,0.03989189863204956,0.19223499298095703
dog_00,0.15,0.015764333307743073,0.008729240857064724,0.00019068938854616135,0.05983781814575195,0.28835245966911316
dog_00,0.3,0.015764333307743073,0.03260201960802078,0.0005104680312797427,0.11967569589614868,0.5767049193382263
dog_00,0.5,0.015764333307743073,0.07609180361032486,0.001055317698046565,0.19945955276489258,0.9611749053001404
dog_00,0.8,0.015764333307743073,0.1398385465145111,0.00206498964689672,0.31913530826568604,1.5378799438476562
dog_00,1.0,0.015764333307743073,0.17641901969909668,0.0028953575529158115,0.39891910552978516,1.9223498106002808
dog_00,1.5,0.015764333307743073,0.25106170773506165,0.005809120833873749,0.5983786582946777,2.8835248947143555
dog_00,2.0,0.015764333307743073,0.30920469760894775,0.010952470824122429,0.7978382110595703,3.8446996212005615
dog_01,0.05,0.018080521374940872,0.0026801596395671368,2.315249048479018e-06,0.004565179347991943,0.09611749649047852
dog_01,0.1,0.018080521374940872,0.013550584204494953,4.630308922060067e-06,0.009130358695983887,0.19223499298095703
dog_01,0.15,0.018080521374940872,0.03357868641614914,7.494832971133292e-06,0.01369553804397583,0.28835245966911316
dog_01,0.3,0.018080521374940872,0.10051190853118896,2.0626259356504306e-05,0.027391046285629272,0.5767049193382263
dog_01,0.5,0.018080521374940872,0.17160294950008392,5.218430669629015e-05,0.045651763677597046,0.9611749053001404
dog_01,0.8,0.018080521374940872,0.2567289471626282,0.00015331937174778432,0.07304278016090393,1.5378799438476562
dog_01,1.0,0.018080521374940872,0.3017103970050812,0.0002791385632008314,0.0913034975528717,1.9223498106002808
dog_01,1.5,0.018080521374940872,0.38607046008110046,0.0008748664404265583,0.13695523142814636,2.8835248947143555
dog_01,2.0,0.018080521374940872,0.44697821140289307,0.0020203441381454468,0.1826070249080658,3.8446996212005615
person_00,0.05,0.036176376044750214,0.004084285348653793,2.481484625604935e-05,0.034458890557289124,0.09611749649047852
person_00,0.1,0.036176376044750214,0.014822964556515217,5.532784416573122e-05,0.06891781091690063,0.19223499298095703
person_00,0.15,0.036176376044750214,0.030015021562576294,0.0001035151508403942,0.10337677597999573,0.28835245966911316
person_00,0.3,0.036176376044750214,0.0929039716720581,0.00039264766382984817,0.20675352215766907,0.5767049193382263
person_00,0.5,0.036176376044750214,0.17783303558826447,0.0010947015834972262,0.3303065001964569,0.9611749053001404
person_00,0.8,0.036176376044750214,0.27990832924842834,0.003321365686133504,0.5250730514526367,1.5378799438476562
person_00,1.0,0.036176376044750214,0.33215877413749695,0.005760836880654097,0.6376540064811707,1.9223498106002808
person_00,1.5,0.036176376044750214,0.42771288752555847,0.014494848437607288,0.8313725590705872,2.8835248947143555
person_00,2.0,0.036176376044750214,0.4936043918132782,0.027200963348150253,1.0,3.8446996212005615
person_01,0.05,0.07524764537811279,0.027014609426259995,0.00019284672453068197,0.038640353828668594,0.09611749649047852
person_01,0.1,0.07524764537811279,0.07297708094120026,0.0004380241734907031,0.0760459378361702,0.19223499298095703
person_01,0.15,0.07524764537811279,0.12221384048461914,0.0007263175793923438,0.10745154321193695,0.28835245966911316
person_01,0.3,0.07524764537811279,0.2524203956127167,0.002266445429995656,0.2149030864238739,0.5767049193382263
person_01,0.5,0.07524764537811279,0.3783864676952362,0.005304897204041481,0.35817182064056396,0.9611749053001404
person_01,0.8,0.07524764537811279,0.49658897519111633,0.01331261545419693,0.5730749368667603,1.5378799438476562
person_01,1.0,0.07524764537811279,0.5462268590927124,0.021627170965075493,0.7163435816764832,1.9223498106002808
person_01,1.5,0.07524764537811279,0.6266476511955261,0.05576100945472717,0.9960784316062927,2.8835248947143555
person_01,2.0,0.07524764537811279,0.6767007112503052,0.11702162772417068,1.0,3.8446996212005615
