image,max_dev,chroma_energy,lpips,acut_dev,linf,cdev_mean
car_00,0.05,0.0722651407122612,0.0029335804283618927,0.0005779024213552475,0.06614488363265991,0.09611749649047852
car_00,0.1,0.0722651407122612,0.010358029045164585,0.0013957080664113164,0.13228976726531982,0.19223499298095703
car_00,0.15,0.0722651407122612,0.02064836397767067,0.0023659346625208855,0.19843459129333496,0.28835245966911316
car_00,0.3,0.0722651407122612,0.061562430113554,0.0058180843479931355,0.39686912298202515,0.5767049193382263
car_00,0.5,0.0722651407122612,0.1281866729259491,0.01189415529370308,0.6614484786987305,0.9611749053001404
car_00,0.8,0.0722651407122612,0.21569721400737762,0.023913506418466568,1.0,1.5378799438476562
car_00,1.0,0.0722651407122612,0.26098722219467163,0.03254402428865433,1.0,1.9223498106002808
car_00,1.5,0.0722651407122612,0.34705474972724915,0.054217707365751266,1.0,2.8835248947143555
car_00,2.0,0.0722651407122612,0.40865030884742737,0.0774475708603859,1.0,3.8446996212005615
car_01,0.05,0.03669384494423866,0.002249784069135785,6.548938108608127e-05,0.0106353759765625,0.09611749649047852
car_01,0.1,0.03669384494423866,0.010277495719492435,0.00013412113185040653,0.021270751953125,0.19223499298095703
car_01,0.15,0.03669384494423866,0.02422594465315342,0.00021017274411860853,0.031906187534332275,0.28835245966911316
car_01,0.3,0.03669384494423866,0.07712283730506897,0.0005037116352468729,0.06381237506866455,0.5767049193382263
car_01,0.5,0.03669384494423866,0.14411446452140808,0.0010888348333537579,0.10635405778884888,0.9611749053001404
car_01,0.8,0.03669384494423866,0.2299167513847351,0.0025136370677500963,0.1701664924621582,1.5378799438476562
car_01,1.0,0.03669384494423866,0.27439987659454346,0.0038766302168369293,0.21270811557769775,1.9223498106002808
car_01,1.5,0.03669384494423866,0.35856109857559204,0.009299526922404766,0.3190622925758362,2.8835248947143555
car_01,2.0,0.03669384494423866,0.421269953250885,0.017610007897019386,0.42541640996932983,3.8446996212005615
dog_00,0.05,0.015764333307743073,0.0009657033951953053,4.362675826996565e-05,0.019945919513702393,0.09611749649047852
