image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20448,0.96742,27.357,0.52589,0.06315,0.26516,0.85456,20.196,0.30356,0.12515,0.67728,0.04287,0.95182,0.94391,False,0.837,1102.3
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.21963,0.94896,26.979,0.46692,0.10086,0.32159,0.67462,13.866,0.25313,0.21155,0.82898,0.04478,0.93904,0.95149,False,0.837,1085.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25231,0.90757,22.073,0.37735,0.1318,0.69965,0.19768,7.826,0.13555,0.39626,0.66157,0.07877,0.90042,0.87692,False,0.837,1084.6
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20689,0.99252,40.617,0.66905,0.05302,0.28055,0.85883,20.628,0.54304,0.21424,0.28512,0.00931,0.94865,0.93458,False,0.837,1084.1
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15955,0.96744,30.649,0.58953,0.07379,0.20407,0.87536,23.667,0.40343,0.11446,0.60466,0.02935,0.97913,0.95834,False,0.837,1082.8
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31689,0.95425,31.51,0.55668,0.06186,0.45002,0.48235,16.399,0.16304,0.22277,0.38368,0.02658,0.73115,0.69361,True,0.837,1081.8
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30557,0.96048,28.502,0.58437,0.1087,0.57385,0.42805,14.39,0.10426,0.31544,0.62825,0.03758,0.84211,0.77818,True,0.837,1081.7
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36023,0.92398,26.072,0.34769,0.1384,0.40551,0.74468,15.247,0.10491,0.21818,0.58027,0.04971,0.92993,0.92302,False,0.837,1085.3
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33364,0.9144,24.182,0.37865,0.10627,0.47886,0.4616,14.136,0.10512,0.23179,0.6345,0.06178,0.75791,0.77987,True,0.837,1086.4
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1000,image_guidance,noise,1,1000,1,1.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.317,0.92507,25.585,0.42108,0.11443,0.74022,0.2704,10.717,0.03056,0.4876,0.74924,0.05257,0.39657,0.50924,True,0.837,1093.4
