step,note,random_seed,init_std,site,fid_acut,fid_pen_acut,fid_chroma,fid_pen_chroma,fid_linf_total,fid_psnr_total,fid_lpips,fid_lpips_rel,fid_ssim,fid_linf,fid_psnr,fid_pen_linf,fid_pen_lpips,fid_pen_psnr,align_loss,align_psnr_floor,align_tau_acut,align_tau_chroma,align_tau_lpips,align_best_step
0,random control：無最佳化,1929522722,0.5,apa,,,,,,,,,,,,,,,,,,,,
0,,,,,0.09609842300415039,0.0,0.9972478747367859,0.0,0.6278678178787231,26.878631591796875,0.12831369042396545,0.12831369042396545,0.8047751188278198,0.6278678178787231,26.878631591796875,0.5678678154945374,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
1,,,,,0.09726440906524658,0.0011657550930976868,1.0011653900146484,0.003917276859283447,0.6230489611625671,26.90098762512207,0.12760715186595917,0.12760715186595917,0.805273711681366,0.6230489611625671,26.90098762512207,0.5630489587783813,0.0,0.0,0.508303165435791,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
2,,,,,0.096743144094944,0.000644490122795105,0.9388110637664795,0.0,0.6208120584487915,26.89885139465332,0.12739548087120056,0.12739548087120056,0.805305004119873,0.6208120584487915,26.89885139465332,0.5608120560646057,0.0,0.0,0.0644490122795105,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
3,,,,,0.09031722694635391,0.0,0.8989282250404358,0.0,0.6158657670021057,26.879350662231445,0.12726503610610962,0.12726503610610962,0.8051397204399109,0.6158657670021057,26.879350662231445,0.5558657646179199,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
4,,,,,0.08561144024133682,0.0,0.8703245520591736,0.0,0.6114364266395569,26.862295150756836,0.12719881534576416,0.12719881534576416,0.8049834966659546,0.6114364266395569,26.862295150756836,0.5514364242553711,0.0,0.016332626342773438,0.016332626342773438,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
5,,,,,0.08377785235643387,0.0,0.8543890118598938,0.0,0.6089261770248413,26.871431350708008,0.1270642727613449,0.1270642727613449,0.8051607012748718,0.6089261770248413,26.871431350708008,0.5489261746406555,0.0,0.0071964263916015625,0.0071964263916015625,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
6,,,,,0.0840955451130867,0.0,0.8458153009414673,0.0,0.6076009273529053,26.893909454345703,0.12688925862312317,0.12688925862312317,0.8054990768432617,0.6076009273529053,26.893909454345703,0.5476009249687195,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
7,,,,,0.0855468362569809,0.0,0.8394953012466431,0.0,0.6064456105232239,26.91241455078125,0.1267646700143814,0.1267646700143814,0.8057738542556763,0.6064456105232239,26.91241455078125,0.5464456081390381,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
8,,,,,0.08740872144699097,0.0,0.8349413871765137,0.0,0.6054356694221497,26.927888870239258,0.12666723132133484,0.12666723132133484,0.8060011863708496,0.6054356694221497,26.927888870239258,0.5454356670379639,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
9,,,,,0.08937238901853561,0.0,0.8314846754074097,0.0,0.6045387387275696,26.94098472595215,0.12659724056720734,0.12659724056720734,0.8061906695365906,0.6045387387275696,26.94098472595215,0.5445387363433838,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
10,,,,,0.09143620729446411,0.0,0.8288694620132446,0.0,0.6037430167198181,26.95215606689453,0.1265431046485901,0.1265431046485901,0.8063499331474304,0.6037430167198181,26.95215606689453,0.5437430143356323,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
11,,,,,0.09333445131778717,0.0,0.8269097805023193,0.0,0.6030319333076477,26.961780548095703,0.12649482488632202,0.12649482488632202,0.8064858317375183,0.6030319333076477,26.961780548095703,0.5430319309234619,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
12,,,,,0.09510841220617294,0.0,0.8254580497741699,0.0,0.6023948788642883,26.97011947631836,0.12645873427391052,0.12645873427391052,0.8066027164459229,0.6023948788642883,26.97011947631836,0.5423948764801025,0.0,0.0,0.0,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
13,,,,,0.09676899760961533,0.0006703436374664307,0.8243898749351501,0.0,0.6018243432044983,26.977378845214844,0.12642912566661835,0.12642912566661835,0.8067027926445007,0.6018243432044983,26.977378845214844,0.5418243408203125,0.0,0.0,0.06703436374664307,26.87862777709961,0.0960986539721489,0.997248113155365,0.12831369042396545,0
