step,t,layer,side,content_mass_mean,content_mass_max,entropy
0,600,0,64,0.010905920527875423,0.04963133484125137,0.8516746163368225
0,600,1,64,0.03391433507204056,0.08883354067802429,1.2366037368774414
0,600,2,32,0.007592454552650452,0.029581842944025993,0.7692606449127197
0,600,3,32,0.009000023826956749,0.07013410329818726,0.3528326749801636
0,600,4,16,0.020219381898641586,0.0977168083190918,0.7770843505859375
0,600,5,16,0.013869273476302624,0.08857220411300659,0.4016583561897278
0,600,6,8,0.053769420832395554,0.15483872592449188,1.510506272315979
0,600,7,16,0.019455917179584503,0.12001854181289673,0.5351964235305786
0,600,8,16,0.019351394847035408,0.12194619327783585,0.2814682722091675
0,600,9,16,0.0060575976967811584,0.06245101988315582,0.20131376385688782
0,600,10,32,0.000700560281984508,0.07881556451320648,0.009052885696291924
0,600,11,32,0.005223777610808611,0.12007515132427216,0.1207825243473053
0,600,12,32,0.007126001175493002,0.06076764315366745,0.23628005385398865
0,600,13,64,0.04328480362892151,0.15362897515296936,1.4870660305023193
0,600,14,64,0.01593608409166336,0.18315166234970093,0.5454703569412231
0,600,15,64,0.01221170462667942,0.0339481458067894,0.6313186883926392
5,540,0,64,0.01027083769440651,0.057772956788539886,0.8005889654159546
5,540,1,64,0.03205813467502594,0.08449053764343262,1.1767730712890625
5,540,2,32,0.007549811154603958,0.06762184947729111,0.6719785928726196
5,540,3,32,0.011534756049513817,0.11025674641132355,0.3794877231121063
5,540,4,16,0.021648749709129333,0.09701785445213318,0.6736664175987244
5,540,5,16,0.010978728532791138,0.1165430024266243,0.33350419998168945
5,540,6,8,0.049810998141765594,0.14665760099887848,1.2920160293579102
5,540,7,16,0.01963150128722191,0.12577477097511292,0.4623109698295593
5,540,8,16,0.01520024798810482,0.11961864680051804,0.273501992225647
5,540,9,16,0.008133837953209877,0.1010126993060112,0.18549233675003052
5,540,10,32,0.0008268523961305618,0.11021552979946136,0.008794926106929779
5,540,11,32,0.007219863124191761,0.2476685345172882,0.13072900474071503
5,540,12,32,0.00905020721256733,0.15272971987724304,0.20305897295475006
5,540,13,64,0.041899144649505615,0.1724831461906433,1.4602364301681519
5,540,14,64,0.020133543759584427,0.2274894267320633,0.5552064180374146
5,540,15,64,0.013165904209017754,0.05107396841049194,0.6615289449691772
10,480,0,64,0.01000375859439373,0.062366776168346405,0.7533162832260132
10,480,1,64,0.031022483482956886,0.08039195090532303,1.1275935173034668
10,480,2,32,0.0075869192369282246,0.0765354186296463,0.5868909358978271
