image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34751,0.94021,24.007,0.40444,0.10669,0.516,0.5818,12.137,0.19547,0.27725,0.94346,0.06305,0.75386,0.75059,True,0.837,195.4
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40986,0.90887,24.281,0.3291,0.1797,0.57064,0.41218,9.862,0.18189,0.33112,1.0,0.06108,0.78029,0.83849,False,0.837,184.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46953,0.86596,20.255,0.28349,0.22951,0.72196,0.24804,8.519,0.17784,0.38978,0.85259,0.09711,0.8615,0.84157,False,0.837,185.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43204,0.97349,32.569,0.35632,0.08938,0.34411,0.67907,14.845,0.62948,0.24741,0.81415,0.02353,0.9492,0.9245,False,0.837,185.1
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.34852,0.94081,27.06,0.44933,0.13838,0.54008,0.46296,9.919,0.38552,0.32645,0.90834,0.04436,0.86242,0.7792,True,0.837,185.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45488,0.92788,28.701,0.44859,0.08444,0.8056,0.42745,11.084,0.18652,0.33425,0.70107,0.03673,0.60434,0.57427,True,0.837,185.8
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43494,0.84026,18.894,0.24956,0.16086,0.63018,0.23864,13.742,0.12389,0.37256,0.99608,0.11358,0.86749,0.8295,True,0.837,185.8
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40947,0.9294,23.514,0.34234,0.10925,0.5003,0.57567,15.946,0.20596,0.30069,0.79257,0.06672,0.87891,0.80609,True,0.837,185.8
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49275,0.88382,23.921,0.3273,0.15736,0.57111,0.36144,15.202,0.20865,0.40622,0.68752,0.06367,0.80093,0.70654,True,0.837,185.8
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40812,0.92784,24.096,0.45097,0.11877,0.67086,0.31809,8.372,0.10793,0.33916,1.0,0.0624,0.73563,0.70019,True,0.837,185.7
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45833,0.84338,21.456,0.19846,0.18646,0.66436,0.50228,12.802,0.01347,0.42858,0.95686,0.08457,0.79153,0.8107,True,0.837,185.7
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49484,0.8718,22.184,0.27964,0.17294,0.64577,0.24874,9.572,0.05799,0.28066,0.88718,0.07777,0.65687,0.63215,True,0.837,186.2
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,0.35,shared,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47113,0.88774,23.403,0.30397,0.13366,0.67243,0.32769,8.68,0.11704,0.44276,0.99408,0.06758,0.37685,0.48614,True,0.837,186.0
