image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5269,0.93311,24.521,0.26964,0.12529,0.59299,0.48206,10.038,0.14371,0.31477,0.68973,0.05942,0.75128,0.70593,True,0.837,406.6
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49934,0.90786,25.444,0.2903,0.16608,0.63022,0.26563,7.161,0.0259,0.39449,0.5779,0.05343,0.77563,0.86484,False,0.837,396.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51644,0.88691,21.424,0.26944,0.21238,0.78453,0.13549,6.116,0.03124,0.67113,0.5466,0.08488,0.7013,0.63633,True,0.837,396.6
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.569,0.93482,30.652,0.1538,0.14145,0.61508,0.40316,10.677,0.07626,0.38462,0.62617,0.02934,0.75732,0.73277,True,0.837,396.9
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54294,0.93377,26.967,0.29405,0.15369,0.74406,0.19437,6.611,0.42112,0.6366,0.74079,0.04484,0.55613,0.4734,True,0.837,397.2
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.58195,0.93574,27.428,0.31283,0.08717,0.86679,0.29742,10.293,0.15556,0.37296,0.59226,0.04252,0.54777,0.56137,True,0.837,396.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54494,0.936,25.538,0.33148,0.13675,0.73572,0.24343,8.026,0.0442,0.38594,0.71308,0.05285,0.73791,0.72466,True,0.837,396.8
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50124,0.82961,23.286,0.22944,0.16754,0.68784,0.45937,12.057,0.0119,0.43195,0.936,0.0685,0.84468,0.87109,False,0.837,396.3
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52312,0.89472,22.978,0.27663,0.14053,0.6373,0.24396,9.334,0.05496,0.28533,0.5676,0.07098,0.67009,0.62758,True,0.837,396.3
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.53398,0.8929,24.527,0.2648,0.1219,0.77702,0.21811,8.87,0.04601,0.5586,0.89804,0.05938,0.37352,0.51105,True,0.837,395.8
