condition,lr_key,lr,steps,image_id,final_loss,final_lpips,final_psnr,finite,diverged,final_L_def,final_L_fid,monitor,monitor_first,monitor_last,monitor_per_step
N4,lr.N4_stage1,0.0001,60,bird_03,0.0,0.1306578814983368,30.299251556396484,True,False,,,,,,
N4,lr.N4_stage1,0.001,60,bird_03,0.0,0.1296970099210739,30.467124938964844,True,False,,,,,,
N4,lr.N4_stage1,0.005,60,bird_03,3.7818856239318848,0.1392577886581421,29.819936752319336,True,False,,,,,,
N4,lr.N4_stage1,0.02,60,bird_03,1390.651611328125,0.7464891076087952,8.812834739685059,True,False,,,,,,
N4,lr.N4_stage1,0.1,60,bird_03,2156.9501953125,0.794843316078186,6.9493255615234375,True,False,,,,,,
N4,lr.N4_stage2,0.0001,60,bird_03,90.370849609375,,,True,False,90.370849609375,0.0,attn_suppressed,-1.3508987426757812,-0.8627777099609375,0.008273237842624471
N4,lr.N4_stage2,0.001,60,bird_03,80.30921173095703,,,True,False,80.30921173095703,0.0,attn_suppressed,-1.3508987426757812,9.198860168457031,0.17880947307004766
N4,lr.N4_stage2,0.005,60,bird_03,35.8692626953125,,,True,False,35.8692626953125,0.0,attn_suppressed,-1.3508987426757812,53.63880920410156,0.9320289482504635
N4,lr.N4_stage2,0.02,60,bird_03,13.451193809509277,,,True,False,13.451193809509277,0.0,attn_suppressed,-1.3508987426757812,76.05687808990479,1.3119962175013655
N4,lr.N4_stage2,0.1,60,bird_03,7.9427409172058105,,,True,False,6.9123077392578125,1.030433177947998,attn_suppressed,-1.3508987426757812,82.59576416015625,1.4228247949632549
