image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_shield_y,instruct-pix2pix,turn the color of potted plant to pink,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.57671,0.90392,23.732,0.25929,0.11775,0.61301,0.47555,10.2,0.12971,0.34002,0.50903,0.06508,0.77099,0.73202,True,0.837,388.5
task_attr_mod_color_136767,dct_shield_y,instruct-pix2pix,turn the color of astronaut to pink,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.5392,0.84309,24.175,0.27581,0.11854,0.6321,0.2533,7.152,0.02188,0.44044,0.51738,0.06184,0.70844,0.85133,False,0.837,370.5
task_attr_mod_color_184837,dct_shield_y,instruct-pix2pix,turn the color of frame to pink,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.4933,0.94932,23.354,0.35615,0.07465,0.77597,0.13673,6.413,0.03547,0.67089,0.45424,0.06796,0.70889,0.63542,True,0.837,370.8
task_attr_mod_color_32648,dct_shield_y,instruct-pix2pix,turn the color of potion bottle to orange,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.62787,0.78343,25.55,0.08705,0.21844,0.62471,0.39802,10.51,0.07748,0.39184,0.37902,0.05279,0.7742,0.7156,True,0.837,371.2
task_attr_mod_color_6205,dct_shield_y,instruct-pix2pix,turn the color of toolbox to red,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.60913,0.88827,24.164,0.24224,0.13302,0.75012,0.19138,6.489,0.30935,0.76918,0.43708,0.06191,0.54053,0.46961,True,0.837,372.1
task_env_weather_112463,dct_shield_y,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.64828,0.912,23.953,0.26453,0.09037,0.8859,0.28452,10.123,0.14682,0.38289,0.44537,0.06344,0.54171,0.56767,True,0.837,373.3
task_obj_remove_380621,dct_shield_y,instruct-pix2pix,Remove iceberg,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.60649,0.91089,24.069,0.26684,0.1253,0.72833,0.2383,8.037,0.04326,0.383,0.42151,0.0626,0.73103,0.71192,True,0.837,371.9
task_obj_swap_joint_mask_276754,dct_shield_y,instruct-pix2pix,Replace the satellite dish with rocket,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.50231,0.81086,23.668,0.24203,0.10269,0.70177,0.41476,11.831,0.01059,0.44079,0.39688,0.06556,0.77078,0.82359,True,0.837,371.3
task_obj_swap_joint_mask_533428,dct_shield_y,instruct-pix2pix,Replace the samurai armor with red jacket,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.49949,0.93141,23.657,0.32613,0.0717,0.63802,0.24186,9.338,0.05691,0.28507,0.42901,0.06564,0.65487,0.61647,True,0.837,373.7
task_obj_swap_rand_mask_417469,dct_shield_y,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.6,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,0.0,none,0.0,0.75,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.54929,0.87631,24.186,0.26081,0.09257,0.7828,0.22974,9.08,0.06478,0.53459,0.46525,0.06176,0.40129,0.49817,True,0.837,371.4
