image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35759,0.93251,23.895,0.3896,0.11388,0.49796,0.6194,12.941,0.21765,0.27928,0.97647,0.06386,0.83246,0.82746,True,0.837,182.6
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41919,0.8878,23.604,0.32057,0.19401,0.57044,0.39021,9.497,0.14433,0.29536,0.99216,0.06604,0.78067,0.84034,False,0.837,173.2
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47515,0.85761,20.433,0.29023,0.23813,0.76359,0.15716,7.724,0.1798,0.46767,0.8333,0.09514,0.69071,0.74035,True,0.837,173.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45491,0.96261,32.654,0.33603,0.0979,0.34583,0.68675,14.968,0.62766,0.23851,0.94911,0.0233,0.93951,0.95716,False,0.837,172.9
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35933,0.92698,26.604,0.43246,0.15041,0.56181,0.4267,9.463,0.38257,0.33435,0.94253,0.04675,0.86853,0.77278,True,0.837,173.0
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45401,0.92853,28.484,0.44557,0.07883,0.80982,0.42027,11.024,0.20392,0.33362,0.66004,0.03765,0.59518,0.58885,True,0.837,173.1
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44416,0.7984,18.284,0.23414,0.1654,0.61843,0.26033,14.26,0.12211,0.35193,1.0,0.12185,0.89717,0.85687,False,0.837,172.9
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42225,0.90975,23.003,0.32483,0.12582,0.52592,0.57686,15.242,0.16604,0.29823,0.7451,0.07077,0.77181,0.8101,True,0.837,173.0
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50946,0.85992,23.14,0.3079,0.17413,0.56522,0.37527,15.588,0.20265,0.37309,0.70557,0.06967,0.84966,0.78233,True,0.837,173.0
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.18,inf,0,32,16,0.0,1.0,binary,1.0,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41463,0.90795,23.866,0.43874,0.12949,0.7071,0.29305,7.911,0.08253,0.36254,1.0,0.06408,0.72335,0.69695,True,0.837,173.0
