image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,loss,gain_ratio,purify_aware,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.09774,0.95847,27.692,0.55562,0.04182,0.12804,0.89821,22.867,0.42608,0.06514,0.51678,0.04125,82.9
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.1543,0.88683,22.878,0.4138,0.11063,0.28053,0.6785,17.52,0.28763,0.20383,0.66073,0.07179,83.7
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.10632,0.95554,30.686,0.59467,0.09705,0.22398,0.82657,17.332,0.49635,0.14318,0.49438,0.02922,83.9
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.15643,0.95591,31.471,0.57758,0.04478,0.20874,0.88805,26.264,0.38054,0.06041,0.32929,0.0267,84.1
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.20821,0.86872,20.792,0.40936,0.08615,0.37466,0.5699,17.407,0.18265,0.16618,0.79378,0.09129,84.3
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.18455,0.90631,26.342,0.44234,0.09222,0.28451,0.70106,20.363,0.2171,0.17482,0.55367,0.04819,84.2
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.303,0.9068,26.006,0.44218,0.08115,0.29852,0.67948,19.835,0.28132,0.16498,0.5583,0.05008,84.7
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.14944,0.93057,26.364,0.59233,0.06517,0.19585,0.84799,22.892,0.43775,0.0714,0.57072,0.04806,84.3
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.13883,0.96425,33.291,0.65569,0.05562,0.16653,0.89927,27.577,0.44457,0.07475,0.32966,0.02165,84.4
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.19899,0.90091,25.41,0.43561,0.08039,0.23996,0.77169,21.619,0.30247,0.10085,0.61549,0.05364,83.8
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.34153,0.82708,26.214,0.29094,0.12259,0.18228,0.80396,21.201,0.27087,0.18656,0.53793,0.0489,83.1
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.24429,0.94132,32.624,0.5065,0.09461,0.32719,0.7677,17.963,0.30959,0.22614,0.35387,0.02338,82.7
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,1.6,False,0.0,0.12,0.7,0,32,encoder_target,0.0,none,100,7.5,1.5,20260812,False,0.18254,0.92661,27.963,0.48966,0.05542,0.22071,0.79284,22.427,0.35171,0.10324,0.50842,0.03998,82.7
