image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_126580,phase,instruct-pix2pix,turn the color of a stone fountain to red,,1.3,False,100,7.5,1.5,20260812,False,0.27435,0.94561,27.863,0.51901,0.04909,0.34024,0.73703,20.571,0.26782,0.1313,0.53147,0.04044,120.6
task_attr_mod_color_234404,phase,instruct-pix2pix,turn the color of grizzly bear to be white,,1.3,False,100,7.5,1.5,20260812,False,0.21989,0.94841,32.572,0.58927,0.08292,0.53452,0.65733,12.948,0.40601,0.23619,0.30258,0.02352,120.5
task_attr_mod_color_76641,phase,instruct-pix2pix,turn the color of micrometer to blue,,1.3,False,100,7.5,1.5,20260812,False,0.12401,0.9814,37.651,0.76852,0.02346,0.12393,0.91569,28.925,0.60971,0.05101,0.26084,0.01311,120.5
task_env_weather_150522,phase,instruct-pix2pix,change the setting to fall with colorful leaves,,1.3,False,100,7.5,1.5,20260812,False,0.34375,0.88554,19.66,0.35573,0.06929,0.55053,0.4197,13.873,0.09566,0.25529,0.8735,0.10399,120.2
task_env_weather_59863,phase,instruct-pix2pix,change the setting to a snowy scene,,1.3,False,100,7.5,1.5,20260812,False,0.24396,0.92783,27.114,0.50136,0.05782,0.24045,0.83217,22.567,0.37723,0.12735,0.47486,0.04409,120.5
task_obj_add_24380,phase,instruct-pix2pix,Add flag,,1.3,False,100,7.5,1.5,20260812,False,0.20067,0.95652,29.63,0.5735,0.07378,0.23214,0.82652,22.588,0.40823,0.13763,0.44961,0.033,120.2
task_obj_add_530461,phase,instruct-pix2pix,Add black costume,,1.3,False,100,7.5,1.5,20260812,False,0.1069,0.99134,40.374,0.79582,0.04428,0.15149,0.79178,30.746,0.61298,0.11872,0.2143,0.00958,120.5
task_obj_add_767982,phase,instruct-pix2pix,Add grape,,1.3,False,100,7.5,1.5,20260812,False,0.21204,0.94831,28.229,0.5445,0.06315,0.26751,0.77642,20.32,0.33302,0.13383,0.46268,0.03878,120.3
task_obj_remove_2878,phase,instruct-pix2pix,Remove person,,1.3,False,100,7.5,1.5,20260812,False,0.1687,0.96386,31.509,0.64525,0.05223,0.22289,0.85324,25.491,0.37719,0.08959,0.40055,0.02658,120.5
task_obj_remove_634326,phase,instruct-pix2pix,Remove fence,,1.3,False,100,7.5,1.5,20260812,False,0.21268,0.94893,29.887,0.53067,0.06239,0.45813,0.619,14.339,0.23864,0.27654,0.46785,0.03203,120.5
task_obj_swap_joint_mask_474202,phase,instruct-pix2pix,Replace the wooden deck with stone floor,,1.3,False,100,7.5,1.5,20260812,False,0.18971,0.94687,28.276,0.49419,0.07279,0.35406,0.60037,15.505,0.20034,0.19466,0.43318,0.03856,120.6
task_obj_swap_rand_mask_216136,phase,instruct-pix2pix,Replace the shimmering glass structures with tree stumps,,1.3,False,100,7.5,1.5,20260812,False,0.12303,0.96805,31.062,0.69098,0.063,0.21626,0.74106,19.629,0.23075,0.13632,0.39785,0.02798,120.0
task_obj_swap_rand_mask_79926,phase,instruct-pix2pix,Replace the Hawaiian shirt with blue dress,,1.3,False,100,7.5,1.5,20260812,False,0.15717,0.97472,31.778,0.63572,0.03859,0.1653,0.88632,22.59,0.4679,0.08663,0.46862,0.02577,118.7
