image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33278,0.95292,26.204,0.43996,0.13117,0.37473,0.73803,18.946,0.29261,0.22019,0.86667,0.04895,0.90101,0.9128,False,0.837,187.2
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.33172,0.93775,26.153,0.39662,0.10678,0.41261,0.70558,17.677,0.25903,0.24413,0.88822,0.04924,0.95501,0.95241,False,0.837,177.6
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38339,0.93815,21.85,0.35289,0.10984,0.51159,0.4754,15.739,0.24167,0.31101,0.71383,0.08082,0.95598,0.89812,False,0.837,177.7
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37371,0.98588,35.706,0.47461,0.06755,0.29828,0.72259,16.943,0.52497,0.20864,0.53077,0.01639,0.95052,0.89333,False,0.837,177.8
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29195,0.95902,29.126,0.51345,0.12501,0.42735,0.63199,11.562,0.38453,0.2563,0.79768,0.03497,0.87556,0.86078,False,0.837,180.1
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42424,0.8961,27.762,0.41769,0.14604,0.40279,0.50619,16.675,0.2615,0.20995,0.54029,0.04092,0.87999,0.86124,False,0.837,180.2
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3665,0.91998,20.316,0.31855,0.07835,0.51904,0.36225,15.315,0.12909,0.29318,0.99216,0.09642,0.92566,0.87134,False,0.837,180.3
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.363,0.96045,25.716,0.40813,0.0919,0.45955,0.6553,17.226,0.23077,0.25764,0.72368,0.05178,0.89822,0.85366,False,0.837,180.2
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4174,0.94146,26.735,0.44036,0.08478,0.4559,0.46434,16.664,0.25951,0.29781,0.48765,0.04605,0.86506,0.74795,True,0.837,180.1
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3522,0.95316,25.653,0.48224,0.09658,0.42803,0.59383,16.577,0.29713,0.26438,0.93333,0.05216,0.88841,0.86021,False,0.837,180.1
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41655,0.92055,23.376,0.25507,0.10992,0.68777,0.41709,12.788,0.01194,0.44841,0.91502,0.06779,0.77355,0.81345,True,0.837,180.0
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41707,0.90982,24.242,0.34626,0.08974,0.54288,0.38818,13.029,0.0938,0.24761,0.78136,0.06136,0.77571,0.65016,True,0.837,180.0
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,3.0,False,0.0,0.02,inf,0,32,16,0.0,1.0,jpeg_luma,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.397,0.93767,25.596,0.38907,0.07838,0.54991,0.53069,13.081,0.28036,0.32224,0.86651,0.05251,0.85703,0.72468,True,0.837,180.1
