condition,lr_key,lr,steps,image_id,final_loss,final_lpips,final_psnr,finite,diverged,final_L_def,final_L_fid,monitor,monitor_first,monitor_last,monitor_per_step
N4,lr.N4_stage1,0.0001,60,horse_00,0.0,0.12679652869701385,26.917282104492188,True,False,,,,,,
N4,lr.N4_stage1,0.001,60,horse_00,0.0438690185546875,0.12875238060951233,26.991329193115234,True,False,,,,,,
N4,lr.N4_stage1,0.005,60,horse_00,6.6033220291137695,0.16803792119026184,26.073257446289062,True,False,,,,,,
N4,lr.N4_stage1,0.02,60,horse_00,1781.5892333984375,0.7642922401428223,10.264730453491211,True,False,,,,,,
N4,lr.N4_stage1,0.1,34,horse_00,inf,nan,nan,False,True,,,,,,
N4,lr.N4_stage2,0.0001,60,horse_00,162.4468994140625,,,True,False,162.4468994140625,0.0,attn_suppressed,1.6166839599609375,3.69256591796875,0.03518443996623411
N4,lr.N4_stage2,0.001,60,horse_00,139.189697265625,,,True,False,139.189697265625,0.0,attn_suppressed,1.6166839599609375,26.94976806640625,0.4293743068889036
N4,lr.N4_stage2,0.005,60,horse_00,51.337703704833984,,,True,False,51.10493087768555,0.23277103900909424,attn_suppressed,1.6166839599609375,115.0345344543457,1.922336449057369
N4,lr.N4_stage2,0.02,60,horse_00,24.826753616333008,,,True,False,23.837078094482422,0.9896755218505859,attn_suppressed,1.6166839599609375,142.30238723754883,2.3845034453828458
N4,lr.N4_stage2,0.1,60,horse_00,38.35133361816406,,,True,False,21.751384735107422,16.59994888305664,attn_suppressed,1.6166839599609375,144.38808059692383,2.4198541802875067
