image,condition,amp,block,hop,r_min,field_grid,seed,dists,lpips,psnr,edit_lpips,edit_clip_sim,edit_siglip_sim,fold_frac,grid,n_bands
task_attr_mod_color_11699,disp_k1,4.0,32,8,0.12,16,0,0.059955,0.181205,20.054,0.18952,0.98606,0.98428,,,1
task_attr_mod_color_11699,disp_k1,8.0,32,8,0.12,16,0,0.127154,0.294783,19.359,0.29394,0.97007,0.95014,,,1
task_attr_mod_color_11699,disp_k4,4.0,32,8,0.12,16,0,0.111833,0.277042,20.278,0.26704,0.97813,0.97694,,,4
task_attr_mod_color_11699,disp_k4,8.0,32,8,0.12,16,0,0.162865,0.365805,19.447,0.34803,0.96404,0.93522,,,4
task_attr_mod_color_11699,disp_kfull,1.6,32,8,0.12,16,0,0.075162,0.155006,27.669,0.17168,0.99428,0.98646,,,
task_attr_mod_color_11699,disp_kfull,3.14159,32,8,0.12,16,0,0.172918,0.348458,21.278,0.34197,0.96225,0.92832,,,
task_attr_mod_color_11699,warp_smooth,4.0,32,8,0.12,16,0,0.062845,0.177068,17.362,0.19826,0.98252,0.98287,0.00745,16,
task_attr_mod_color_11699,warp_smooth,8.0,32,8,0.12,16,0,0.146543,0.305168,15.585,0.31194,0.91873,0.938,0.01668,16,
task_attr_mod_color_136767,disp_k1,4.0,32,8,0.12,16,0,0.072144,0.162429,21.135,0.17909,0.99508,0.99233,,,1
task_attr_mod_color_136767,disp_k1,8.0,32,8,0.12,16,0,0.169052,0.269695,20.423,0.27392,0.9818,0.9794,,,1
task_attr_mod_color_136767,disp_k4,4.0,32,8,0.12,16,0,0.12731,0.248029,21.813,0.25877,0.99162,0.98771,,,4
task_attr_mod_color_136767,disp_k4,8.0,32,8,0.12,16,0,0.187726,0.32414,20.642,0.31856,0.97396,0.97599,,,4
task_attr_mod_color_136767,disp_kfull,1.6,32,8,0.12,16,0,0.098624,0.146012,29.057,0.17405,0.99582,0.98729,,,
task_attr_mod_color_136767,disp_kfull,3.14159,32,8,0.12,16,0,0.204417,0.318426,22.76,0.32851,0.97292,0.97257,,,
task_attr_mod_color_136767,warp_smooth,4.0,32,8,0.12,16,0,0.063309,0.169005,17.919,0.18954,0.99467,0.99338,0.00745,16,
task_attr_mod_color_136767,warp_smooth,8.0,32,8,0.12,16,0,0.151571,0.305016,15.323,0.32154,0.9839,0.9533,0.01668,16,
task_attr_mod_color_184837,disp_k1,4.0,32,8,0.12,16,0,0.10029,0.208099,17.998,0.21307,0.98317,0.97118,,,1
task_attr_mod_color_184837,disp_k1,8.0,32,8,0.12,16,0,0.197728,0.332355,17.352,0.32262,0.9732,0.95637,,,1
task_attr_mod_color_184837,disp_k4,4.0,32,8,0.12,16,0,0.150515,0.300312,18.395,0.31624,0.98591,0.96804,,,4
task_attr_mod_color_184837,disp_k4,8.0,32,8,0.12,16,0,0.233063,0.400735,17.477,0.40678,0.97221,0.93263,,,4
task_attr_mod_color_184837,disp_kfull,1.6,32,8,0.12,16,0,0.093673,0.128327,25.859,0.21213,0.98533,0.98385,,,
task_attr_mod_color_184837,disp_kfull,3.14159,32,8,0.12,16,0,0.243423,0.389117,19.525,0.41861,0.96468,0.94436,,,
task_attr_mod_color_184837,warp_smooth,4.0,32,8,0.12,16,0,0.116511,0.233368,15.503,0.25455,0.97814,0.9632,0.00745,16,
task_attr_mod_color_184837,warp_smooth,8.0,32,8,0.12,16,0,0.181665,0.370829,13.481,0.37573,0.92718,0.94607,0.01668,16,
task_attr_mod_color_32648,disp_k1,4.0,32,8,0.12,16,0,0.060177,0.119108,30.922,0.13188,0.99027,0.98845,,,1
task_attr_mod_color_32648,disp_k1,8.0,32,8,0.12,16,0,0.128846,0.193429,28.858,0.22637,0.97302,0.96903,,,1
task_attr_mod_color_32648,disp_k4,4.0,32,8,0.12,16,0,0.094482,0.158827,31.32,0.17292,0.97496,0.98165,,,4
task_attr_mod_color_32648,disp_k4,8.0,32,8,0.12,16,0,0.138208,0.209983,29.093,0.2391,0.96411,0.95776,,,4
task_attr_mod_color_32648,disp_kfull,1.6,32,8,0.12,16,0,0.049826,0.073894,37.359,0.1199,0.98439,0.98661,,,
task_attr_mod_color_32648,disp_kfull,3.14159,32,8,0.12,16,0,0.125985,0.189335,31.48,0.24798,0.90963,0.94334,,,
task_attr_mod_color_32648,warp_smooth,4.0,32,8,0.12,16,0,0.091632,0.138458,27.657,0.14026,0.98622,0.97639,0.00745,16,
task_attr_mod_color_32648,warp_smooth,8.0,32,8,0.12,16,0,0.168533,0.262764,24.362,0.24761,0.97406,0.9511,0.01668,16,
task_attr_mod_color_6205,disp_k1,4.0,32,8,0.12,16,0,0.078648,0.156077,24.199,0.17598,0.99337,0.97675,,,1
task_attr_mod_color_6205,disp_k1,8.0,32,8,0.12,16,0,0.150429,0.252636,23.551,0.33623,0.96883,0.92692,,,1
task_attr_mod_color_6205,disp_k4,4.0,32,8,0.12,16,0,0.112826,0.220463,25.057,0.21593,0.99001,0.94604,,,4
task_attr_mod_color_6205,disp_k4,8.0,32,8,0.12,16,0,0.175457,0.300966,23.563,0.37246,0.96382,0.89231,,,4
task_attr_mod_color_6205,disp_kfull,1.6,32,8,0.12,16,0,0.082636,0.115726,32.24,0.12443,0.99622,0.9879,,,
task_attr_mod_color_6205,disp_kfull,3.14159,32,8,0.12,16,0,0.172179,0.289935,25.97,0.3701,0.95518,0.90807,,,
task_attr_mod_color_6205,warp_smooth,4.0,32,8,0.12,16,0,0.094349,0.187934,20.61,0.20568,0.98583,0.96943,0.00745,16,
task_attr_mod_color_6205,warp_smooth,8.0,32,8,0.12,16,0,0.175087,0.326018,17.607,0.44245,0.94555,0.87205,0.01668,16,
