image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_174506,phase,instruct-pix2pix,turn the color of mushroom to gray,,1.3,False,100,7.5,1.5,20260812,False,0.25918,0.93206,30.476,0.53849,0.05192,0.26334,0.76059,23.232,0.35199,0.1567,0.36119,0.02994,117.4
task_attr_mod_color_59806,phase,instruct-pix2pix,turn the color of robot to be white,,1.3,False,100,7.5,1.5,20260812,False,0.15179,0.93365,26.447,0.50037,0.06745,0.20011,0.78635,20.931,0.36451,0.13328,0.56499,0.04761,117.3
task_env_weather_126577,phase,instruct-pix2pix,change the setting to spring with blossoms,,1.3,False,100,7.5,1.5,20260812,False,0.27926,0.93846,28.916,0.52659,0.05239,0.3962,0.61276,16.4,0.20772,0.19365,0.33269,0.03583,117.3
task_env_weather_226185,phase,instruct-pix2pix,change the setting to spring with blooming flowers,,1.3,False,100,7.5,1.5,20260812,False,0.28745,0.94062,28.436,0.52229,0.05309,0.31721,0.66677,18.615,0.22321,0.14179,0.46494,0.03786,117.5
task_env_weather_9736,phase,instruct-pix2pix,transform the setting to a cloudy day,,1.3,False,100,7.5,1.5,20260812,False,0.15289,0.94705,27.16,0.54979,0.05732,0.37803,0.66687,15.051,0.30609,0.21017,0.55778,0.04385,117.6
task_obj_add_375217,phase,instruct-pix2pix,Add bush,,1.3,False,100,7.5,1.5,20260812,False,0.30493,0.94582,30.942,0.56191,0.03831,0.38708,0.70289,23.351,0.2434,0.11957,0.29835,0.02837,117.3
task_obj_add_669258,phase,instruct-pix2pix,Add person,,1.3,False,100,7.5,1.5,20260812,False,0.34996,0.9223,30.271,0.4866,0.08583,0.37821,0.62466,20.076,0.34043,0.25759,0.42441,0.03065,117.5
task_obj_remove_197959,phase,instruct-pix2pix,Remove car,,1.3,False,100,7.5,1.5,20260812,False,0.14869,0.97108,32.557,0.7208,0.03149,0.54738,0.61805,18.419,0.2108,0.37168,0.48479,0.02356,117.6
task_obj_remove_483219,phase,instruct-pix2pix,Remove the lamp,,1.3,False,100,7.5,1.5,20260812,False,0.15342,0.97107,33.646,0.66779,0.05034,0.28261,0.86666,27.059,0.35965,0.09826,0.37939,0.02078,117.5
task_obj_remove_869495,phase,instruct-pix2pix,Remove child,,1.3,False,100,7.5,1.5,20260812,False,0.35382,0.89776,23.083,0.42351,0.08138,0.43129,0.52448,18.018,0.18367,0.13014,0.65526,0.07012,117.6
task_obj_swap_joint_mask_698465,phase,instruct-pix2pix,Replace the snowball with grey furry centre,,1.3,False,100,7.5,1.5,20260812,False,0.13304,0.97564,33.575,0.66,0.05307,0.15006,0.90045,26.01,0.49983,0.0994,0.38494,0.02095,117.4
task_obj_swap_rand_mask_392115,phase,instruct-pix2pix,Replace the samurai warrior with woman,,1.3,False,100,7.5,1.5,20260812,False,0.17125,0.96729,31.585,0.612,0.03881,0.19796,0.88921,25.905,0.44783,0.08667,0.40566,0.02635,114.9
