image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,delta_within_1,delta_nonzero,zero_coef_frac,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_unified,instruct-pix2pix,turn the color of potted plant to pink,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.93559,0.16537,0.83581,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38488,0.95243,20.554,0.30926,0.06908,0.36926,0.76228,19.075,0.21544,0.20129,1.0,0.09382,0.91824,0.86911,False,0.837,401.0
task_attr_mod_color_136767,dct_unified,instruct-pix2pix,turn the color of astronaut to pink,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.92314,0.19376,0.83135,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38941,0.9265,19.605,0.25844,0.12909,0.3826,0.71909,17.117,0.23043,0.24224,1.0,0.10465,0.96441,0.93866,False,0.837,391.5
task_attr_mod_color_184837,dct_unified,instruct-pix2pix,turn the color of frame to pink,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.85243,0.33041,0.73483,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4819,0.92482,17.092,0.25396,0.11447,0.49715,0.52701,16.464,0.19367,0.28154,1.0,0.13977,0.93728,0.89547,False,0.837,403.3
task_attr_mod_color_32648,dct_unified,instruct-pix2pix,turn the color of potion bottle to orange,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.98672,0.05224,0.94156,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.32057,0.96663,26.715,0.22873,0.05713,0.27207,0.81266,19.448,0.43028,0.19229,1.0,0.04616,0.94529,0.93087,False,0.837,399.8
task_attr_mod_color_6205,dct_unified,instruct-pix2pix,turn the color of toolbox to red,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95536,0.1449,0.872,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38052,0.91867,22.185,0.33937,0.09794,0.46028,0.65036,11.66,0.25317,0.2612,1.0,0.07776,0.93144,0.86033,False,0.837,401.8
task_env_weather_112463,dct_unified,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.92465,0.25196,0.85591,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.61107,0.91373,20.588,0.25183,0.07333,0.44393,0.52802,16.489,0.29021,0.23019,1.0,0.09346,0.88222,0.88156,False,0.837,399.2
task_obj_remove_380621,dct_unified,instruct-pix2pix,Remove iceberg,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.92065,0.23183,0.80157,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50958,0.92106,20.419,0.26986,0.09466,0.44661,0.53049,14.547,0.23921,0.26245,1.0,0.0953,0.87572,0.83207,True,0.837,401.1
task_obj_swap_joint_mask_276754,dct_unified,instruct-pix2pix,Replace the satellite dish with rocket,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.83262,0.38451,0.69052,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45355,0.8279,18.065,0.13778,0.13316,0.63299,0.70495,14.535,0.04843,0.3145,1.0,0.12495,0.90338,0.91762,False,0.837,397.1
task_obj_swap_joint_mask_533428,dct_unified,instruct-pix2pix,Replace the samurai armor with red jacket,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.85273,0.37425,0.74767,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54986,0.85573,16.971,0.19326,0.12098,0.54954,0.38423,12.607,0.09462,0.24857,1.0,0.14172,0.68242,0.5941,True,0.837,395.2
task_obj_swap_rand_mask_417469,dct_unified,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.8,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.91341,0.25732,0.80663,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49789,0.85954,19.466,0.21568,0.08755,0.5357,0.52532,14.079,0.18526,0.32571,1.0,0.10634,0.88067,0.69249,True,0.837,397.0
