image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_126580,phase_rand,instruct-pix2pix,turn the color of a stone fountain to red,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.08009,0.96487,29.938,0.60062,0.04351,0.12778,0.88998,24.139,0.38631,0.04322,0.53913,0.03185,72.0
task_attr_mod_color_184837,phase_rand,instruct-pix2pix,turn the color of frame to pink,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.10444,0.95025,26.51,0.5203,0.09693,0.15251,0.86567,21.194,0.36608,0.1098,0.36624,0.04726,73.1
task_attr_mod_color_42929,phase_rand,instruct-pix2pix,turn the color of golden shield to gray,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.05893,0.98497,37.332,0.64157,0.0596,0.08662,0.96333,30.808,0.45202,0.06437,0.31079,0.0136,72.2
task_attr_mod_color_76641,phase_rand,instruct-pix2pix,turn the color of micrometer to blue,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.03759,0.98478,37.564,0.80593,0.03043,0.05824,0.96032,32.186,0.67282,0.02686,0.32353,0.01324,73.4
task_env_weather_133752,phase_rand,instruct-pix2pix,transform the setting to a rainy day,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.02632,0.98505,35.853,0.73047,0.01926,0.0625,0.9574,30.775,0.54826,0.02338,0.25653,0.01612,73.8
task_env_weather_195273,phase_rand,instruct-pix2pix,transform the setting to fall with colorful leaves,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.10197,0.9637,27.126,0.5759,0.08472,0.61044,0.37643,11.101,0.11614,0.27503,0.4739,0.04403,73.7
task_env_weather_59863,phase_rand,instruct-pix2pix,change the setting to a snowy scene,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.06937,0.96253,30.021,0.61353,0.04511,0.10409,0.94034,28.007,0.52902,0.04747,0.47937,0.03155,72.7
task_obj_add_13726,phase_rand,instruct-pix2pix,Add subscribe button,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.07379,0.95949,29.978,0.55178,0.07073,0.12848,0.86682,23.937,0.33847,0.06685,0.32199,0.0317,73.6
task_obj_add_362298,phase_rand,instruct-pix2pix,Add sweaty torso,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.0575,0.97907,35.353,0.72961,0.04189,0.08201,0.95593,31.294,0.60513,0.04475,0.24319,0.01707,74.1
task_obj_add_530461,phase_rand,instruct-pix2pix,Add black costume,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.04076,0.99249,40.937,0.83163,0.04905,0.05768,0.98281,36.963,0.73877,0.06188,0.21711,0.00898,73.5
task_obj_add_692065,phase_rand,instruct-pix2pix,Add monk,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.04287,0.97649,30.92,0.71651,0.03745,0.06839,0.93982,26.422,0.60616,0.0378,0.3366,0.02844,72.7
task_obj_remove_157386,phase_rand,instruct-pix2pix,Remove flowers,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.09946,0.96244,31.191,0.54313,0.07317,0.17666,0.90449,27.027,0.40156,0.12543,0.26793,0.02757,73.7
task_obj_remove_2878,phase_rand,instruct-pix2pix,Remove person,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.05643,0.97634,33.232,0.71446,0.05317,0.09469,0.93447,28.21,0.51155,0.06883,0.32036,0.0218,74.3
task_obj_remove_509477,phase_rand,instruct-pix2pix,Remove the man with glasses,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.0812,0.95753,29.133,0.56278,0.06002,0.11428,0.8946,24.352,0.40743,0.05216,0.3355,0.03494,72.4
task_obj_remove_720199,phase_rand,instruct-pix2pix,Remove yellow machine,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.10224,0.9705,34.575,0.6167,0.07218,0.13212,0.93217,29.13,0.46661,0.07063,0.23916,0.01867,72.0
task_obj_swap_joint_mask_474202,phase_rand,instruct-pix2pix,Replace the wooden deck with stone floor,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.07971,0.96467,30.365,0.5682,0.05758,0.1559,0.84658,20.707,0.41822,0.09573,0.31085,0.03032,72.6
task_obj_swap_joint_mask_75733,phase_rand,instruct-pix2pix,Replace the snowy landscape with sea,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.06406,0.97443,36.017,0.65145,0.07048,0.11289,0.91963,28.257,0.42143,0.0876,0.24555,0.01582,72.8
task_obj_swap_rand_mask_315182,phase_rand,instruct-pix2pix,Replace the red leather jacket with black blazer,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.03362,0.98431,37.798,0.7588,0.02422,0.09979,0.9122,26.608,0.54846,0.08093,0.23572,0.01288,71.3
task_obj_swap_rand_mask_79926,phase_rand,instruct-pix2pix,Replace the Hawaiian shirt with blue dress,,1.08,False,0.0,100,7.5,1.5,20260812,False,0.04694,0.983,33.864,0.70391,0.04146,0.07609,0.94555,27.849,0.54089,0.04039,0.33907,0.02027,71.3
