image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase_rand,instruct-pix2pix,turn the color of potted plant to pink,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.08594,0.97023,29.664,0.60305,0.05507,0.10137,0.93945,25.115,0.48255,0.04436,0.49091,0.03287,70.2
task_attr_mod_color_136767,phase_rand,instruct-pix2pix,turn the color of astronaut to pink,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.12059,0.9506,29.207,0.54029,0.10889,0.14882,0.9087,25.759,0.4239,0.10256,0.45377,0.03465,70.1
task_attr_mod_color_184837,phase_rand,instruct-pix2pix,turn the color of frame to pink,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.14218,0.92546,24.708,0.47328,0.13439,0.20589,0.8235,19.96,0.32808,0.14293,0.44767,0.05815,69.8
task_attr_mod_color_32648,phase_rand,instruct-pix2pix,turn the color of potion bottle to orange,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.0494,0.99108,40.086,0.74648,0.04389,0.08079,0.95734,25.014,0.71495,0.07927,0.25966,0.0099,70.0
task_attr_mod_color_6205,phase_rand,instruct-pix2pix,turn the color of toolbox to red,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.09119,0.96403,31.77,0.63041,0.09077,0.09663,0.94311,29.399,0.54604,0.07272,0.43343,0.02579,70.4
task_env_weather_112463,phase_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.07817,0.95989,32.185,0.6278,0.03888,0.17867,0.85011,23.111,0.40316,0.08603,0.31042,0.02459,70.4
task_env_weather_133752,phase_rand,instruct-pix2pix,transform the setting to a rainy day,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.03731,0.97788,34.135,0.68389,0.02676,0.07659,0.94529,29.673,0.50801,0.03053,0.31874,0.01965,69.9
task_env_weather_181583,phase_rand,instruct-pix2pix,change the setting to a stormy day,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.06913,0.95218,33.203,0.62113,0.0406,0.11425,0.91946,30.16,0.55178,0.04861,0.31508,0.02187,70.3
task_env_weather_246440,phase_rand,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.09611,0.92502,22.919,0.49008,0.07288,0.23221,0.75249,19.837,0.27669,0.10462,0.64809,0.07146,70.2
task_env_weather_63722,phase_rand,instruct-pix2pix,change the setting to a snowy landscape,,1.3,False,0.0,100,7.5,1.5,20260812,False,0.10759,0.95721,27.436,0.52429,0.09891,0.13547,0.91651,23.558,0.36422,0.08725,0.44655,0.04248,70.1
