image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31201,0.93922,24.916,0.42511,0.09258,0.40222,0.71188,17.223,0.27352,0.22831,0.73502,0.05678,0.88613,0.86208,False,0.837,186.9
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35656,0.91145,25.48,0.36387,0.16083,0.48086,0.58448,13.961,0.19736,0.24793,0.72718,0.05321,0.95059,0.91783,False,0.837,177.9
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42827,0.84671,20.932,0.29414,0.21595,0.63723,0.41378,14.208,0.21028,0.33902,0.77403,0.08983,0.92474,0.86749,False,0.837,177.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36399,0.98194,36.104,0.47965,0.05889,0.32981,0.69253,16.032,0.60063,0.25097,0.60783,0.01566,0.93864,0.92682,False,0.837,177.8
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29932,0.94015,28.395,0.48388,0.13619,0.47782,0.58119,11.411,0.38479,0.28164,0.69177,0.03804,0.91226,0.8381,False,0.837,177.9
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41119,0.90606,28.61,0.45849,0.07644,0.40415,0.53576,16.79,0.29385,0.21284,0.46456,0.03711,0.89815,0.87339,False,0.837,178.0
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40252,0.81769,19.228,0.25322,0.15313,0.59129,0.29152,14.539,0.12214,0.33758,1.0,0.10929,0.89537,0.85879,False,0.837,177.9
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36586,0.92662,24.275,0.36746,0.09995,0.46747,0.63862,17.115,0.21801,0.26428,0.78637,0.06113,0.88889,0.84791,False,0.837,177.9
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46871,0.88096,24.549,0.35016,0.13229,0.51856,0.41831,15.985,0.22223,0.32723,0.71497,0.05923,0.88084,0.74531,True,0.837,177.9
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36814,0.92585,25.202,0.4715,0.1123,0.48017,0.50674,10.368,0.31791,0.28383,0.95686,0.05494,0.82684,0.75836,True,0.837,177.9
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42957,0.86019,23.781,0.22826,0.15122,0.65783,0.52237,12.911,0.01539,0.42289,0.86562,0.0647,0.79007,0.82882,True,0.837,177.8
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46876,0.8565,22.648,0.29148,0.16045,0.59597,0.34406,10.808,0.11223,0.27015,0.83364,0.07372,0.70217,0.58726,True,0.837,178.5
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.5,False,0.0,0.12,inf,0,32,16,0.0,1.0,binary,1.0,jnd,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43212,0.8895,24.589,0.33374,0.1205,0.62763,0.47023,11.352,0.26543,0.38009,0.88627,0.05896,0.73177,0.59263,True,0.837,179.7
