image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03262,True,3.14159,52.4,0.1615,0.9594,0.0326,31.1326,0.9958,5.5271,0.7214,0.5751,0.2715,0.2749,-0.0033,0.106,0.0839,0.0221,0.01106,0.3902
bird_01,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04401,False,1.49918,105.7,0.1999,0.9557,0.044,30.9217,0.9958,5.0275,0.7273,0.5643,0.2765,0.3026,-0.0261,0.1118,0.0976,0.0142,0.01174,0.5692
bird_02,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03853,True,3.14159,27.0,0.44,0.9092,0.0385,30.4639,0.997,4.4017,0.6323,0.6416,0.2817,0.2558,0.0258,0.109,0.1097,-0.0006,0.01456,0.6916
bird_03,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.01903,True,3.14159,27.0,0.1876,0.9549,0.019,33.1397,0.9982,5.4951,0.7217,0.5505,0.2725,0.3181,-0.0456,0.1038,0.108,-0.0042,0.00902,0.4617
cat_00,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04185,False,2.75514,74.9,0.2465,0.8831,0.0418,21.6667,0.989,4.8805,0.7225,0.5465,0.2452,0.2664,-0.0212,0.0621,0.0818,-0.0197,0.03287,0.5538
cat_01,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0311,True,3.14159,27.1,0.1616,0.9655,0.0311,32.6444,0.9869,5.3175,0.7021,0.4422,0.2601,0.2626,-0.0025,0.0917,0.0872,0.0045,0.0091,0.4877
cat_02,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03718,True,3.14159,27.0,0.358,0.9186,0.0372,28.7392,0.9965,4.6098,0.6709,0.5483,0.2521,0.2499,0.0022,0.0912,0.0908,0.0004,0.01648,0.5549
cat_03,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04415,False,1.98225,75.0,0.2552,0.8947,0.0442,22.9155,0.9868,5.0808,0.6881,0.5951,0.2622,0.2799,-0.0177,0.0853,0.0871,-0.0019,0.03485,0.6238
dog_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.02635,True,3.14159,27.1,0.2941,0.9309,0.0264,30.7232,0.9932,4.687,0.7018,0.5251,0.2675,0.2849,-0.0174,0.0695,0.0936,-0.024,0.01295,0.5002
dog_01,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.02182,True,3.14159,27.2,0.2036,0.9537,0.0218,32.8528,0.9961,5.5547,0.6531,0.3234,0.2742,0.2765,-0.0023,0.0908,0.0967,-0.006,0.01151,0.4066
dog_02,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03655,True,3.14159,27.1,0.2172,0.8814,0.0366,22.7756,0.9901,5.0997,0.7119,0.3456,0.2628,0.2619,0.0008,0.0796,0.0802,-0.0006,0.03189,0.6177
dog_03,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03068,True,3.14159,27.1,0.2282,0.9315,0.0307,28.575,0.9963,5.1654,0.6876,0.5281,0.2573,0.2744,-0.017,0.0807,0.0894,-0.0086,0.01412,0.4764
horse_00,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04379,False,2.75514,75.0,0.231,0.9242,0.0438,31.0911,0.9936,5.9201,0.6863,0.4282,0.306,0.3209,-0.0149,0.119,0.1174,0.0016,0.01155,0.4655
horse_01,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04492,False,1.93394,123.0,0.2963,0.9036,0.0449,24.3296,0.9948,4.9435,0.6911,0.4676,0.323,0.33,-0.007,0.1175,0.1212,-0.0037,0.02535,0.6331
horse_02,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04237,False,2.99667,123.4,0.3465,0.8593,0.0424,24.2753,0.9945,6.0384,0.7285,0.4864,0.3079,0.2949,0.013,0.1074,0.0996,0.0077,0.03549,0.5906
horse_03,phase,0,a zebra,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03952,True,3.14159,27.2,0.2486,0.9227,0.0395,28.3742,0.9979,5.114,0.7252,0.4599,0.3151,0.3164,-0.0014,0.1182,0.1126,0.0056,0.0156,0.4573
man_00,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.02138,True,3.14159,27.2,0.1077,0.985,0.0214,38.059,0.9987,4.5946,0.6799,0.3188,0.2819,0.3016,-0.0197,0.1079,0.1206,-0.0127,0.00431,0.279
man_01,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04509,False,2.36869,59.5,0.2435,0.9102,0.0451,24.3025,0.9915,4.9772,0.6719,0.3987,0.2814,0.2785,0.0029,0.1091,0.1179,-0.0088,0.03402,0.5691
man_02,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.0439,False,2.75514,75.6,0.2051,0.8874,0.0439,20.1916,0.9955,5.1711,0.6804,0.375,0.2748,0.2913,-0.0165,0.1256,0.1305,-0.0049,0.03131,0.468
man_03,phase,0,an old woman,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04478,False,2.75514,75.6,0.3729,0.8438,0.0448,23.8666,0.9934,5.6115,0.6998,0.5313,0.2729,0.2837,-0.0109,0.101,0.099,0.002,0.02849,0.6829
woman_00,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.04287,False,2.36869,59.5,0.1774,0.9467,0.0429,28.7938,0.9967,4.762,0.5134,0.4122,0.237,0.2354,0.0016,0.0488,0.06,-0.0112,0.01822,0.4544
woman_01,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.02314,True,3.14159,27.3,0.1262,0.9834,0.0231,39.2695,0.9989,3.4545,0.3218,0.3304,0.208,0.2225,-0.0145,0.0388,0.0314,0.0074,0.00342,0.3817
woman_02,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.02943,True,3.14159,27.3,0.2115,0.9629,0.0294,32.4295,0.9959,4.1496,0.6805,0.3748,0.2026,0.2451,-0.0424,0.0577,0.0717,-0.014,0.00836,0.4311
woman_03,phase,0,a man,32,0.12,0.5,data/targets/gray.png,0.0434,dists,0.03859,True,3.14159,27.3,0.1275,0.9604,0.0386,33.7437,0.9958,5.0466,0.6861,0.3926,0.2464,0.2313,0.0151,0.0748,0.0804,-0.0056,0.00735,0.5233
