image,prompt,strength,guidance,tag,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,lpips_vs_orig
musk_00,a man wearing a green turtleneck sweater,0.55,7.5,s0.55_g7.5,0.2198,0.2261,0.0063,0.0192,0.0417,0.0226,0.2605
musk_00,a man wearing a green turtleneck sweater,0.7,7.5,s0.7_g7.5,0.2198,0.2377,0.0179,0.0192,0.0198,0.0007,0.312
musk_00,a man wearing a green turtleneck sweater,0.8,7.5,s0.8_g7.5,0.2198,0.238,0.0183,0.0192,0.0287,0.0095,0.339
musk_00,a man wearing a green turtleneck sweater,0.8,12.0,s0.8_g12,0.2198,0.2453,0.0255,0.0192,0.0265,0.0073,0.3492
musk_00,a man wearing a green turtleneck sweater,0.9,12.0,s0.9_g12,0.2198,0.2603,0.0405,0.0192,0.0523,0.0331,0.3954
parrot_00,a parrot wearing a tiny straw hat,0.55,7.5,s0.55_g7.5,0.2937,0.3173,0.0237,0.0689,0.0941,0.0252,0.3467
parrot_00,a parrot wearing a tiny straw hat,0.7,7.5,s0.7_g7.5,0.2937,0.315,0.0213,0.0689,0.076,0.0071,0.3943
parrot_00,a parrot wearing a tiny straw hat,0.8,7.5,s0.8_g7.5,0.2937,0.3134,0.0197,0.0689,0.0905,0.0216,0.4594
parrot_00,a parrot wearing a tiny straw hat,0.8,12.0,s0.8_g12,0.2937,0.3175,0.0238,0.0689,0.0892,0.0203,0.4746
parrot_00,a parrot wearing a tiny straw hat,0.9,12.0,s0.9_g12,0.2937,0.3207,0.027,0.0689,0.0739,0.005,0.5046
trump_00,a man wearing a brown leather jacket,0.55,7.5,s0.55_g7.5,0.2161,0.2143,-0.0018,-0.0088,0.022,0.0307,0.3706
trump_00,a man wearing a brown leather jacket,0.7,7.5,s0.7_g7.5,0.2161,0.2137,-0.0025,-0.0088,0.0572,0.0659,0.4519
trump_00,a man wearing a brown leather jacket,0.8,7.5,s0.8_g7.5,0.2161,0.281,0.0649,-0.0088,0.0647,0.0734,0.6107
trump_00,a man wearing a brown leather jacket,0.8,12.0,s0.8_g12,0.2161,0.2748,0.0587,-0.0088,0.1065,0.1152,0.6523
trump_00,a man wearing a brown leather jacket,0.9,12.0,s0.9_g12,0.2161,0.298,0.0818,-0.0088,0.124,0.1328,0.6678
