k_inv,n_edit,checkpoint,peak_mb,seconds,grad_reaches_phi,oom,warmup
5,5,0,31989.7,3.368,1,0,1
5,10,0,-1,-1,0,1,0
5,20,0,-1,-1,0,1,0
10,5,0,-1,-1,0,1,0
10,10,0,-1,-1,0,1,0
10,20,0,-1,-1,0,1,0
20,5,0,-1,-1,0,1,0
20,10,0,-1,-1,0,1,0
20,20,0,-1,-1,0,1,0
5,5,1,18665.4,4.227,1,0,0
5,10,1,18664.8,5.628,1,0,0
5,20,1,18665.4,8.654,1,0,0
10,5,1,18665.1,6.023,1,0,0
10,10,1,18665.4,7.503,1,0,0
10,20,1,18666.0,10.553,1,0,0
20,5,1,18666.3,9.83,1,0,0
20,10,1,18666.7,11.329,1,0,0
20,20,1,18667.3,14.502,1,0,0
