method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,clip,peak_memory_mb,elapsed_sec
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,12.259719848632812,0.48444604873657227,0.11984393745660782,0.650663435459137,0.4654346704483032,0.2863905429840088,8199.159808,3.62
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.753161430358887,0.5296193957328796,0.13418465852737427,0.6846440434455872,0.4323209822177887,0.27534228563308716,6980.593664,3.48
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,16.354684829711914,0.7443928718566895,0.25478604435920715,0.7706323266029358,0.25162988901138306,0.27039605379104614,21433.405952,64.91
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,14.805368423461914,0.5840498805046082,0.13599509000778198,0.7098912000656128,0.4061982035636902,0.2819705009460449,21415.507968,58.8
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,19.08521270751953,0.7323799133300781,0.25936073064804077,0.7861863970756531,0.24957075715065002,0.3424283266067505,8199.159808,3.62
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,19.330636978149414,0.6401188969612122,0.16803565621376038,0.7622324824333191,0.4109434485435486,0.36117422580718994,6980.593664,3.48
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,21.110576629638672,0.803114116191864,0.29516035318374634,0.8562639355659485,0.24397313594818115,0.3285680413246155,21433.405952,64.91
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,20.425628662109375,0.7926236391067505,0.29332396388053894,0.8324646353721619,0.2582818269729614,0.34071943163871765,21415.507968,58.8
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,12.742157936096191,0.33585095405578613,0.08278121799230576,0.6412987112998962,0.6172447800636292,0.32731759548187256,8203.354112,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,13.504210472106934,0.41004928946495056,0.10919502377510071,0.6710222363471985,0.6131625175476074,0.3239535689353943,6980.593664,3.25
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,15.458813667297363,0.548954427242279,0.1838759332895279,0.7736272811889648,0.4102306365966797,0.2940278649330139,21417.723904,64.81
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,14.841938972473145,0.4617350697517395,0.11998631060123444,0.722910463809967,0.4943157434463501,0.28401634097099304,21415.507968,59.85
