method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,clip,peak_memory_mb,elapsed_sec
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,17.62302017211914,0.6752616167068481,0.1546124368906021,0.7936298847198486,0.43527647852897644,0.2684362232685089,8203.354112,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,19.73299789428711,0.6990065574645996,0.1855345219373703,0.8045417666435242,0.4087154269218445,0.3235120475292206,6980.593664,3.25
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,22.640674591064453,0.8167106509208679,0.38244563341140747,0.8621925115585327,0.24823102355003357,0.3571385145187378,21417.723904,64.81
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,18.301876068115234,0.6572133302688599,0.1993175894021988,0.7672064304351807,0.4270358681678772,0.30297529697418213,21415.507968,59.85
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,16.728975296020508,0.7495853304862976,0.30815431475639343,0.8333133459091187,0.26498037576675415,0.2808573842048645,8202.305536,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,14.9102201461792,0.5872449278831482,0.17209921777248383,0.7415154576301575,0.387837290763855,0.3030400276184082,6980.593664,3.35
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,18.77703857421875,0.7930001020431519,0.33812597393989563,0.863418459892273,0.22736336290836334,0.2893552780151367,21417.723904,65.09
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,17.510448455810547,0.7396436929702759,0.278847336769104,0.8316346406936646,0.2603820860385895,0.2896603047847748,21415.507968,59.86
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,13.08504581451416,0.3779969811439514,0.07625877112150192,0.6265732049942017,0.559378445148468,0.30956342816352844,8202.305536,3.12
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,13.060301780700684,0.36814558506011963,0.08295973390340805,0.6111436486244202,0.5457334518432617,0.30176883935928345,6980.593664,3.35
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,15.155075073242188,0.4937356412410736,0.1357896775007248,0.6949377655982971,0.45417165756225586,0.28743624687194824,21417.723904,65.09
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,14.34113597869873,0.4467059373855591,0.1150096133351326,0.6710690259933472,0.48220935463905334,0.3013805150985718,21415.507968,59.86
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,13.904424667358398,0.5542517900466919,0.156526118516922,0.7241045236587524,0.4222179651260376,0.2815784215927124,8202.305536,3.13
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,12.349864959716797,0.4649992883205414,0.11515026539564133,0.6700654625892639,0.4631401300430298,0.29324597120285034,6980.593664,3.2
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,14.694169998168945,0.5759343504905701,0.16665060818195343,0.735493540763855,0.39419740438461304,0.2898460030555725,21417.723904,64.2
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,14.003480911254883,0.5324358940124512,0.14868943393230438,0.726416826248169,0.4187580943107605,0.2948184609413147,21415.507968,59.3
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,12.83769416809082,0.5435742735862732,0.1529148668050766,0.6993682384490967,0.3914237320423126,0.30930185317993164,8202.305536,3.13
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,11.014209747314453,0.39229029417037964,0.089790940284729,0.6183602213859558,0.502630889415741,0.31296205520629883,6980.593664,3.2
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,14.14997673034668,0.5705037713050842,0.1736409068107605,0.7313092947006226,0.3777347803115845,0.3122667968273163,21417.723904,64.2
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,18.25692367553711,0.7926332354545593,0.3011459410190582,0.8543760180473328,0.1843336820602417,0.3174704313278198,21415.507968,59.3
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,13.961166381835938,0.29241862893104553,0.09478660672903061,0.6087321639060974,0.6283799409866333,0.2695416808128357,8202.305536,3.13
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,14.635690689086914,0.39600953459739685,0.11651311069726944,0.659643292427063,0.5945091247558594,0.2653820514678955,6980.593664,3.19
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,19.04541778564453,0.702124297618866,0.29877424240112305,0.8173468708992004,0.30937471985816956,0.2860332131385803,21417.723904,63.92
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,18.71646499633789,0.6751365065574646,0.2522418200969696,0.802844226360321,0.3263292908668518,0.2944626808166504,21415.507968,59.29
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,15.070151329040527,0.4742558002471924,0.16168713569641113,0.7146077156066895,0.5298277735710144,0.31835660338401794,8202.305536,3.13
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,14.566875457763672,0.353611558675766,0.05948227643966675,0.5795526504516602,0.6309126615524292,0.34593111276626587,6980.593664,3.19
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,19.372928619384766,0.7043964266777039,0.2562876045703888,0.8225941061973572,0.37974727153778076,0.28157347440719604,21417.723904,63.92
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,1,17.73493003845215,0.556342601776123,0.15264807641506195,0.7387735247612,0.4899040460586548,0.3048505485057831,21415.507968,59.29
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,12.403426170349121,0.31940674781799316,0.11553382873535156,0.6069124341011047,0.6328151822090149,0.29783278703689575,8202.305536,3.13
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,14.634881019592285,0.4569660425186157,0.12141727656126022,0.6732564568519592,0.6092046499252319,0.30268511176109314,6980.593664,3.25
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,20.2869815826416,0.7621452212333679,0.33336544036865234,0.8450461030006409,0.3384395241737366,0.2539225220680237,21417.723904,64.79
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,0,13.958740234375,0.4405163526535034,0.09483226388692856,0.6590269804000854,0.612107515335083,0.27477362751960754,21415.507968,60.02
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,15.738162994384766,0.517203688621521,0.22097598016262054,0.6815356612205505,0.5024557113647461,0.3249050974845886,8202.305536,3.13
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,17.494443893432617,0.6239222288131714,0.13748899102210999,0.745909571647644,0.5243726968765259,0.329376757144928,6980.593664,3.25
apa,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,20.4869441986084,0.7299672961235046,0.1445571780204773,0.7905821800231934,0.42812857031822205,0.34690725803375244,21417.723904,64.79
hybrid,CompVis/stable-diffusion-v1-4,sdedit,person/person_01,1,19.383007049560547,0.6982434988021851,0.14691098034381866,0.771245002746582,0.43428194522857666,0.3511953353881836,21415.507968,60.02
