method,model,edit_method,image_id,prompt_idx,psnr,ssim,vifp,fsim,lpips,clip,peak_memory_mb,elapsed_sec
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,12.246114730834961,0.484635591506958,0.11968106776475906,0.6509528160095215,0.46452564001083374,0.28791072964668274,8117.305856,14.92
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.952041625976562,0.42887264490127563,0.09468062967061996,0.6678748726844788,0.5621782541275024,0.3016511797904968,32952.005632,2696.64
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,13.676324844360352,0.44023388624191284,0.08016280084848404,0.6882151365280151,0.558516800403595,0.28781309723854065,6864.201728,9.0
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,15.01085090637207,0.5706373453140259,0.13615365326404572,0.7107847332954407,0.40388619899749756,0.29005569219589233,21215.152128,168.33
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,0,15.835394859313965,0.6782355308532715,0.19109424948692322,0.7489210963249207,0.3157426118850708,0.28974777460098267,21212.936192,155.97
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,19.05630874633789,0.7296731472015381,0.2575205862522125,0.7823748588562012,0.24827823042869568,0.3489915728569031,8117.305856,14.92
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,17.16059112548828,0.5426029562950134,0.1339944750070572,0.6702824234962463,0.44130170345306396,0.3408590853214264,32952.005632,2696.64
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,18.041807174682617,0.5343269109725952,0.09627355635166168,0.6758842468261719,0.48825424909591675,0.35001736879348755,6864.201728,9.0
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,18.770206451416016,0.6835760474205017,0.19132588803768158,0.7852384448051453,0.3987881541252136,0.34606555104255676,21215.152128,168.33
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_00,1,22.8525447845459,0.8924657702445984,0.4078448712825775,0.9052131772041321,0.15452560782432556,0.34946733713150024,21212.936192,155.97
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,12.775642395019531,0.3420064449310303,0.08188260346651077,0.6456618309020996,0.6218719482421875,0.3336341977119446,8120.451584,14.69
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,13.486894607543945,0.3762875199317932,0.11553340405225754,0.6757880449295044,0.587122917175293,0.3149356245994568,32952.005632,2698.79
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,13.952600479125977,0.4096641540527344,0.10762868821620941,0.6800885796546936,0.6180629730224609,0.30691272020339966,6864.201728,8.94
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,14.498948097229004,0.4685462713241577,0.136276975274086,0.7322405576705933,0.4552896022796631,0.2825797200202942,21215.152128,167.91
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,0,15.628246307373047,0.522539496421814,0.15258419513702393,0.7574913501739502,0.4195250868797302,0.29242056608200073,21212.936192,155.63
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,17.60626220703125,0.6681474447250366,0.1515696793794632,0.7905095219612122,0.44324249029159546,0.2702415883541107,8120.451584,14.69
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,17.017963409423828,0.6454997062683105,0.14737831056118011,0.7477036118507385,0.4295496344566345,0.2708742320537567,32952.005632,2698.79
advdiff,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,19.154748916625977,0.6878048181533813,0.18123449385166168,0.7784234285354614,0.4193001985549927,0.3462335467338562,6864.201728,8.94
apa,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,21.13957977294922,0.7614763975143433,0.32804882526397705,0.8401771783828735,0.31316933035850525,0.36433133482933044,21215.152128,167.91
hybrid,CompVis/stable-diffusion-v1-4,sdedit,dog/dog_01,1,25.959915161132812,0.8792893886566162,0.4167307913303375,0.9212661385536194,0.22479325532913208,0.3549143373966217,21212.936192,155.63
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,16.037376403808594,0.7182278633117676,0.27974551916122437,0.812147855758667,0.28912875056266785,0.2842959761619568,8120.451584,14.7
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,18.896297454833984,0.7842444777488708,0.3245847523212433,0.8558971881866455,0.23232461512088776,0.2859242558479309,32952.005632,2700.57
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,15.083845138549805,0.6001489758491516,0.1825912892818451,0.7541667819023132,0.38567256927490234,0.29014426469802856,6864.201728,8.94
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,18.366580963134766,0.7928290367126465,0.33002352714538574,0.8580816984176636,0.21263161301612854,0.29101699590682983,21215.152128,168.58
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,0,18.939260482788086,0.809138298034668,0.34503525495529175,0.8685895800590515,0.19797156751155853,0.29837286472320557,21212.936192,155.84
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,13.169075012207031,0.37257644534111023,0.07517702877521515,0.6265462040901184,0.5650866031646729,0.3015635013580322,8120.451584,14.7
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,19.433265686035156,0.7437833547592163,0.23130151629447937,0.8138099908828735,0.3083038032054901,0.30386102199554443,32952.005632,2700.57
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,13.209875106811523,0.37275561690330505,0.0809362530708313,0.6228256821632385,0.5432862639427185,0.2992877662181854,6864.201728,8.94
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,14.803060531616211,0.4602168798446655,0.12268327921628952,0.6853688359260559,0.4692091941833496,0.29281798005104065,21215.152128,168.58
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_00,1,14.450294494628906,0.4476483464241028,0.11188295483589172,0.6773829460144043,0.47816288471221924,0.2966374158859253,21212.936192,155.84
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,13.896832466125488,0.5599473118782043,0.15864112973213196,0.7263430953025818,0.4178977906703949,0.2740682065486908,8120.451584,14.71
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,14.576637268066406,0.5423246622085571,0.15232636034488678,0.7274033427238464,0.4282377362251282,0.28760969638824463,32952.005632,2695.2
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,12.63858699798584,0.48862534761428833,0.12037669867277145,0.6806726455688477,0.4547044336795807,0.2871643900871277,6864.201728,8.93
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,14.190872192382812,0.5407343506813049,0.14908157289028168,0.7213245630264282,0.4184919595718384,0.274711549282074,21215.152128,168.47
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,0,14.252761840820312,0.5555562376976013,0.15956337749958038,0.7362968921661377,0.4030008316040039,0.2892673909664154,21212.936192,155.76
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,12.846783638000488,0.5430595278739929,0.1532367765903473,0.6967585682868958,0.3903336524963379,0.30859023332595825,8120.451584,14.71
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,12.80307388305664,0.5252936482429504,0.15315359830856323,0.6830906271934509,0.4112086892127991,0.30884093046188354,32952.005632,2695.2
advdiff,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,11.593067169189453,0.36738693714141846,0.08057741820812225,0.6202383041381836,0.5286957621574402,0.3193117082118988,6864.201728,8.93
apa,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,12.846402168273926,0.507420539855957,0.15111640095710754,0.7035073637962341,0.40080201625823975,0.3134670555591583,21215.152128,168.47
hybrid,CompVis/stable-diffusion-v1-4,sdedit,car/car_01,1,18.50718116760254,0.8140044212341309,0.31431493163108826,0.8615847229957581,0.17753945291042328,0.3143150806427002,21212.936192,155.76
pg_enc,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,14.074047088623047,0.2973216772079468,0.09605292975902557,0.6135159730911255,0.6258969306945801,0.2693898677825928,8120.451584,14.7
pg_diff,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,14.32375717163086,0.34693846106529236,0.09511813521385193,0.6334625482559204,0.6105250120162964,0.2894079089164734,32952.005632,2691.62
advdiff,CompVis/stable-diffusion-v1-4,sdedit,person/person_00,0,14.226320266723633,0.38540494441986084,0.12263553589582443,0.663303554058075,0.5967609882354736,0.2714170217514038,6864.201728,8.94
