image,condition,budget_target,mode,q_alg,radius,steps,unreachable,fid_lpips,fid_dists,fid_psnr,fid_ssim,fid_linf,fid_rms,edit_lpips,edit_strength,total_seconds
cat_00,dct_shield,,aligned,0.95,0.265625,1000,False,0.29461,0.03549,40.026,0.98532,0.14398,0.00997,0.36211,0.7,135.4
parrot_00,dct_shield,,aligned,0.95,0.5625,1000,False,0.43819,0.03662,36.045,0.93957,0.17418,0.01577,0.46391,0.7,105.9
person_a_00,dct_shield,,aligned,0.95,0.625,1000,False,0.46954,0.03333,35.562,0.95316,0.17371,0.01667,0.60649,0.7,92.9
person_b_00,dct_shield,,aligned,0.95,0.875,1000,False,0.48375,0.03303,33.186,0.91583,0.22073,0.02191,0.57863,0.7,93.1
person_c_00,dct_shield,,aligned,0.95,1.375,1000,False,0.52262,0.03556,29.635,0.87176,0.33282,0.03298,0.541,0.7,92.6
raccoon_00,dct_shield,,aligned,0.95,1.125,1000,False,0.46644,0.0359,30.276,0.90783,0.27199,0.03063,0.5403,0.7,90.8
shiba_00,dct_shield,,aligned,0.95,1.5,1000,False,0.56399,0.0347,29.587,0.85434,0.3377,0.03316,0.6715,0.7,62.6
