image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,defense_steps,loss,gain_ratio,purify_aware,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29831,0.92979,24.881,0.44592,0.0963,0.30697,0.71691,18.688,0.33795,0.20973,0.77014,0.05701,0.90464,0.86479,False,0.837,182.6
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35194,0.90285,25.506,0.36641,0.14514,0.38114,0.61913,18.157,0.27436,0.26683,0.93725,0.05305,0.92821,0.92705,False,0.837,173.0
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36349,0.84432,21.168,0.30745,0.19551,0.49493,0.39706,14.481,0.25561,0.3305,0.88627,0.08742,0.92154,0.79425,True,0.837,173.1
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42716,0.97113,34.371,0.40952,0.09262,0.34716,0.69723,15.54,0.85504,0.27351,0.75686,0.01912,0.92521,0.9332,False,0.837,172.8
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.26662,0.93776,28.646,0.49866,0.12736,0.43258,0.58306,11.121,0.43323,0.26884,0.80784,0.03696,0.9235,0.85919,False,0.837,172.8
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43365,0.90206,27.636,0.44718,0.08932,0.41117,0.57122,17.846,0.29243,0.20017,0.68235,0.04151,0.91364,0.88533,False,0.837,172.9
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43536,0.79385,19.065,0.245,0.13025,0.51152,0.38925,15.825,0.11347,0.26732,0.97647,0.11136,0.92316,0.89577,False,0.837,172.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37111,0.90592,23.908,0.3638,0.10754,0.41597,0.63541,17.715,0.25051,0.24351,0.68196,0.06377,0.8893,0.85502,False,0.837,172.8
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47634,0.87015,24.273,0.35685,0.11947,0.472,0.42186,16.007,0.24506,0.3472,0.75233,0.06115,0.89559,0.7116,True,0.837,172.7
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.39556,0.92303,26.354,0.48797,0.10399,0.74728,0.39566,11.146,0.14476,0.369,0.79067,0.04812,0.70902,0.69143,True,0.837,172.7
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4701,0.83457,23.565,0.22702,0.15543,0.22281,0.78488,20.454,0.19843,0.24641,0.97688,0.06634,0.92796,0.90575,False,0.837,361.8
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46826,0.8415,22.53,0.29499,0.15072,0.53933,0.42864,14.399,0.14497,0.2919,0.95294,0.07473,0.84542,0.81339,True,0.837,364.9
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,1000,encoder_target,1.0,none,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41257,0.8828,24.785,0.34508,0.10076,0.5503,0.45972,13.862,0.34165,0.36237,0.99608,0.05764,0.66789,0.60183,True,0.837,377.9
