Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading pipeline components...:   0%|          | 0/6 [00:00<?, ?it/s]Loading pipeline components...:  50%|█████     | 3/6 [00:00<00:00, 20.85it/s]
Loading weights:   0%|          | 0/196 [00:00<?, ?it/s][ALoading weights: 100%|██████████| 196/196 [00:00<00:00, 4090.68it/s]
Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 13.86it/s]Loading pipeline components...: 100%|██████████| 6/6 [00:00<00:00, 14.59it/s]
There are modules in AutoencoderKL that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:207: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:222: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
IP2P 線：16 張、條件 ['phase', 'dct_shield']、steps=100 s_T=7.5 s_I=1.5 seed=20260812
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/diffusers/image_processor.py:724: FutureWarning: Passing `image` as torch tensor with value range in [-1,1] is deprecated. The expected value range for image tensor is [0,1] when passing as pytorch tensor or numpy Array. You passed `image` with value range [-1.0,1.0]
  warnings.warn(
Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]Loading weights: 100%|██████████| 398/398 [00:00<00:00, 12063.49it/s]
[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.
Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]Loading weights:  95%|█████████▌| 389/408 [00:00<00:00, 3862.33it/s]Loading weights: 100%|██████████| 408/408 [00:00<00:00, 3915.09it/s]
task_env_weather_146611          clip_gain=+0.0250 lpips=0.2662 (32s)
task_env_weather_150522          clip_gain=+0.1248 lpips=0.5779 (22s)
task_env_weather_165714          clip_gain=+0.0132 lpips=0.1657 (22s)
task_env_weather_193600          clip_gain=-0.0003 lpips=0.2120 (22s)
task_env_weather_195273          clip_gain=+0.0648 lpips=0.3200 (22s)
task_env_weather_217577          clip_gain=+0.0348 lpips=0.4187 (23s)
task_env_weather_226185          clip_gain=+0.0393 lpips=0.2714 (23s)
task_env_weather_231482          clip_gain=+0.0198 lpips=0.2818 (23s)
task_env_weather_262001          clip_gain=+0.0111 lpips=0.2947 (23s)
task_env_weather_39740           clip_gain=+0.0693 lpips=0.3844 (23s)
task_env_weather_52051           clip_gain=+0.0191 lpips=0.3516 (23s)
task_env_weather_59863           clip_gain=+0.0409 lpips=0.3667 (23s)
task_env_weather_61151           clip_gain=+0.0024 lpips=0.2366 (23s)
task_env_weather_70149           clip_gain=+0.0252 lpips=0.3672 (23s)
task_env_weather_85610           clip_gain=+0.0033 lpips=0.3376 (23s)
task_env_weather_86691           clip_gain=+0.0403 lpips=0.3135 (23s)

表：runs/ip2p_obedience_expand/g2/check.csv（16 列）
