image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.07874,0.97302,30.03,0.57805,0.05511,0.11732,0.91997,24.142,0.43599,0.06754,0.4579,0.03151,36.0
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.13916,0.93635,28.184,0.4893,0.08587,0.17738,0.85486,23.536,0.35175,0.1176,0.35345,0.03898,36.1
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.10867,0.94252,24.572,0.47162,0.0632,0.2081,0.77471,18.846,0.32333,0.15693,0.51401,0.05907,36.2
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.1366,0.98687,41.07,0.67008,0.07777,0.14316,0.9579,33.807,0.60615,0.09237,0.1676,0.00884,36.2
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.08294,0.95633,30.34,0.59954,0.08342,0.12462,0.88781,23.881,0.503,0.10054,0.36162,0.03041,36.3
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.16821,0.93228,29.428,0.49381,0.07756,0.24118,0.77043,21.621,0.28034,0.10979,0.3222,0.03378,36.3
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.12212,0.93548,29.641,0.49992,0.06347,0.18066,0.87377,26.145,0.33581,0.07134,0.27845,0.03296,36.3
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.16174,0.92024,29.226,0.44829,0.0906,0.20301,0.8435,24.634,0.3793,0.12447,0.32432,0.03457,36.4
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.14251,0.94008,23.612,0.47775,0.05374,0.30444,0.66286,18.441,0.21511,0.13005,0.63529,0.06598,36.2
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.1072,0.96814,27.629,0.53481,0.05805,0.1512,0.89132,23.037,0.34432,0.07669,0.42753,0.04155,36.3
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.1385,0.94885,27.356,0.5038,0.07083,0.24445,0.7815,21.699,0.22016,0.11078,0.46215,0.04287,36.3
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.08065,0.97113,30.965,0.63586,0.07268,0.17911,0.8619,18.102,0.46853,0.12108,0.38183,0.0283,36.3
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.21994,0.9406,28.381,0.531,0.06312,0.24712,0.78122,21.271,0.33467,0.12488,0.34368,0.0381,36.3
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.11214,0.94631,32.172,0.56873,0.0878,0.14375,0.89603,28.765,0.49549,0.08788,0.36862,0.02463,36.3
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.6,False,0.0,0.06,100,7.5,1.5,20260812,False,0.08478,0.96498,28.335,0.64489,0.04468,0.13046,0.90451,23.831,0.48886,0.05187,0.46676,0.0383,36.3
