method,type,image_id,lpips,psnr,linf
pg_enc,加性,dog/dog_00,0.5475094318389893,32.888275146484375,0.030000030994415283
pg_enc,加性,dog/dog_01,0.5372217893600464,32.70760726928711,0.030000030994415283
pg_enc,加性,car/car_00,0.3041148781776428,31.793292999267578,0.030000030994415283
advdiff,非加性,dog/dog_00,0.6021390557289124,18.571056365966797,0.7615180015563965
advdiff,非加性,dog/dog_01,0.5806889533996582,16.089723587036133,0.9490196108818054
advdiff,非加性,car/car_00,0.7543673515319824,12.774953842163086,1.0
apa,非加性,dog/dog_00,0.35809677839279175,23.387548446655273,0.6329375505447388
apa,非加性,dog/dog_01,0.40004128217697144,23.36807632446289,0.7453601956367493
apa,非加性,car/car_00,0.3133992850780487,18.09521484375,0.9686262607574463
hybrid,非加性,dog/dog_00,0.5052613615989685,21.0935001373291,0.7147939205169678
hybrid,非加性,dog/dog_01,0.5361284613609314,18.77912712097168,0.9037988781929016
hybrid,非加性,car/car_00,0.46927711367607117,16.270641326904297,1.0
