method,knob,value,lpips,adopted,at_boundary
pg_enc,epsilon,0.06,0.46294869979222614,True,
advdiff,eps_latent,0.05,0.6687146425247192,False,
advdiff,eps_latent,0.1,0.6544107794761658,False,
advdiff,eps_latent,0.2,0.6514723499615988,False,
advdiff,eps_latent,0.4,0.645731786886851,True,True
apa_sg,eps_a,0.1,0.3119390606880188,False,
apa_sg,eps_a,0.2,0.43770545721054077,True,False
apa_sg,eps_a,0.4,0.5543533265590668,False,
apa_sg,eps_a,0.8,0.5647985339164734,False,
apa_gc,eps_a,0.02,0.25193677345911664,False,
apa_gc,eps_a,0.05,0.26660368343194324,False,
apa_gc,eps_a,0.1,0.28697214523951214,False,
apa_gc,eps_a,0.2,0.3571791152159373,True,True
hybrid,eps_a,0.1,0.5035556455453237,True,True
hybrid,eps_a,0.2,0.540094792842865,False,
hybrid,eps_a,0.4,0.5636825362841288,False,
hybrid,eps_a,0.8,0.5577702323595682,False,
