tag,label,purifier,n,net_gain,net_gain_sd,floor,wins_over_floor
d_k1,逐頻帶位移 K=1,identity,10,0.24844,0.0782,0.0,10
d_k1,逐頻帶位移 K=1,jpeg90,10,0.2061,0.07014,0.05135,10
d_k1,逐頻帶位移 K=1,jpeg75,10,0.17328,0.05632,0.10874,10
d_k1,逐頻帶位移 K=1,jpeg50,10,0.15369,0.0612,0.1632,10
d_k1,逐頻帶位移 K=1,jpeg30,10,0.1609,0.0654,0.21769,10
d_k1,逐頻帶位移 K=1,blur1,10,0.14305,0.04636,0.1776,10
d_k1,逐頻帶位移 K=1,blur2,10,0.08174,0.03359,0.30543,10
d_k1,逐頻帶位移 K=1,crop_resize0.1,10,0.02144,0.01442,0.49946,9
d_k1,逐頻帶位移 K=1,crop_resize0.15,10,0.01526,0.01005,0.5676,10
d_k4,逐頻帶位移 K=4,identity,10,0.25767,0.08411,0.0,10
d_k4,逐頻帶位移 K=4,jpeg90,10,0.22161,0.07611,0.05135,10
d_k4,逐頻帶位移 K=4,jpeg75,10,0.18213,0.0622,0.10874,10
d_k4,逐頻帶位移 K=4,jpeg50,10,0.16077,0.06888,0.1632,10
d_k4,逐頻帶位移 K=4,jpeg30,10,0.1463,0.06633,0.21769,10
d_k4,逐頻帶位移 K=4,blur1,10,0.12991,0.06096,0.1776,10
d_k4,逐頻帶位移 K=4,blur2,10,0.06887,0.03036,0.30543,10
d_k4,逐頻帶位移 K=4,crop_resize0.1,10,0.05207,0.0825,0.49946,9
d_k4,逐頻帶位移 K=4,crop_resize0.15,10,0.03066,0.03646,0.5676,10
d_kfull,逐頻格獨立相位,identity,10,0.24659,0.07601,0.0,10
d_kfull,逐頻格獨立相位,jpeg90,10,0.20543,0.07065,0.05135,10
d_kfull,逐頻格獨立相位,jpeg75,10,0.16243,0.05489,0.10874,10
d_kfull,逐頻格獨立相位,jpeg50,10,0.13438,0.04915,0.1632,10
d_kfull,逐頻格獨立相位,jpeg30,10,0.13458,0.05737,0.21769,10
d_kfull,逐頻格獨立相位,blur1,10,0.11094,0.06211,0.1776,9
d_kfull,逐頻格獨立相位,blur2,10,0.06951,0.03461,0.30543,9
d_kfull,逐頻格獨立相位,crop_resize0.1,10,0.02787,0.01528,0.49946,10
d_kfull,逐頻格獨立相位,crop_resize0.15,10,0.02915,0.04142,0.5676,8
w_smooth,像素位移場 網格16,identity,10,0.27858,0.09326,0.0,10
w_smooth,像素位移場 網格16,jpeg90,10,0.23058,0.07437,0.05135,10
w_smooth,像素位移場 網格16,jpeg75,10,0.18495,0.06583,0.10874,10
w_smooth,像素位移場 網格16,jpeg50,10,0.15221,0.05196,0.1632,10
w_smooth,像素位移場 網格16,jpeg30,10,0.1533,0.05923,0.21769,10
w_smooth,像素位移場 網格16,blur1,10,0.14695,0.05501,0.1776,10
w_smooth,像素位移場 網格16,blur2,10,0.08274,0.03449,0.30543,10
w_smooth,像素位移場 網格16,crop_resize0.1,10,0.01454,0.01743,0.49946,8
w_smooth,像素位移場 網格16,crop_resize0.15,10,0.01266,0.02725,0.5676,9
w_fold,像素位移場 網格64,identity,10,0.21308,0.06806,0.0,10
w_fold,像素位移場 網格64,jpeg90,10,0.16147,0.05381,0.05135,10
w_fold,像素位移場 網格64,jpeg75,10,0.12122,0.04435,0.10874,10
w_fold,像素位移場 網格64,jpeg50,10,0.10215,0.02953,0.1632,10
w_fold,像素位移場 網格64,jpeg30,10,0.07671,0.04381,0.21769,10
w_fold,像素位移場 網格64,blur1,10,0.09667,0.02885,0.1776,10
w_fold,像素位移場 網格64,blur2,10,0.04819,0.01939,0.30543,10
w_fold,像素位移場 網格64,crop_resize0.1,10,0.02012,0.01496,0.49946,9
w_fold,像素位移場 網格64,crop_resize0.15,10,0.02545,0.04635,0.5676,9
