tag,label,n,edit_lpips,edit_dists,edit_psnr,edit_ssim,edit_vif_p,edit_clip_sim,edit_siglip_sim,siglip_blocked
d_k1,逐頻帶位移 K=1,10,0.25223,0.12502,20.1271,0.70996,0.24924,0.96851,0.95603,0/10
d_k4,逐頻帶位移 K=4,10,0.25948,0.1307,20.2284,0.73916,0.26562,0.97352,0.95697,0/10
d_kfull,逐頻格獨立相位,10,0.24685,0.13953,21.0551,0.80528,0.31864,0.96478,0.95474,0/10
w_smooth,像素位移場 網格16,10,0.27874,0.13473,17.987,0.5891,0.143,0.94208,0.94161,1/10
w_fold,像素位移場 網格64,10,0.21359,0.13407,22.0531,0.81239,0.2752,0.96213,0.95471,0/10
