image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40846,0.9863,30.451,0.43532,0.03812,0.38922,0.70452,17.993,0.28309,0.2133,0.30729,0.03002,0.86881,0.88059,False,0.837,438.7
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38716,0.97901,31.243,0.46464,0.05451,0.56879,0.39674,8.951,0.18714,0.31483,0.38003,0.0274,0.81114,0.8252,True,0.837,426.7
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35936,0.98243,28.18,0.4744,0.04354,0.4456,0.59249,17.274,0.27669,0.27203,0.28986,0.03899,0.95866,0.91991,False,0.837,426.3
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52797,0.97233,34.54,0.23274,0.08096,0.45108,0.56462,12.809,0.13144,0.36003,0.25991,0.01875,0.7375,0.7184,True,0.837,425.5
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44466,0.9826,31.901,0.44005,0.06256,0.59948,0.3644,8.772,0.39437,0.3685,0.3236,0.02541,0.88688,0.82586,True,0.837,425.7
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52671,0.98552,31.494,0.46336,0.01852,0.82171,0.40911,10.735,0.17356,0.34292,0.24305,0.02662,0.56081,0.58384,True,0.837,425.8
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31613,0.97533,27.203,0.46834,0.02939,0.4729,0.42003,15.641,0.13569,0.25664,0.39826,0.04364,0.9244,0.86819,False,0.837,425.8
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40587,0.9863,30.428,0.46224,0.03467,0.4549,0.69053,17.56,0.24897,0.2404,0.26699,0.0301,0.90134,0.86558,False,0.837,425.5
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41539,0.98166,30.519,0.51588,0.03838,0.46443,0.48073,16.672,0.27806,0.2975,0.25007,0.02979,0.87962,0.79771,True,0.837,425.9
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45478,0.98525,31.345,0.49367,0.05387,0.63526,0.37358,9.864,0.1218,0.32084,0.37708,0.02709,0.7409,0.71827,True,0.837,425.5
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41892,0.93553,29.696,0.41683,0.0424,0.46604,0.75341,16.442,0.09706,0.24676,0.32042,0.03275,0.84339,0.91363,False,0.837,425.5
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38803,0.98048,29.574,0.47579,0.03199,0.5503,0.43793,14.348,0.13384,0.2881,0.27654,0.03321,0.88462,0.74907,True,0.837,425.9
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.8,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.42721,0.97338,30.46,0.43298,0.03344,0.61269,0.46845,10.452,0.28963,0.36846,0.35582,0.02999,0.82134,0.76197,True,0.837,416.8
