image,arm,acutance_ratio,local_acutance_dev,local_acutance_signed,local_acutance_worst
car_00,blur,0.6202704310417175,0.37972956895828247,-0.37972956895828247,0.47692036628723145
car_00,noise,1.0027345418930054,0.005549657624214888,0.002734551904723048,0.006153702735900879
car_00,warp_bilinear,0.773352861404419,0.2267215996980667,-0.22664715349674225,0.33465051651000977
car_00,warp_bicubic,0.9745436906814575,0.031650081276893616,-0.025456346571445465,0.07252228260040283
car_01,blur,0.6958872079849243,0.3041127920150757,-0.3041127920150757,0.40246307849884033
car_01,noise,1.0050699710845947,0.006907560862600803,0.005069803912192583,0.008486032485961914
car_01,warp_bilinear,0.820073664188385,0.17992626130580902,-0.17992626130580902,0.291942298412323
car_01,warp_bicubic,0.9959508180618286,0.020432598888874054,-0.004049085080623627,0.09410476684570312
dog_00,blur,0.8482874631881714,0.15171262621879578,-0.15171262621879578,0.19847828149795532
dog_00,noise,1.0169951915740967,0.01746213808655739,0.016995064914226532,0.01876223087310791
dog_00,warp_bilinear,0.8976844549179077,0.10246878862380981,-0.10231558978557587,0.23729318380355835
dog_00,warp_bicubic,1.0043275356292725,0.022817783057689667,0.004327583126723766,0.11152184009552002
dog_01,blur,0.8093369007110596,0.19066323339939117,-0.19066323339939117,0.28806591033935547
dog_01,noise,1.0044069290161133,0.005265647079795599,0.004407027270644903,0.005932927131652832
dog_01,warp_bilinear,0.872669517993927,0.127330482006073,-0.127330482006073,0.2485969066619873
dog_01,warp_bicubic,1.0128438472747803,0.02460521273314953,0.01284392923116684,0.08787888288497925
person_00,blur,0.8617658615112305,0.13823415338993073,-0.13823415338993073,0.236708402633667
person_00,noise,1.0126330852508545,0.013049001805484295,0.012633067555725574,0.01497960090637207
person_00,warp_bilinear,0.9035475850105286,0.09749699383974075,-0.09645240753889084,0.22458124160766602
person_00,warp_bicubic,1.0094836950302124,0.041040923446416855,0.009483478963375092,0.10000789165496826
person_01,blur,0.7511317133903503,0.2488682121038437,-0.2488682121038437,0.39743363857269287
person_01,noise,1.008991003036499,0.010751736350357533,0.008990990929305553,0.007783412933349609
person_01,warp_bilinear,0.8360810279846191,0.16395971179008484,-0.16391898691654205,0.3229627013206482
person_01,warp_bicubic,0.9954915642738342,0.03676062822341919,-0.004508388228714466,0.12423336505889893
