site,image,acutance_ratio,local_acutance_dev,local_acutance_signed,local_acutance_worst
S,car_00,0.7863138318061829,0.21413376927375793,-0.21368616819381714,0.35629647970199585
S,car_01,0.8156909346580505,0.18467438220977783,-0.18430906534194946,0.3708000183105469
S,dog_00,0.8939355611801147,0.10739853233098984,-0.10606446117162704,0.2472938895225525
S,dog_01,0.8682658672332764,0.1318153738975525,-0.13173426687717438,0.2758287191390991
S,person_00,0.9117476344108582,0.09725803136825562,-0.0882524624466896,0.2295222282409668
S,person_01,0.8385117053985596,0.16227442026138306,-0.16148823499679565,0.28166115283966064
P,car_00,1.0018365383148193,0.005776730831712484,0.001836557174101472,0.0128096342086792
P,car_01,1.0041474103927612,0.006306363269686699,0.004147358238697052,0.011068224906921387
P,dog_00,1.0092648267745972,0.011305292136967182,0.009264779277145863,0.01155233383178711
P,dog_01,1.0039749145507812,0.0056634508073329926,0.0039749727584421635,0.013393282890319824
P,person_00,1.0105568170547485,0.012085269205272198,0.010556765832006931,0.017847061157226562
P,person_01,1.0100680589675903,0.011961341835558414,0.010068092495203018,0.015825629234313965
