image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.84475,0.82999,0.82838,0.064696,0.065847,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49576,0.87201,23.629,0.24236,0.16876,0.44017,0.66487,18.305,0.1856,0.25248,0.6209,0.06585,0.86143,0.84255,False,0.837,413.8
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.8345,0.83594,0.82762,0.065156,0.065044,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47052,0.82893,23.736,0.23678,0.18153,0.51715,0.55299,16.562,0.17371,0.30133,0.68223,0.06504,0.94507,0.90796,False,0.837,406.5
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.9248,0.90386,0.92142,0.090858,0.092963,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49972,0.85467,20.634,0.24289,0.21633,0.58491,0.44623,15.666,0.18532,0.33823,0.63313,0.09296,0.93502,0.88844,False,0.837,403.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.57721,0.66006,0.57877,0.043555,0.038088,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.57522,0.85628,28.384,0.11001,0.19556,0.48389,0.54478,15.679,0.14516,0.23553,0.59513,0.03809,0.91395,0.90346,False,0.837,404.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.72192,0.73904,0.70729,0.053196,0.051964,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48741,0.87142,25.686,0.25628,0.17734,0.53184,0.58715,12.752,0.27017,0.28951,0.58807,0.05196,0.88062,0.83893,False,0.837,404.2
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.70756,0.73166,0.70118,0.051363,0.049671,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56282,0.88395,26.078,0.26918,0.11664,0.4033,0.51625,17.051,0.28944,0.19813,0.53738,0.04967,0.84734,0.83416,True,0.837,402.2
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.93957,0.90579,0.91744,0.102717,0.106548,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4229,0.83661,19.449,0.24401,0.14252,0.56946,0.30939,14.817,0.11518,0.32819,0.98039,0.10655,0.89503,0.8582,False,0.837,401.7
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.86397,0.86202,0.86467,0.072025,0.072187,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49124,0.86219,22.831,0.22064,0.14982,0.48503,0.6186,16.969,0.16515,0.2984,0.60887,0.07219,0.85961,0.85256,False,0.837,401.7
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.85688,0.85259,0.85269,0.071858,0.072219,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52722,0.85253,22.827,0.2723,0.17773,0.54262,0.38916,15.615,0.20401,0.37843,0.5428,0.07222,0.83554,0.69527,True,0.837,401.8
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.82126,0.83455,0.81128,0.067756,0.066677,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.51911,0.87369,23.521,0.26354,0.18329,0.58553,0.48535,15.121,0.12082,0.32265,0.85882,0.06668,0.87311,0.79374,True,0.837,401.8
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.75,0.90128,0.88332,0.88433,0.080924,0.08257,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47889,0.76245,21.664,0.18072,0.19881,0.6855,0.52949,12.641,0.01075,0.44524,0.6605,0.08257,0.82194,0.84493,False,0.837,401.6
