image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_obj_add_531333,Add grey hat,0.2,0.24692,0.04692,0.03383,0.10832,0.07448,0.3863,100,7.5,1.5,20260812,31.6
task_obj_add_583252,Add person in red attire,0.19054,0.23256,0.04201,0.02247,0.06724,0.04477,0.40462,100,7.5,1.5,20260812,21.4
task_obj_add_584511,Add dog,0.19218,0.18664,-0.00554,0.01919,0.01726,-0.00193,0.15345,100,7.5,1.5,20260812,21.7
task_obj_add_630523,Add small flower,0.21685,0.21222,-0.00464,0.01605,0.02185,0.0058,0.18711,100,7.5,1.5,20260812,21.8
task_obj_add_669258,Add person,0.19682,0.20269,0.00587,-0.05703,-0.05565,0.00138,0.18282,100,7.5,1.5,20260812,21.9
task_obj_add_685213,Add yellow tag,0.19841,0.2428,0.04439,-0.01534,0.03288,0.04822,0.41317,100,7.5,1.5,20260812,21.9
task_obj_add_697862,Add blimp,0.19117,0.20178,0.01061,-0.01001,0.04745,0.05746,0.15439,100,7.5,1.5,20260812,22.0
task_obj_add_709390,Add glasses,0.19764,0.2411,0.04346,0.01802,0.08971,0.07169,0.19761,100,7.5,1.5,20260812,22.1
task_obj_add_726991,Add stem,0.22241,0.22311,0.0007,0.0518,0.0495,-0.0023,0.09363,100,7.5,1.5,20260812,22.1
task_obj_add_767982,Add grape,0.22252,0.24121,0.01869,0.01154,0.0646,0.05306,0.28669,100,7.5,1.5,20260812,22.1
task_obj_add_850681,Add left carnation,0.21012,0.24136,0.03124,0.06757,0.08767,0.0201,0.63874,100,7.5,1.5,20260812,22.1
task_obj_remove_108877,Remove hunter's coat,0.28396,0.28078,-0.00318,0.02488,0.03541,0.01053,0.16779,100,7.5,1.5,20260812,22.1
task_obj_remove_157386,Remove flowers,0.23965,0.23788,-0.00177,0.029,0.02478,-0.00421,0.34363,100,7.5,1.5,20260812,22.0
task_obj_remove_166983,Remove white buildings,0.23094,0.22592,-0.00502,0.04105,0.0406,-0.00045,0.21457,100,7.5,1.5,20260812,21.9
task_obj_remove_197959,Remove car,0.1788,0.23128,0.05248,-0.02622,0.02529,0.0515,0.57687,100,7.5,1.5,20260812,21.9
task_obj_remove_228800,Remove bear,0.26223,0.26119,-0.00105,0.07844,0.07991,0.00147,0.27661,100,7.5,1.5,20260812,21.9
