image,source,qd,fid_dists,fid_psnr,delta_dists
task_env_weather_112463,ours_pg_q20,0.35,0.140657,27.2149,0.011638
task_obj_remove_380621,ours_pg_q20,none,0.180197,22.818,0.0
task_obj_remove_380621,ours_pg_q20,0.85,0.181826,22.7906,0.001629
task_obj_remove_380621,ours_pg_q20,0.75,0.202529,21.2084,0.022332
task_obj_remove_380621,ours_pg_q20,0.6,0.189584,23.4248,0.009387
task_obj_remove_380621,ours_pg_q20,0.45,0.206952,22.2047,0.026755
task_obj_remove_380621,ours_pg_q20,0.35,0.202029,23.43,0.021832
task_obj_swap_joint_mask_276754,ours_pg_q20,none,0.22214,20.988,0.0
task_obj_swap_joint_mask_276754,ours_pg_q20,0.85,0.223545,20.9107,0.001405
task_obj_swap_joint_mask_276754,ours_pg_q20,0.75,0.23279,19.9704,0.01065
task_obj_swap_joint_mask_276754,ours_pg_q20,0.6,0.232302,21.0127,0.010162
task_obj_swap_joint_mask_276754,ours_pg_q20,0.45,0.253062,19.7078,0.030921
task_obj_swap_joint_mask_276754,ours_pg_q20,0.35,0.240664,20.9244,0.018524
task_obj_swap_joint_mask_533428,ours_pg_q20,none,0.193867,20.9317,0.0
task_obj_swap_joint_mask_533428,ours_pg_q20,0.85,0.195423,20.9087,0.001556
task_obj_swap_joint_mask_533428,ours_pg_q20,0.75,0.205351,19.578,0.011483
task_obj_swap_joint_mask_533428,ours_pg_q20,0.6,0.196204,21.3389,0.002337
task_obj_swap_joint_mask_533428,ours_pg_q20,0.45,0.214836,20.1356,0.020969
task_obj_swap_joint_mask_533428,ours_pg_q20,0.35,0.203218,21.5776,0.009351
task_obj_swap_rand_mask_417469,ours_pg_q20,none,0.182206,22.1514,0.0
task_obj_swap_rand_mask_417469,ours_pg_q20,0.85,0.184323,22.1128,0.002117
task_obj_swap_rand_mask_417469,ours_pg_q20,0.75,0.200822,20.7044,0.018615
task_obj_swap_rand_mask_417469,ours_pg_q20,0.6,0.192218,22.6725,0.010012
task_obj_swap_rand_mask_417469,ours_pg_q20,0.45,0.209798,21.5563,0.027592
task_obj_swap_rand_mask_417469,ours_pg_q20,0.35,0.193603,22.8333,0.011397
