image,q_alg,eps,proxy,fid_dists,fid_lpips,fid_psnr,rms
task_attr_mod_color_6205,0.75,0.4,saturated_random_sign,0.116379,0.522734,25.2554,0.054605
task_attr_mod_color_6205,0.75,0.6,saturated_random_sign,0.157418,0.592379,22.0136,0.079308
task_attr_mod_color_6205,0.75,1.0,saturated_random_sign,0.210896,0.685062,17.9037,0.127295
task_attr_mod_color_6205,0.75,1.5,saturated_random_sign,0.26149,0.755814,14.8326,0.181289
task_attr_mod_color_6205,0.5,0.15,saturated_random_sign,0.097481,0.486739,27.0665,0.044328
task_attr_mod_color_6205,0.5,0.25,saturated_random_sign,0.144437,0.569743,23.3687,0.067852
task_attr_mod_color_6205,0.5,0.4,saturated_random_sign,0.191046,0.649831,19.6629,0.103957
task_attr_mod_color_6205,0.5,0.6,saturated_random_sign,0.232194,0.721924,16.5121,0.149415
task_attr_mod_color_6205,0.3,0.08,saturated_random_sign,0.093015,0.479249,27.3497,0.042906
task_attr_mod_color_6205,0.3,0.15,saturated_random_sign,0.146864,0.577286,23.2146,0.069067
task_attr_mod_color_6205,0.3,0.25,saturated_random_sign,0.196615,0.663021,19.2968,0.108433
task_attr_mod_color_6205,0.3,0.4,saturated_random_sign,0.2482,0.743441,15.7173,0.163733
task_env_weather_112463,0.85,0.6,saturated_random_sign,0.068532,0.521949,26.4035,0.047844
task_env_weather_112463,0.85,1.0,saturated_random_sign,0.109758,0.622471,22.2095,0.07754
task_env_weather_112463,0.85,1.5,saturated_random_sign,0.152308,0.705495,18.9547,0.112788
task_env_weather_112463,0.85,2.2,saturated_random_sign,0.201996,0.781396,16.0077,0.15835
task_env_weather_112463,0.75,0.4,saturated_random_sign,0.07773,0.54772,25.4212,0.053572
task_env_weather_112463,0.75,0.6,saturated_random_sign,0.111816,0.626784,22.1362,0.078197
task_env_weather_112463,0.75,1.0,saturated_random_sign,0.166221,0.729475,18.0804,0.124733
task_env_weather_112463,0.75,1.5,saturated_random_sign,0.221227,0.805762,15.0181,0.177458
task_env_weather_112463,0.5,0.15,saturated_random_sign,0.061074,0.503994,27.4926,0.042205
task_env_weather_112463,0.5,0.25,saturated_random_sign,0.096696,0.598608,23.5604,0.066371
task_env_weather_112463,0.5,0.4,saturated_random_sign,0.14157,0.689892,19.8419,0.101837
task_env_weather_112463,0.5,0.6,saturated_random_sign,0.189471,0.768535,16.7136,0.145988
task_env_weather_112463,0.3,0.08,saturated_random_sign,0.059856,0.491847,27.935,0.040109
task_env_weather_112463,0.3,0.15,saturated_random_sign,0.100231,0.604936,23.4472,0.067242
task_env_weather_112463,0.3,0.25,saturated_random_sign,0.147399,0.701732,19.4989,0.105939
task_env_weather_112463,0.3,0.4,saturated_random_sign,0.204608,0.789487,15.9307,0.15976
task_obj_remove_380621,0.85,0.6,saturated_random_sign,0.086698,0.473499,26.2611,0.048635
task_obj_remove_380621,0.85,1.0,saturated_random_sign,0.152075,0.574382,22.0989,0.078533
task_obj_remove_380621,0.85,1.5,saturated_random_sign,0.215623,0.646624,18.7653,0.115275
task_obj_remove_380621,0.85,2.2,saturated_random_sign,0.273118,0.708164,15.7025,0.164011
task_obj_remove_380621,0.75,0.4,saturated_random_sign,0.099767,0.502372,25.1397,0.055337
task_obj_remove_380621,0.75,0.6,saturated_random_sign,0.155135,0.579296,21.9494,0.079897
task_obj_remove_380621,0.75,1.0,saturated_random_sign,0.235597,0.666684,17.8292,0.128393
task_obj_remove_380621,0.75,1.5,saturated_random_sign,0.293163,0.729776,14.6712,0.184689
task_obj_remove_380621,0.5,0.15,saturated_random_sign,0.088194,0.464166,26.4373,0.047658
task_obj_remove_380621,0.5,0.25,saturated_random_sign,0.136543,0.556242,23.0724,0.070207
task_obj_remove_380621,0.5,0.4,saturated_random_sign,0.201691,0.636023,19.5149,0.105744
task_obj_remove_380621,0.5,0.6,saturated_random_sign,0.262922,0.699577,16.3548,0.152146
task_obj_remove_380621,0.3,0.08,saturated_random_sign,0.090597,0.465115,26.1908,0.04903
task_obj_remove_380621,0.3,0.15,saturated_random_sign,0.142224,0.569534,22.7125,0.073177
task_obj_remove_380621,0.3,0.25,saturated_random_sign,0.208382,0.650497,19.0647,0.111369
task_obj_remove_380621,0.3,0.4,saturated_random_sign,0.276542,0.720274,15.5057,0.16777
task_obj_swap_joint_mask_276754,0.85,0.6,saturated_random_sign,0.064107,0.239963,26.4568,0.047551
task_obj_swap_joint_mask_276754,0.85,1.0,saturated_random_sign,0.104164,0.329411,22.7049,0.073241
task_obj_swap_joint_mask_276754,0.85,1.5,saturated_random_sign,0.147848,0.411393,19.6217,0.104451
task_obj_swap_joint_mask_276754,0.85,2.2,saturated_random_sign,0.200933,0.488955,16.7131,0.145998
task_obj_swap_joint_mask_276754,0.75,0.4,saturated_random_sign,0.077821,0.274811,25.1097,0.055529
task_obj_swap_joint_mask_276754,0.75,0.6,saturated_random_sign,0.110076,0.342185,22.3831,0.076006
task_obj_swap_joint_mask_276754,0.75,1.0,saturated_random_sign,0.167773,0.439532,18.6689,0.116561
task_obj_swap_joint_mask_276754,0.75,1.5,saturated_random_sign,0.2264,0.517533,15.6579,0.164855
task_obj_swap_joint_mask_276754,0.5,0.15,saturated_random_sign,0.069805,0.281286,25.4461,0.053419
task_obj_swap_joint_mask_276754,0.5,0.25,saturated_random_sign,0.103412,0.340114,22.9684,0.071052
task_obj_swap_joint_mask_276754,0.5,0.4,saturated_random_sign,0.146146,0.413803,20.0118,0.099865
task_obj_swap_joint_mask_276754,0.5,0.6,saturated_random_sign,0.198426,0.485512,17.189,0.138213
task_obj_swap_joint_mask_276754,0.3,0.08,saturated_random_sign,0.077313,0.312829,24.8542,0.057186
task_obj_swap_joint_mask_276754,0.3,0.15,saturated_random_sign,0.112905,0.367873,22.4405,0.075505
task_obj_swap_joint_mask_276754,0.3,0.25,saturated_random_sign,0.156709,0.4368,19.4983,0.105946
task_obj_swap_joint_mask_276754,0.3,0.4,saturated_random_sign,0.215206,0.512072,16.3426,0.15236
task_obj_swap_joint_mask_533428,0.85,0.6,saturated_random_sign,0.043986,0.303951,26.1649,0.049176
task_obj_swap_joint_mask_533428,0.85,1.0,saturated_random_sign,0.095653,0.40798,22.1998,0.077626
task_obj_swap_joint_mask_533428,0.85,1.5,saturated_random_sign,0.147727,0.496466,19.0288,0.111831
task_obj_swap_joint_mask_533428,0.85,2.2,saturated_random_sign,0.206843,0.577194,16.1175,0.156359
task_obj_swap_joint_mask_533428,0.75,0.4,saturated_random_sign,0.054217,0.333556,25.0669,0.055802
task_obj_swap_joint_mask_533428,0.75,0.6,saturated_random_sign,0.095538,0.415774,22.0366,0.079099
task_obj_swap_joint_mask_533428,0.75,1.0,saturated_random_sign,0.16246,0.52448,18.1308,0.12401
task_obj_swap_joint_mask_533428,0.75,1.5,saturated_random_sign,0.228956,0.606181,15.1123,0.175543
task_obj_swap_joint_mask_533428,0.5,0.15,saturated_random_sign,0.040769,0.296896,26.3655,0.048053
task_obj_swap_joint_mask_533428,0.5,0.25,saturated_random_sign,0.080473,0.386391,23.1441,0.069629
task_obj_swap_joint_mask_533428,0.5,0.4,saturated_random_sign,0.132744,0.481772,19.7424,0.10301
task_obj_swap_joint_mask_533428,0.5,0.6,saturated_random_sign,0.191828,0.564017,16.7418,0.145516
task_obj_swap_joint_mask_533428,0.3,0.08,saturated_random_sign,0.052669,0.306045,26.1694,0.049151
