image,q_alg,fid_dists,fid_lpips,fid_psnr,fid_ssim,fid_vif_p,fid_linf,rms
task_attr_mod_color_11699,0.95,0.002469,0.037593,41.2181,0.997004,0.892789,0.107646,0.008691
task_attr_mod_color_11699,0.85,0.009753,0.094534,36.2298,0.991836,0.757367,0.166165,0.015435
task_attr_mod_color_11699,0.75,0.019162,0.131611,34.1246,0.9878,0.691166,0.222053,0.019668
task_attr_mod_color_11699,0.6,0.030127,0.162603,32.383,0.982677,0.632295,0.271225,0.024035
task_attr_mod_color_11699,0.5,0.032256,0.183804,31.6018,0.979655,0.605094,0.274324,0.026297
task_attr_mod_color_11699,0.4,0.039021,0.208801,30.8174,0.975697,0.574999,0.296896,0.028782
task_attr_mod_color_11699,0.3,0.054793,0.252967,29.8839,0.968545,0.53706,0.308728,0.032048
task_attr_mod_color_136767,0.95,0.001623,0.01574,43.3914,0.997338,0.898763,0.194925,0.006767
task_attr_mod_color_136767,0.85,0.005508,0.045458,38.1253,0.992439,0.760714,0.247007,0.012409
task_attr_mod_color_136767,0.75,0.010982,0.070366,35.7516,0.987424,0.6951,0.337403,0.016308
task_attr_mod_color_136767,0.6,0.019582,0.103984,33.8491,0.978869,0.637976,0.355601,0.020302
task_attr_mod_color_136767,0.5,0.028052,0.127104,33.0074,0.97365,0.611097,0.378987,0.022368
task_attr_mod_color_136767,0.4,0.038278,0.15074,32.1967,0.967709,0.583272,0.343378,0.024556
task_attr_mod_color_136767,0.3,0.04782,0.181268,31.2102,0.957794,0.548602,0.391861,0.02751
task_attr_mod_color_184837,0.95,0.002888,0.013392,40.8073,0.997377,0.890489,0.085836,0.009112
task_attr_mod_color_184837,0.85,0.007448,0.044005,35.2613,0.99364,0.742505,0.142792,0.017256
task_attr_mod_color_184837,0.75,0.011369,0.071895,32.8479,0.989925,0.674742,0.173271,0.022783
task_attr_mod_color_184837,0.6,0.019799,0.106392,30.8508,0.98456,0.617319,0.203926,0.028672
task_attr_mod_color_184837,0.5,0.025571,0.125075,29.9554,0.981225,0.590357,0.231863,0.031785
task_attr_mod_color_184837,0.4,0.031399,0.146215,29.0887,0.976392,0.56282,0.272518,0.035121
task_attr_mod_color_184837,0.3,0.042818,0.1771,28.0579,0.968528,0.529172,0.306565,0.039546
task_attr_mod_color_32648,0.95,0.001912,0.027411,49.208,0.997961,0.882813,0.060002,0.003463
task_attr_mod_color_32648,0.85,0.008502,0.078392,44.2968,0.993734,0.752272,0.102856,0.006097
task_attr_mod_color_32648,0.75,0.016737,0.10662,42.2004,0.98875,0.678393,0.13111,0.007761
task_attr_mod_color_32648,0.6,0.032988,0.167737,40.4531,0.981153,0.608011,0.173525,0.009491
task_attr_mod_color_32648,0.5,0.043134,0.205625,39.6805,0.976643,0.57415,0.209108,0.010374
task_attr_mod_color_32648,0.4,0.066616,0.25017,38.9383,0.970679,0.532532,0.2254,0.0113
task_attr_mod_color_32648,0.3,0.098855,0.286012,37.7745,0.95968,0.486456,0.242294,0.01292
task_attr_mod_color_6205,0.95,0.003723,0.022585,41.2575,0.995267,0.913902,0.211009,0.008652
task_attr_mod_color_6205,0.85,0.008588,0.06283,37.5637,0.988571,0.806424,0.263137,0.013237
task_attr_mod_color_6205,0.75,0.013422,0.089689,35.7617,0.982833,0.749075,0.295972,0.016289
task_attr_mod_color_6205,0.6,0.025449,0.125932,34.172,0.975125,0.693901,0.413384,0.019561
task_attr_mod_color_6205,0.5,0.030737,0.144479,33.4571,0.971031,0.667338,0.432856,0.021239
task_attr_mod_color_6205,0.4,0.036912,0.168281,32.7274,0.965838,0.639509,0.499305,0.023101
task_attr_mod_color_6205,0.3,0.051731,0.208083,31.8433,0.957503,0.599873,0.563659,0.025576
task_env_weather_112463,0.95,0.00189,0.015576,44.5956,0.996934,0.945669,0.10692,0.005891
task_env_weather_112463,0.85,0.005537,0.040951,40.6935,0.99184,0.873073,0.154258,0.009232
task_env_weather_112463,0.75,0.008992,0.063642,38.6157,0.986335,0.823013,0.196322,0.011727
task_env_weather_112463,0.6,0.015323,0.103737,36.88,0.978722,0.769916,0.227151,0.014322
task_env_weather_112463,0.5,0.02317,0.127949,36.0132,0.973944,0.742205,0.210503,0.015825
task_env_weather_112463,0.4,0.030372,0.152446,35.0937,0.967792,0.708336,0.278554,0.017592
task_env_weather_112463,0.3,0.046333,0.19692,33.902,0.95797,0.663402,0.344331,0.020179
