[env] 載入 SDXLWrapper(stabilityai/stable-diffusion-xl-base-1.0) dtype=torch.bfloat16
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.

Loading pipeline components...:   0%|          | 0/7 [00:00<?, ?it/s]
Loading pipeline components...:  29%|██▊       | 2/7 [00:01<00:04,  1.11it/s]

Loading weights:   0%|          | 0/517 [00:00<?, ?it/s][A

Loading weights:  36%|███▌      | 184/517 [00:00<00:00, 1736.56it/s][A

Loading weights:  76%|███████▌  | 394/517 [00:00<00:00, 1921.16it/s][A
Loading weights: 100%|██████████| 517/517 [00:00<00:00, 1978.25it/s]

Loading pipeline components...:  43%|████▎     | 3/7 [00:02<00:02,  1.36it/s]
Loading pipeline components...:  57%|█████▋    | 4/7 [00:02<00:01,  2.00it/s]

Loading weights:   0%|          | 0/196 [00:00<?, ?it/s][A
Loading weights: 100%|██████████| 196/196 [00:00<00:00, 2594.16it/s]

Loading pipeline components...:  71%|███████▏  | 5/7 [00:02<00:00,  2.61it/s]
Loading pipeline components...: 100%|██████████| 7/7 [00:02<00:00,  2.62it/s]
There are modules in UNet2DConditionModel that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
There are modules in AutoencoderKL that should be kept in float32: []. Casting directly with `to()` can lead to inconsistent results; set `torch_dtype` in `from_pretrained()` instead to keep these modules in float32.
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:207: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/nfs/home/nelson0314/venvs/wacv/lib/python3.11/site-packages/torchvision/models/_utils.py:222: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=VGG16_Weights.IMAGENET1K_V1`. You can also use `weights=VGG16_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[env] 影像 1 張：['bird_03']

Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 398/398 [00:00<00:00, 13086.75it/s]
[transformers] Model config: bos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49406. This may result in unexpected behavior.
[transformers] Model config: eos_token_id must be `None` or an integer within the vocabulary (between 0 and 31999), got 49407. This may result in unexpected behavior.

Loading weights:   0%|          | 0/408 [00:00<?, ?it/s]
Loading weights:  85%|████████▌ | 348/408 [00:00<00:00, 3474.28it/s]
Loading weights: 100%|██████████| 408/408 [00:00<00:00, 3424.34it/s]
  st=0.20 N1             bird_03 seed0  effect=-0.0023  lpips(def,orig)=0.0291
  st=0.20 N1             bird_03 seed1  effect=+0.0010  lpips(def,orig)=0.0291
  st=0.20 N1             bird_03 seed2  effect=-0.0059  lpips(def,orig)=0.0291
  st=0.20 N1             bird_03 seed3  effect=-0.0053  lpips(def,orig)=0.0291
  st=0.20 N1             bird_03 seed4  effect=+0.0035  lpips(def,orig)=0.0291
  st=0.20 N2             bird_03 seed0  effect=+0.0011  lpips(def,orig)=0.0231
  st=0.20 N2             bird_03 seed1  effect=+0.0014  lpips(def,orig)=0.0231
  st=0.20 N2             bird_03 seed2  effect=-0.0032  lpips(def,orig)=0.0231
  st=0.20 N2             bird_03 seed3  effect=-0.0015  lpips(def,orig)=0.0231
  st=0.20 N2             bird_03 seed4  effect=+0.0046  lpips(def,orig)=0.0231
  st=0.20 N3             bird_03 seed0  effect=+0.0033  lpips(def,orig)=0.1368
  st=0.20 N3             bird_03 seed1  effect=+0.0011  lpips(def,orig)=0.1368
  st=0.20 N3             bird_03 seed2  effect=-0.0042  lpips(def,orig)=0.1368
  st=0.20 N3             bird_03 seed3  effect=-0.0030  lpips(def,orig)=0.1368
  st=0.20 N3             bird_03 seed4  effect=+0.0050  lpips(def,orig)=0.1368
  st=0.20 photoguard_c   bird_03 seed0  effect=+0.0052  lpips(def,orig)=0.1947
  st=0.20 photoguard_c   bird_03 seed1  effect=+0.0024  lpips(def,orig)=0.1947
  st=0.20 photoguard_c   bird_03 seed2  effect=+0.0010  lpips(def,orig)=0.1947
  st=0.20 photoguard_c   bird_03 seed3  effect=-0.0016  lpips(def,orig)=0.1947
  st=0.20 photoguard_c   bird_03 seed4  effect=+0.0086  lpips(def,orig)=0.1947
  st=0.20 mist           bird_03 seed0  effect=-0.0173  lpips(def,orig)=0.6397
  st=0.20 mist           bird_03 seed1  effect=-0.0325  lpips(def,orig)=0.6397
  st=0.20 mist           bird_03 seed2  effect=-0.0315  lpips(def,orig)=0.6397
  st=0.20 mist           bird_03 seed3  effect=-0.0265  lpips(def,orig)=0.6397
  st=0.20 mist           bird_03 seed4  effect=-0.0285  lpips(def,orig)=0.6397
  st=0.20 dia_r          bird_03 seed0  effect=+0.0020  lpips(def,orig)=0.3621
  st=0.20 dia_r          bird_03 seed1  effect=+0.0062  lpips(def,orig)=0.3621
  st=0.20 dia_r          bird_03 seed2  effect=-0.0014  lpips(def,orig)=0.3621
  st=0.20 dia_r          bird_03 seed3  effect=-0.0014  lpips(def,orig)=0.3621
  st=0.20 dia_r          bird_03 seed4  effect=+0.0083  lpips(def,orig)=0.3621
