image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_174506,dct_shield,instruct-pix2pix,turn the color of mushroom to gray,,1.0,False,100,7.5,1.5,20260812,False,0.50132,0.86685,29.516,0.4969,0.03768,0.68423,0.19961,8.943,0.03936,0.42355,0.24907,0.03344,552.4
task_attr_mod_color_59806,dct_shield,instruct-pix2pix,turn the color of robot to be white,,1.0,False,100,7.5,1.5,20260812,False,0.36934,0.89129,28.686,0.56249,0.03392,0.42958,0.58986,17.169,0.27893,0.26205,0.31142,0.03679,552.0
task_env_weather_126577,dct_shield,instruct-pix2pix,change the setting to spring with blossoms,,1.0,False,100,7.5,1.5,20260812,False,0.47338,0.93575,29.305,0.56267,0.03796,0.60212,0.44404,14.555,0.20088,0.29604,0.26107,0.03426,554.2
task_env_weather_226185,dct_shield,instruct-pix2pix,change the setting to spring with blooming flowers,,1.0,False,100,7.5,1.5,20260812,False,0.41765,0.90855,29.568,0.55761,0.0531,0.6717,0.42997,15.606,0.18526,0.35109,0.24655,0.03324,551.9
task_env_weather_9736,dct_shield,instruct-pix2pix,transform the setting to a cloudy day,,1.0,False,100,7.5,1.5,20260812,False,0.41945,0.90374,29.041,0.56286,0.03048,0.67994,0.36182,12.999,0.17307,0.40556,0.40028,0.03531,553.5
task_obj_add_375217,dct_shield,instruct-pix2pix,Add bush,,1.0,False,100,7.5,1.5,20260812,False,0.49858,0.8723,29.591,0.47735,0.04968,0.73571,0.22899,11.486,0.03086,0.40302,0.24884,0.03315,553.5
task_obj_add_669258,dct_shield,instruct-pix2pix,Add person,,1.0,False,100,7.5,1.5,20260812,False,0.53195,0.86313,29.513,0.49482,0.05929,0.6426,0.43278,14.072,0.16435,0.41655,0.25903,0.03345,552.0
task_obj_remove_197959,dct_shield,instruct-pix2pix,Remove car,,1.0,False,100,7.5,1.5,20260812,False,0.48239,0.87511,29.642,0.52793,0.0418,0.69464,0.52244,17.077,0.10596,0.35905,0.25595,0.03295,551.6
task_obj_remove_483219,dct_shield,instruct-pix2pix,Remove the lamp,,1.0,False,100,7.5,1.5,20260812,False,0.48675,0.83831,29.476,0.44751,0.04232,0.70041,0.43472,12.372,0.05167,0.33929,0.25472,0.03359,553.2
task_obj_remove_869495,dct_shield,instruct-pix2pix,Remove child,,1.0,False,100,7.5,1.5,20260812,False,0.36758,0.91261,29.045,0.55698,0.03966,0.79301,0.20592,11.609,0.0352,0.40899,0.25335,0.0353,552.0
task_obj_swap_joint_mask_698465,dct_shield,instruct-pix2pix,Replace the snowball with grey furry centre,,1.0,False,100,7.5,1.5,20260812,False,0.60983,0.80678,29.982,0.39973,0.10251,0.65476,0.36946,8.945,0.0656,0.40583,0.2352,0.03169,553.6
task_obj_swap_rand_mask_392115,dct_shield,instruct-pix2pix,Replace the samurai warrior with woman,,1.0,False,100,7.5,1.5,20260812,False,0.48653,0.83827,29.396,0.50342,0.04217,0.75574,0.20622,9.876,0.0704,0.33355,0.2764,0.0339,553.0
