image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.15009,0.99458,32.705,0.72044,0.00782,0.14941,0.90215,23.039,0.47227,0.06693,0.46499,0.02316,0.9752,0.97665,False,0.837,191.8
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19566,0.9904,33.82,0.66234,0.02429,0.20449,0.82149,22.745,0.41532,0.11577,0.38782,0.02037,0.98461,0.98585,False,0.837,182.7
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.20887,0.98537,28.598,0.58255,0.02066,0.24698,0.701,18.494,0.34587,0.18031,0.41365,0.03716,0.97571,0.95595,False,0.837,182.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27329,0.99749,42.199,0.72267,0.01274,0.20084,0.83241,20.977,0.72248,0.16182,0.23783,0.00776,0.96435,0.96071,False,0.837,182.7
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.12148,0.99508,37.652,0.7786,0.01527,0.23504,0.7776,14.313,0.55607,0.14206,0.34449,0.0131,0.97893,0.94011,False,0.837,183.3
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25035,0.99389,39.661,0.80508,0.00777,0.30185,0.76306,20.211,0.3392,0.12256,0.15529,0.0104,0.96168,0.94137,False,0.837,184.4
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30034,0.97566,24.594,0.52122,0.02284,0.40893,0.51508,16.427,0.16733,0.21267,0.87843,0.05893,0.92709,0.86548,False,0.837,183.2
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.22646,0.99263,32.738,0.65672,0.01614,0.22292,0.85686,22.318,0.35531,0.09328,0.44126,0.02307,0.95255,0.95932,False,0.837,184.8
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.3418,0.98782,33.226,0.66639,0.02052,0.28731,0.66735,19.525,0.34951,0.18728,0.30914,0.02181,0.93548,0.86683,False,0.837,186.8
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25991,0.98916,30.732,0.70866,0.02479,0.29747,0.79016,20.925,0.38285,0.12958,0.60943,0.02907,0.95081,0.90888,False,0.837,184.2
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.40429,0.96358,27.837,0.39971,0.02713,0.19091,0.79811,21.284,0.27503,0.2087,0.59022,0.04057,0.94822,0.93111,False,0.837,182.7
