image,condition,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_linf,fid_clip_img,fid_nima,fid_cnniqa,gen_lpips,gen_lpips_full,clip_orig,clip_def,clip_drop,attack_strength,mask_coverage,active_fraction,amp_dev
dog_03,phase,1.3,48.5,0.1842,0.9487,0.0386,29.7289,0.6231,0.9923,5.084,0.6759,0.0719,0.2803,0.2021,0.2017,0.0004,0.286,0.3609,0.4764,0.02381
dog_03,phase_out,1.3,31.3,0.1766,0.9523,0.0382,30.0308,0.3862,0.9917,5.1161,0.6762,0.0712,0.2807,0.2021,0.2005,0.0016,0.286,0.3609,0.3791,0.02291
dog_03,add,0.004705882352941176,31.4,0.0296,0.9993,0.0017,49.7155,0.0047,0.9993,5.3443,0.6726,0.0321,0.0879,0.2021,0.2041,-0.002,0.286,0.3609,,
dog_03,add_out,0.004705882352941176,31.5,0.0291,0.9993,0.0017,49.7328,0.0047,0.9992,5.3441,0.6725,0.0302,0.0855,0.2021,0.204,-0.0019,0.286,0.3609,,
dog_03,phase_rand,1.3,17.4,0.0805,0.9539,0.0344,30.6334,0.3081,0.9907,4.9242,0.6268,0.0614,0.1617,0.2021,0.2067,-0.0046,0.286,0.3609,0.4764,0.02357
